Exportaciones,
Ruta temática,Sector externo> Resumen de la balanza comercial de mercancías de México> Exportaciones
Periodicidad,Mensual
Unidad de medida,Millones de dólares
Fuente,"SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional."
Cifras oportunas,2015/07
Cifras revisadas,2014/01
Fecha inicial,2015/07
Fecha final,1991/01
Última actualización,2015/08/27
Periodo,Dato
1991/01,3256.379
1991/02,3133.354
1991/03,3386.678
1991/04,3713.11
1991/05,3680.416
1991/06,3477.767
1991/07,3648.653
1991/08,3497.12
1991/09,3576.016
1991/10,4055.973
1991/11,3705.89
1991/12,3556.164
1992/01,3169.735
1992/02,3358.682
1992/03,4043.384
1992/04,3701.545
1992/05,3756.704
1992/06,4118.518
1992/07,3857.904
1992/08,3858.392
1992/09,4003.727
1992/10,4315.999
1992/11,3914.296
1992/12,4096.737
1993/01,3491.025
1993/02,3824.112
1993/03,4454.157
1993/04,4131.085
1993/05,4125.457
1993/06,4789.999
1993/07,4151.908
1993/08,4219.402
1993/09,4446.892
1993/10,4923.708
1993/11,4649.174
1993/12,4679.05
1994/01,4089.07
1994/02,4531.315
1994/03,5155.533
1994/04,4655.097
1994/05,5096.665
1994/06,5315.984
1994/07,4757.6
1994/08,5271.435
1994/09,5035.115
1994/10,5555.65
1994/11,6108.348
1994/12,5310.387
1995/01,5932.391
1995/02,6066.195
1995/03,6788.153
1995/04,5864.53
1995/05,7027.839
1995/06,6739.092
1995/07,6048.581
1995/08,7099.164
1995/09,6939.424
1995/10,7346.393
1995/11,6909.189
1995/12,6780.603
1996/01,7142.79
1996/02,7112.474
1996/03,7615.113
1996/04,7915.54
1996/05,8075.42
1996/06,7615.922
1996/07,8003.292
1996/08,7857.667
1996/09,8386.121
1996/10,9299.12
1996/11,8467.329
1996/12,8508.952
1997/01,8181.992
1997/02,8068.267
1997/03,8848.132
1997/04,9220.36
1997/05,8835.675
1997/06,9384.39
1997/07,9361.095
1997/08,8950.302
1997/09,9864.982
1997/10,10289.043
1997/11,9559.202
1997/12,9868.058
1998/01,8547.674
1998/02,8908.95
1998/03,10649.545
1998/04,9792.844
1998/05,9772.383
1998/06,10306.289
1998/07,9126.235
1998/08,9236.794
1998/09,10223.556
1998/10,10338.716
1998/11,10266.337
1998/12,10369.971
1999/01,8663.443
1999/02,9613.236
1999/03,11663.694
1999/04,10533.432
1999/05,11068.961
1999/06,12038.721
1999/07,11050.32
1999/08,12285.014
1999/09,11957.664
1999/10,12329.161
1999/11,12994.306
1999/12,12163.864
2000/01,11252.743
2000/02,13189.566
2000/03,13575.435
2000/04,12327.403
2000/05,14654.687
2000/06,14045.054
2000/07,13411.361
2000/08,15261.802
2000/09,14110.043
2000/10,16131.582
2000/11,14525.529
2000/12,13635.532
2001/01,12853.053
2001/02,12566.162
2001/03,14311.048
2001/04,13273.001
2001/05,14051.74
2001/06,13423.356
2001/07,12947.584
2001/08,13502.467
2001/09,12679.097
2001/10,14484.934
2001/11,12511.301
2001/12,12175.99
2002/01,11579.633
2002/02,11977.242
2002/03,13120.312
2002/04,14445.063
2002/05,13911.295
2002/06,13124.146
2002/07,14066.592
2002/08,13726.998
2002/09,13573.619
2002/10,14856.076
2002/11,13230.385
2002/12,13434.619
2003/01,12613.632
2003/02,12867.156
2003/03,13570.706
2003/04,13563.24
2003/05,13153.418
2003/06,13527.896
2003/07,13740.277
2003/08,13427.713
2003/09,14375.051
2003/10,15128.019
2003/11,13760.615
2003/12,15038.713
2004/01,12710.912
2004/02,13864.283
2004/03,16617.819
2004/04,14725.798
2004/05,16154.748
2004/06,16507.297
2004/07,15016.997
2004/08,16927.796
2004/09,15929.465
2004/10,16913.202
2004/11,17075.574
2004/12,15554.664
2005/01,14125.238
2005/02,15411.666
2005/03,17357.855
2005/04,17378.788
2005/05,18280.74
2005/06,18317.507
2005/07,16376.581
2005/08,19499.37
2005/09,18307.395
2005/10,19560.11
2005/11,20224.043
2005/12,19393.663
2006/01,19206.468
2006/02,18729.262
2006/03,20916.663
2006/04,19760.576
2006/05,22710.072
2006/06,21309.067
2006/07,19825.802
2006/08,22822.775
2006/09,20491.331
2006/10,23185.78
2006/11,20854.24
2006/12,20113.108
2007/01,18999.356
2007/02,19608.83
2007/03,21660.852
2007/04,21076.64
2007/05,23813.951
2007/06,22765.18
2007/07,22634.792
2007/08,24493.338
2007/09,23141.274
2007/10,26088.928
2007/11,24331.827
2007/12,23260.344
2008/01,22232.992
2008/02,22855.904
2008/03,24995.231
