Importaciones,
Ruta temática,Sector externo> Resumen de la balanza comercial de mercancías de México> Importaciones
Periodicidad,Mensual
Unidad de medida,Millones de dólares
Fuente,"SAT, SE, BANXICO, INEGI. Balanza Comercial de Mercancías de México. SNIEG. Información de Interés Nacional."
Cifras oportunas,2015/07
Cifras revisadas,2014/01
Fecha inicial,2015/07
Fecha final,1991/01
Última actualización,2015/08/27
Periodo,Dato
1991/01,3663.408
1991/02,3557.444
1991/03,3517.526
1991/04,4207.025
1991/05,4186.364
1991/06,3996.218
1991/07,4439
1991/08,4218.664
1991/09,4195.825
1991/10,4764.087
1991/11,4668.998
1991/12,4552.001
1992/01,4261.307
1992/02,4469.103
1992/03,5217.605
1992/04,4945.608
1992/05,5070.167
1992/06,5546.097
1992/07,5478.773
1992/08,4992.936
1992/09,5331.744
1992/10,5767.35
1992/11,5365.409
1992/12,5683.251
1993/01,4615.875
1993/02,5052.105
1993/03,5716.663
1993/04,5189.932
1993/05,5200.38
1993/06,5929.171
1993/07,5537.398
1993/08,5286.125
1993/09,5502.726
1993/10,5705.325
1993/11,5732.15
1993/12,5898.692
1994/01,5552.008
1994/02,6035.607
1994/03,6485.486
1994/04,6074.339
1994/05,6607.078
1994/06,6936.622
1994/07,6302.575
1994/08,6988.692
1994/09,6567.235
1994/10,7190.078
1994/11,7607.415
1994/12,6998.766
1995/01,6240.11
1995/02,5595.888
1995/03,6353.999
1995/04,4968.974
1995/05,6036.843
1995/06,6026.798
1995/07,5388.871
1995/08,6407.248
1995/09,6076.49
1995/10,6628.123
1995/11,6438.24
1995/12,6291.483
1996/01,6475.299
1996/02,6622.052
1996/03,6838.704
1996/04,7077.139
1996/05,7482.769
1996/06,6849.638
1996/07,7617.602
1996/08,7526.405
1996/09,7691.149
1996/10,9031.28
1996/11,8258.266
1996/12,7998.463
1997/01,7664.836
1997/02,7685.721
1997/03,8178.496
1997/04,9096.105
1997/05,8591.105
1997/06,9112.501
1997/07,9422.517
1997/08,9074.434
1997/09,9988.202
1997/10,10447.603
1997/11,9945.341
1997/12,10601.339
1998/01,9217.785
1998/02,9495.419
1998/03,11160.956
1998/04,10049.725
1998/05,10089.792
1998/06,10883.181
1998/07,10049.144
1998/08,10042.111
1998/09,10934.092
1998/10,11100.205
1998/11,11170.542
1998/12,11180.106
1999/01,9211.313
1999/02,9936.389
1999/03,11999.227
1999/04,10946.21
1999/05,11320.32
1999/06,12351.138
1999/07,11280.92
1999/08,12718.154
1999/09,12255.905
1999/10,12926.013
1999/11,13849.593
1999/12,13179.582
2000/01,11858.647
2000/02,13439.078
2000/03,13921.248
2000/04,12717.859
2000/05,15192.823
2000/06,14567.332
2000/07,13993.007
2000/08,16102.786
2000/09,14781.597
