Compra,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Cotización del dólar en el mercado cambiario nacional> Tipo de cambio bancario> Compra
Periodicidad,Mensual
Unidad de medida,Pesos
Fuente,Grupo Financiero INTERCAM
Nota," Cotización para billete. Promedios   mensuales.  A   partir  de  1995, las   cifras  corresponden al  cierre  del  mes  y  son  tomadas de notas periodísticas."
Fecha inicial,2015/07
Fecha final,1985/07
Última actualización,2015/08/04
Periodo,Dato
1985/07,0.3514
1985/08,0.3333
1985/09,0.3641
1985/10,0.3992
1985/11,0.4843
1985/12,0.4607
1986/01,0.444
1986/02,0.4642
1986/03,0.4731
1986/04,0.4996
1986/05,0.5312
1986/06,0.6264
1986/07,0.632
1986/08,0.6797
1986/09,0.7408
1986/10,0.7954
1986/11,0.8448
1986/12,0.8881
1987/01,0.9433
1987/02,1.0081
1987/03,1.0772
1987/04,1.1427
1987/05,1.2172
1987/06,1.2982
1987/07,1.3683
1987/08,1.4371
1987/09,1.512
1987/10,1.5864
1987/11,1.9109
1987/12,2.209
1988/01,2.1932
1988/02,2.232
1988/03,2.26
1988/04,2.26
1988/05,2.26
1988/06,2.26
1988/07,2.26
1988/08,2.26
1988/09,2.26
1988/10,2.26
1988/11,2.26
1988/12,2.26
1989/01,2.277
1989/02,2.3051
1989/03,2.3346
1989/04,2.365
1989/05,2.3954
1989/06,2.4261
1989/07,2.4565
1989/08,2.4876
1989/09,2.5181
1989/10,2.5485
1989/11,2.6164
1989/12,2.6543
1990/01,2.6854
1990/02,2.715
1990/03,2.7445
1990/04,2.7748
1990/05,2.8055
1990/06,2.8322
1990/07,2.8541
1990/08,2.8666
1990/09,2.8755
1990/10,2.8868
1990/11,2.9065
1990/12,2.9193
1991/01,2.9318
1991/02,2.9436
1991/03,2.9553
1991/04,2.9676
1991/05,2.9798
1991/06,2.992
1991/07,3.0042
1991/08,3.0166
1991/09,3.0288
1991/10,3.0411
1991/11,3.0508
1991/12,3.0512
1992/01,3.0512
1992/02,3.0512
1992/03,3.0512
1992/04,3.0512
1992/05,3.0512
1992/06,3.0512
1992/07,3.0512
1992/08,3.0512
1992/09,3.0512
1992/10,3.0512
1992/11,3.0512
1992/12,3.0512
1993/01,3.0512
1993/02,3.0512
1993/03,3.0512
1993/04,3.0512
1993/05,3.0512
1993/06,3.0512
1993/07,3.0512
1993/08,3.0512
1993/09,3.0512
1993/10,3.0512
1993/11,3.0512
1993/12,3.0512
1994/01,3.0512
1994/02,3.0512
1994/03,3.0512
1994/04,3.0512
1994/05,3.0512
1994/06,3.0512
1994/07,3.0512
1994/08,3.0512
1994/09,3.0512
1994/10,3.0512
1994/11,3.0512
1994/12,3.0512
1995/01,5.6
1995/02,5.7
1995/03,6.4
1995/04,5.7
1995/05,5.9
1995/06,6.14
1995/07,6
1995/08,6.15
1995/09,6.3
1995/10,6.85
1995/11,7.3
1995/12,7.55
1996/01,7.35
1996/02,7.55
1996/03,7.48
1996/04,7.41
1996/05,7.37
1996/06,7.55
1996/07,7.53
1996/08,7.51
1996/09,7.51
1996/10,7.93
1996/11,7.84
1996/12,7.81
1997/01,7.77
1997/02,7.85
1997/03,7.88
1997/04,7.9
1997/05,7.85
1997/06,7.87
1997/07,7.75
1997/08,7.75
1997/09,7.74
1997/10,8.1
1997/11,8
1997/12,7.95
1998/01,8.2
1998/02,8.2
1998/03,8.3
1998/04,8.3
1998/05,8.5
1998/06,8.8
1998/07,8.8
1998/08,9.7
1998/09,10
1998/10,9.9
1998/11,9.8
1998/12,9.65
1999/01,9.9
1999/02,9.8
1999/03,9.45
1999/04,9.15
1999/05,9.4
1999/06,9.25
1999/07,9.25
1999/08,9.2
1999/09,9.2
1999/10,9.45
1999/11,9.3
1999/12,9.3
2000/01,9.5
2000/02,9.2
2000/03,9.2
