Compra,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Cotización del dólar en el mercado cambiario nacional> Tipo de cambio interbancario> Compra
Periodicidad,Mensual
Unidad de medida,Pesos
Fuente,Banco de México.
Nota," Para  operaciones al  mayoreo entre bancos, casas de bolsa,casas de cambio y particulares."
Fecha inicial,2015/07
Fecha final,1986/02
Última actualización,2015/08/04
Periodo,Dato
1986/02,0.467
1986/03,0.4722
1986/04,0.4986
1986/05,0.5318
1986/06,0.6219
1986/07,0.63
1986/08,0.677
1986/09,0.7352
1986/10,0.7887
1986/11,0.8429
1986/12,0.8928
1987/01,0.9456
1987/02,1.043
1987/03,1.0815
1987/04,1.149
1987/05,1.2286
1987/06,1.3082
1987/07,1.3829
1987/08,1.456
1987/09,1.5333
1987/10,1.6102
1987/11,1.932
1987/12,2.253
1988/01,2.2309
1988/02,2.323
1988/03,2.2768
1988/04,2.2785
1988/05,2.2833
1988/06,2.2842
1988/07,2.2843
1988/08,2.2838
1988/09,2.2837
1988/10,2.2839
1988/11,2.2842
1988/12,2.2828
1989/01,2.2921
1989/02,2.3305
1989/03,2.3717
1989/04,2.4119
1989/05,2.4538
1989/06,2.4884
1989/07,2.5192
1989/08,2.5501
1989/09,2.5809
1989/10,2.6116
1989/11,2.6422
1989/12,2.6713
1990/01,2.7006
1990/02,2.7316
1990/03,2.7621
1990/04,2.7907
1990/05,2.82
1990/06,2.8442
1990/07,2.8656
1990/08,2.878
1990/09,2.8886
1990/10,2.9073
1990/11,2.9286
1990/12,2.9421
1991/01,2.9536
1991/02,2.9643
1991/03,2.9779
1991/04,2.9884
1991/05,3.0027
1991/06,3.0162
1991/07,3.0283
1991/08,3.0415
1991/09,3.0529
1991/10,3.0645
1991/11,3.0678
1991/12,3.0678
1992/01,3.0635
1992/02,3.0575
1992/03,3.0585
1992/04,3.0775
1992/05,3.015
1992/06,3.12
1992/07,3.1075
1992/08,3.076
1992/09,3.109
1992/10,3.121
1992/11,3.11
1992/12,3.1121
1993/01,3.1035
1993/02,3.0934
1993/03,3.1039
1993/04,3.0919
1993/05,3.12
1993/06,3.1159
1993/07,3.1196
1993/08,3.1075
1993/09,3.1098
1993/10,3.1111
1993/11,3.1343
1993/12,3.1028
1994/01,3.1032
1994/02,3.114
1994/03,3.2829
1994/04,3.3447
1994/05,3.3035
1994/06,3.3563
1994/07,3.3958
1994/08,3.3764
1994/09,3.3915
1994/10,3.4123
1994/11,3.4371
1994/12,4.0108
1995/01,5.4745
1995/02,5.6065
1995/03,6.6173
1995/04,6.1561
1995/05,5.9
1995/06,6.1739
1995/07,6.105
1995/08,6.1799
1995/09,6.2903
1995/10,6.6898
1995/11,7.5925
1995/12,7.6253
1996/01,7.4402
1996/02,7.4748
1996/03,7.5356
1996/04,7.4276
1996/05,7.4017
1996/06,7.526
1996/07,7.5902
1996/08,7.4875
1996/09,7.5243
1996/10,7.698
1996/11,7.882
1996/12,7.8531
1997/01,7.8061
1997/02,7.7852
1997/03,7.9471
1997/04,7.8886
1997/05,7.8815
1997/06,7.932
1997/07,7.816
1997/08,7.817
1997/09,7.7705
1997/10,8.35
1997/11,8.221
1997/12,8.0625
1998/01,8.465
1998/02,8.518
1998/03,8.522
1998/04,8.487
1998/05,8.829
1998/06,8.958
1998/07,8.91
1998/08,9.985
1998/09,10.19
1998/10,10.065
1998/11,9.985
1998/12,9.903
1999/01,10.165
1999/02,9.902
1999/03,9.516
1999/04,9.295
1999/05,9.73
1999/06,9.36
1999/07,9.406
1999/08,9.36
1999/09,9.36
1999/10,9.6245
1999/11,9.413
1999/12,9.49
2000/01,9.59
2000/02,9.37
2000/03,9.255
2000/04,9.393
2000/05,9.504
2000/06,9.83
2000/07,9.35
2000/08,9.196
2000/09,9.435
2000/10,9.559
2000/11,9.4325
2000/12,9.62
2001/01,9.68
2001/02,9.6875
2001/03,9.467
2001/04,9.242
2001/05,9.1635
2001/06,9.03
2001/07,9.167
2001/08,9.2075
2001/09,9.5125
2001/10,9.258
2001/11,9.221
2001/12,9.135
2002/01,9.156
2002/02,9.123
2002/03,9.0125
2002/04,9.391
2002/05,9.645
2002/06,9.96
2002/07,9.871
2002/08,9.94
2002/09,10.21
2002/10,10.18
2002/11,10.142
2002/12,10.38
2003/01,10.9055
2003/02,11.017
2003/03,10.756
2003/04,10.257
2003/05,10.315
2003/06,10.44
2003/07,10.58
2003/08,11.047
2003/09,10.9975
2003/10,11.03
2003/11,11.37
2003/12,11.2285
2004/01,11.038
2004/02,11.0615
2004/03,11.122
2004/04,11.412
2004/05,11.439
2004/06,11.5085
2004/07,11.415
2004/08,11.375
2004/09,11.3735
2004/10,11.531
2004/11,11.2375
2004/12,11.15
2005/01,11.177
2005/02,11.1
2005/03,11.165
2005/04,11.0485
2005/05,10.866
2005/06,10.776
2005/07,10.602
2005/08,10.751
2005/09,10.761
2005/10,10.79
2005/11,10.5565
2005/12,10.6255
2006/01,10.4525
2006/02,10.462
2006/03,10.8985
2006/04,11.0605
2006/05,11.334
2006/06,11.301
2006/07,10.947
2006/08,10.9175
2006/09,10.99
2006/10,10.773
2006/11,10.98
2006/12,10.7975
2007/01,11.0234
2007/02,11.1605
2007/03,11.0425
2007/04,10.922
2007/05,10.7465
2007/06,10.81
2007/07,10.941
2007/08,11.032
2007/09,10.924
2007/10,10.684
2007/11,10.9055
2007/12,10.918
2008/01,10.8175
2008/02,10.7145
2008/03,10.64
2008/04,10.5125
2008/05,10.33
2008/06,10.3065
2008/07,10.0425
2008/08,10.2845
2008/09,10.945
2008/10,12.84
2008/11,13.38
2008/12,13.805
2009/01,14.2725
2009/02,15.09
2009/03,14.205
2009/04,13.835
2009/05,13.171
2009/06,13.1625
2009/07,13.198
2009/08,13.339
2009/09,13.5
2009/10,13.2215
2009/11,12.965
2009/12,13.073
2010/01,13.0265
2010/02,12.7735
2010/03,12.356
2010/04,12.284
2010/05,12.921
2010/06,12.884
2010/07,12.6565
2010/08,13.2325
2010/09,12.624
2010/10,12.363
2010/11,12.458
2010/12,12.355
2011/01,12.1561
2011/02,12.103
2011/03,11.8888
2011/04,11.5028
2011/05,11.5662
2011/06,11.7085
2011/07,11.7244
2011/08,12.339
2011/09,13.8815
2011/10,13.2948
2011/11,13.664
2011/12,13.9655
2012/01,13.0238
2012/02,12.7829
2012/03,12.8005
2012/04,13.0277
2012/05,14.2901
2012/06,13.3374
2012/07,13.3075
2012/08,13.198
2012/09,12.8563
2012/10,13.0694
2012/11,12.937
2012/12,12.8684
2013/01,12.715
2013/02,12.7459
2013/03,12.3319
2013/04,12.1391
2013/05,12.8011
2013/06,12.9765
2013/07,12.782
2013/08,13.386
2013/09,13.1504
2013/10,13.038
2013/11,13.1125
2013/12,13.085
2014/01,13.312
2014/02,13.242
2014/03,13.062
2014/04,13.083
2014/05,12.8525
2014/06,12.985
2014/07,13.203
2014/08,13.068
2014/09,13.4215
2014/10,13.469
2014/11,13.9055
2014/12,14.7445
2015/01,14.947
2015/02,14.9255
2015/03,15.256
2015/04,15.3755
2015/05,15.385
2015/06,15.69
2015/07,16.123
