Venta,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Cotización del dólar en el mercado cambiario nacional> Tipo de cambio bancario> Venta
Periodicidad,Mensual
Unidad de medida,Pesos
Fuente,Grupo Financiero INTERCAM
Nota," Cotización para billete. Promedios   mensuales.  A   partir  de  1995, las   cifras  corresponden al  cierre  del  mes  y  son  tomadas de notas periodísticas."
Fecha inicial,2015/07
Fecha final,1985/07
Última actualización,2015/08/04
Periodo,Dato
1985/07,0.3563
1985/08,0.3381
1985/09,0.369
1985/10,0.4043
1985/11,0.4893
1985/12,0.4657
1986/01,0.4496
1986/02,0.4702
1986/03,0.4791
1986/04,0.5049
1986/05,0.5362
1986/06,0.6314
1986/07,0.637
1986/08,0.6847
1986/09,0.7458
1986/10,0.8004
1986/11,0.8518
1986/12,0.9003
1987/01,0.9567
1987/02,1.0217
1987/03,1.0923
1987/04,1.1598
1987/05,1.2357
1987/06,1.3179
1987/07,1.3891
1987/08,1.4593
1987/09,1.5351
1987/10,1.6106
1987/11,1.9505
1987/12,2.2739
1988/01,2.2632
1988/02,2.302
1988/03,2.33
1988/04,2.33
1988/05,2.33
1988/06,2.33
1988/07,2.33
1988/08,2.33
1988/09,2.33
1988/10,2.33
1988/11,2.33
1988/12,2.33
1989/01,2.347
1989/02,2.3751
1989/03,2.4044
1989/04,2.435
1989/05,2.4654
1989/06,2.4961
1989/07,2.5265
1989/08,2.5576
1989/09,2.5881
1989/10,2.6185
1989/11,2.6489
1989/12,2.6793
1990/01,2.7105
1990/02,2.74
1990/03,2.7695
1990/04,2.7998
1990/05,2.8305
1990/06,2.8572
1990/07,2.8805
1990/08,2.8979
1990/09,2.9077
1990/10,2.9212
1990/11,2.9415
1990/12,2.9543
1991/01,2.9668
1991/02,2.9786
1991/03,2.9903
1991/04,3.0026
1991/05,3.0148
1991/06,3.027
1991/07,3.0392
1991/08,3.0516
1991/09,3.0638
1991/10,3.0761
1991/11,3.0872
1991/12,3.0932
1992/01,3.1026
1992/02,3.1082
1992/03,3.1146
1992/04,3.1206
1992/05,3.1264
1992/06,3.1328
1992/07,3.139
1992/08,3.1452
1992/09,3.1512
1992/10,3.1592
1992/11,3.1716
1992/12,3.1718
1993/01,3.191
1993/02,3.2019
1993/03,3.2139
1993/04,3.2269
1993/05,3.2387
1993/06,3.2505
1993/07,3.2628
1993/08,3.2752
1993/09,3.2876
1993/10,3.2996
1993/11,3.3121
1993/12,3.3239
1994/01,3.3365
1994/02,3.348
1994/03,3.3594
1994/04,3.3726
1994/05,3.3846
1994/06,3.3967
1994/07,3.4087
1994/08,3.4211
1994/09,3.4336
1994/10,3.4457
1994/11,3.4583
1994/12,3.5499
1995/01,6.2
1995/02,6.2
1995/03,6.8
1995/04,6.1
1995/05,6.2
1995/06,6.28
1995/07,6.2
1995/08,6.3
1995/09,6.4
1995/10,7.2
1995/11,7.6
1995/12,7.75
1996/01,7.45
1996/02,7.65
1996/03,7.55
1996/04,7.46
1996/05,7.42
1996/06,7.6
1996/07,7.63
1996/08,7.61
1996/09,7.56
1996/10,8.05
1996/11,7.89
1996/12,7.89
1997/01,7.85
1997/02,8
1997/03,7.98
1997/04,7.98
1997/05,7.93
1997/06,7.97
1997/07,7.83
1997/08,7.85
1997/09,7.82
1997/10,8.6
1997/11,8.35
1997/12,8.15
1998/01,8.6
1998/02,8.7
1998/03,8.6
1998/04,8.6
1998/05,8.9
1998/06,9.1
1998/07,9
1998/08,10.1
1998/09,10.35
1998/10,10.15
1998/11,10.1
1998/12,9.95
1999/01,10.3
1999/02,10.1
1999/03,9.65
1999/04,9.45
1999/05,9.9
1999/06,9.55
1999/07,9.55
1999/08,9.5
1999/09,9.5
1999/10,9.75
1999/11,9.53
1999/12,9.6
2000/01,9.8
2000/02,9.5
2000/03,9.4
2000/04,9.5
2000/05,9.6
2000/06,9.95
2000/07,9.5
2000/08,9.35
2000/09,9.55
2000/10,9.65
2000/11,9.6
2000/12,9.8
2001/01,9.8
2001/02,9.8
2001/03,9.6
2001/04,9.35
2001/05,9.3
2001/06,9.15
2001/07,9.25
2001/08,9.27
2001/09,9.58
2001/10,9.35
2001/11,9.33
2001/12,9.26
2002/01,9.3
2002/02,9.23
2002/03,9.09
2002/04,9.46
2002/05,9.79
2002/06,10.13
2002/07,9.9
2002/08,10.09
2002/09,10.35
2002/10,10.29
2002/11,10.27
2002/12,10.54
2003/01,11.05
2003/02,11.18
2003/03,10.92
2003/04,10.43
2003/05,10.47
2003/06,10.6
2003/07,10.72
2003/08,11.18
2003/09,11.15
2003/10,11.2
2003/11,11.5
2003/12,11.33
2004/01,11.15
2004/02,11.19
2004/03,11.28
2004/04,11.55
2004/05,11.54
2004/06,11.65
2004/07,11.51
2004/08,11.52
2004/09,11.53
2004/10,11.65
2004/11,11.2375
2004/12,11.32
2005/01,11.32
2005/02,11.23
2005/03,11.3
2005/04,11.2
2005/05,11.03
2005/06,10.8
2005/07,10.72
2005/08,10.9
2005/09,10.9
2005/10,10.92
2005/11,10.7
2005/12,10.77
2006/01,10.57
2006/02,10.58
2006/03,11.01
2006/04,11.2
2006/05,11.4
2006/06,11.55
2006/07,11.08
2006/08,11.05
2006/09,11.12
2006/10,10.89
2006/11,11.08
2006/12,10.93
2007/01,11.13
2007/02,11.25
2007/03,11.15
2007/04,11.05
2007/05,10.85
2007/06,10.92
2007/07,11.05
2007/08,11.15
2007/09,11.02
2007/10,10.8
2007/11,11.02
2007/12,11.03
2008/01,10.95
2008/02,10.85
2008/03,10.75
2008/04,10.65
2008/05,10.45
2008/06,10.43
2008/07,10.13
2008/08,10.38
2008/09,11.05
2008/10,12.96
2008/11,13.55
2008/12,13.95
2009/01,14.4
2009/02,15.2
2009/03,14.3
2009/04,14
2009/05,13.3
2009/06,13.3
2009/07,13.3
2009/08,13.4
2009/09,13.6
2009/10,13.3
2009/11,13
2009/12,13
2010/01,13.1
2010/02,12.9
2010/03,12.4
2010/04,12.3
2010/05,13
2010/06,12.95
2010/07,12.7
2010/08,13.3
2010/09,12.7
2010/10,12.5
2010/11,12.5
2010/12,12.48
2011/01,12.2
