Venta,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Cotización del dólar en el mercado cambiario nacional> Tipo de cambio interbancario> Venta
Periodicidad,Mensual
Unidad de medida,Pesos
Fuente,Banco de México.
Nota," Para  operaciones al  mayoreo entre bancos, casas de bolsa,casas de cambio y particulares."
Fecha inicial,2015/07
Fecha final,1986/02
Última actualización,2015/08/04
Periodo,Dato
1986/02,0.481
1986/03,0.4831
1986/04,0.5063
1986/05,0.5404
1986/06,0.6312
1986/07,0.6351
1986/08,0.6808
1986/09,0.7387
1986/10,0.791
1986/11,0.8448
1986/12,0.8962
1987/01,0.9482
1987/02,1.045
1987/03,1.0836
1987/04,1.1501
1987/05,1.2301
1987/06,1.3092
1987/07,1.3842
1987/08,1.4576
1987/09,1.5344
1987/10,1.6114
1987/11,1.9924
1987/12,2.2944
1988/01,2.2455
1988/02,2.328
1988/03,2.2821
1988/04,2.2826
1988/05,2.2851
1988/06,2.2852
1988/07,2.2855
1988/08,2.2848
1988/09,2.2846
1988/10,2.2848
1988/11,2.2851
1988/12,2.284
1989/01,2.2932
1989/02,2.3317
1989/03,2.3727
1989/04,2.4126
1989/05,2.4546
1989/06,2.4893
1989/07,2.5201
1989/08,2.5509
1989/09,2.5815
1989/10,2.6121
1989/11,2.6427
1989/12,2.672
1990/01,2.7015
1990/02,2.7325
1990/03,2.763
1990/04,2.7917
1990/05,2.821
1990/06,2.8452
1990/07,2.8666
1990/08,2.8789
1990/09,2.8896
1990/10,2.9082
1990/11,2.9296
1990/12,2.9429
1991/01,2.9544
1991/02,2.9651
1991/03,2.9785
1991/04,2.99
1991/05,3.0035
1991/06,3.0167
1991/07,3.0288
1991/08,3.042
1991/09,3.0538
1991/10,3.0649
1991/11,3.0685
1991/12,3.0688
1992/01,3.0645
1992/02,3.0585
1992/03,3.0595
1992/04,3.0785
1992/05,3.016
1992/06,3.121
1992/07,3.1085
1992/08,3.077
1992/09,3.111
1992/10,3.123
1992/11,3.112
1992/12,3.1141
1993/01,3.1055
1993/02,3.0954
1993/03,3.1058
1993/04,3.0938
1993/05,3.122
1993/06,3.1179
1993/07,3.1216
1993/08,3.1095
1993/09,3.1118
1993/10,3.1128
1993/11,3.1453
1993/12,3.1051
1994/01,3.1052
1994/02,3.1189
1994/03,3.2947
1994/04,3.351
1994/05,3.3135
1994/06,3.3627
1994/07,3.4006
1994/08,3.3801
1994/09,3.3965
1994/10,3.4173
1994/11,3.4404
1994/12,4.0699
1995/01,5.5836
1995/02,6.659
1995/03,6.6923
1995/04,6.2061
