Indice máximo,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Índice de precios y cotizaciones de la Bolsa Mexicana de Valores> Indice máximo
Periodicidad,Mensual
Unidad de medida,Índice base octubre 1978 = 0.78
Fuente,"Bolsa Mexicana de Valores, S.A.B. de C.V. Indicadores bursátiles."
Fecha inicial,2015/07
Fecha final,1990/04
Última actualización,2015/08/04
Periodo,Dato
1990/04,526.83
1990/05,654.11
1990/06,616.05
1990/07,676.44
1990/08,583.45
1990/09,529.78
1990/10,616.46
1990/11,628.06
1990/12,628.82
1991/01,623.9
1991/02,659.8
1991/03,804.22
1991/04,906.56
1991/05,1096.17
1991/06,1065.42
1991/07,1199
1991/08,1254.66
1991/09,1268.81
1991/10,1372.67
1991/11,1385.93
1991/12,1431.53
1992/01,1623.47
1992/02,1869.08
1992/03,1875.73
1992/04,1853.97
1992/05,1895.48
1992/06,1605.31
1992/07,1569.73
1992/08,1408.96
1992/09,1327.07
1992/10,1597.48
1992/11,1727.23
1992/12,1760.15
1993/01,1691.77
1993/02,1556.03
1993/03,1783.3
1993/04,1665.41
1993/05,1613.92
1993/06,1704.43
1993/07,1784.72
1993/08,1920.45
1993/09,1860.37
1993/10,2020.26
1993/11,2241.79
1993/12,2610.37
1994/01,2790.88
1994/02,2612.12
1994/03,2447.59
1994/04,2324.88
1994/05,2498.74
1994/06,2275.99
1994/07,2487.51
1994/08,2732.84
1994/09,2746.62
1994/10,2575.4
1994/11,2622.65
1994/12,2411.06
1995/01,2095.64
1995/02,1549.84
1995/03,1833.02
1995/04,1981.95
1995/05,1953.98
1995/06,2199.33
1995/07,2412.66
1995/08,2516.99
1995/09,2405.88
1995/10,2358
1995/11,2728.92
1995/12,2790.93
1996/01,3065.98
1996/02,2862.53
1996/03,3086.1
1996/04,3215.15
1996/05,3261.16
1996/06,3219.18
1996/07,3018.8
1996/08,3335.88
1996/09,3241.48
1996/10,3215.56
1996/11,3291.69
1996/12,3361.03
1997/01,3691.36
1997/02,3865.45
1997/03,3843.85
1997/04,3758.64
1997/05,3970.92
1997/06,4482.09
1997/07,5127.7
1997/08,4789.48
1997/09,5324.11
1997/10,4708.59
1997/11,4974.57
1997/12,5229.35
1998/01,4577.13
1998/02,4799.71
1998/03,5065.45
1998/04,5099.63
1998/05,4530.01
1998/06,4286.9
1998/07,4354.42
1998/08,3154.14
1998/09,3679.91
1998/10,4076.64
1998/11,3993.48
1998/12,3960.78
1999/01,4040.15
1999/02,4310.47
1999/03,4943.91
1999/04,5651.96
1999/05,5477.65
1999/06,5829.51
1999/07,5311.09
1999/08,5180.67
1999/09,5103.02
1999/10,5509.16
1999/11,6303.44
1999/12,7147.37
2000/01,6649.98
2000/02,7411.49
2000/03,7662.47
2000/04,6865.52
2000/05,6060.95
2000/06,7035.77
2000/07,6520.81
2000/08,6730.57
2000/09,6475.91
2000/10,6424.86
2000/11,5904.36
2000/12,5652.19
2001/01,6615.83
2001/02,6100.21
2001/03,5758.01
2001/04,6064.2
2001/05,6613.88
2001/06,6688.38
2001/07,6539.9
2001/08,6347.71
2001/09,5403.98
2001/10,5597.08
2001/11,5850.04
2001/12,6466.06
2002/01,6927.87
2002/02,6869.99
2002/03,7366.21
2002/04,7481.31
2002/05,7141.12
2002/06,6541.25
2002/07,6034.82
2002/08,6251.44
2002/09,5794.94
2002/10,5988.48
2002/11,6158.97
2002/12,6133.74
2003/01,5955.07
2003/02,5934.75
2003/03,5947.01
2003/04,6549.05
2003/05,6728.65
2003/06,7093.85
2003/07,7369.23
2003/08,7596.69
2003/09,7852.23
2003/10,8064.99
2003/11,8589.61
2003/12,8805.37
2004/01,9453.37
2004/02,10023.6
2004/03,10517.5
2004/04,10103.75
2004/05,10054.2
2004/06,10281.97
2004/07,10117.79
2004/08,10265.08
2004/09,11038.29
2004/10,11564.45
2004/11,12261.02
2004/12,12971.78
2005/01,13167.08
2005/02,13893.1
2005/03,12743.05
2005/04,12323.42
2005/05,13177.9
2005/06,13593.61
2005/07,14453.84
2005/08,14245.86
2005/09,16130.49
2005/10,15811.39
2005/11,16842.83
2005/12,17832.53
2006/01,18957.93
2006/02,18860.11
2006/03,19300.24
2006/04,20682.03
2006/05,19005.76
2006/06,19244.93
2006/07,20253.92
2006/08,21352.38
2006/09,21937.51
2006/10,23047.65
2006/11,25006.36
2006/12,26450.45
2007/01,27621.98
2007/02,26804.79
2007/03,28756.47
2007/04,29413.52
2007/05,32029.45
2007/06,31377.78
2007/07,31368.58
2007/08,30347.86
2007/09,30551.99
2007/10,31791.87
2007/11,30047.99
2007/12,29738.03
2008/01,28802.57
2008/02,30129.21
2008/03,31109.17
2008/04,30578.2
2008/05,32211.48
2008/06,29477.31
2008/07,27600.34
2008/08,26459.97
2008/09,24888.9
2008/10,20449.67
2008/11,20548.58
2008/12,22660.59
2009/01,19752.61
2009/02,18066.53
2009/03,19952.33
2009/04,22576.33
2009/05,24993.78
2009/06,24634.41
2009/07,27156.05
2009/08,28600.57
2009/09,29760.47
2009/10,29247.83
2009/11,31043.54
2009/12,32519.64
2010/01,31002.79
2010/02,31866.43
2010/03,33429.67
2010/04,33246.25
2010/05,32126.22
2010/06,31793.68
2010/07,32463.72
2010/08,31692.1
2010/09,33530.83
2010/10,35630.1
2010/11,36946.15
2010/12,38550.79
2011/01,36982.24
2011/02,37199.63
2011/03,37563.99
2011/04,36963.91
2011/05,35844.41
2011/06,36823.06
2011/07,36200.2
2011/08,35721.34
2011/09,33759.42
2011/10,37334.15
2011/11,36843.56
2011/12,37379.01
2012/01,37685.4
2012/02,38282.18
2012/03,39567.99
2012/04,39465.99
2012/05,38211.26
2012/06,40248.42
2012/07,41486.29
2012/08,40166.59
2012/09,40871.5
2012/10,41863.23
2012/11,42206.14
2012/12,43706.3
2013/01,45811.51
2013/02,44193.99
2013/03,44087.34
2013/04,42278.08
2013/05,41590.26
2013/06,40624.02
2013/07,41108.7
2013/08,39687.6
