Canadá,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Tasas de interés nominales> Mensual> Canadá
Periodicidad,Mensual
Unidad de medida,Tasa de rendimiento anual
Fuente,Fondo Monetario Internacional. Estadísticas financieras internacionales.
Nota, Se refiere a la tasa promedio  ponderada de instrumentos de deuda de corto plazo a 28 días. 
Fecha inicial,2015/07
Fecha final,1993/01
Última actualización,2015/08/19
Periodo,Dato
1993/01,6.7
1993/02,3.14625
1993/03,5.28
1993/04,5.65
1993/05,4.99
1993/06,4.61
1993/07,4.17
1993/08,4.71
1993/09,4.79
1993/10,4.52
1993/11,4.2
1993/12,3.94
1994/01,3.75
1994/02,3.97
1994/03,5.65
1994/04,6.01
1994/05,6.24
1994/06,6.64
1994/07,5.92
1994/08,5.7
1994/09,5.29
1994/10,5.49
1994/11,6.02
1994/12,7.22
1995/01,8.46
1995/02,8.33
1995/03,8.41
1995/04,8.01
1995/05,7.52
1995/06,6.86
1995/07,6.71
1995/08,6.42
1995/09,6.71
1995/10,7.57
1995/11,5.95
1995/12,5.67
1996/01,5.23
1996/02,5.3
1996/03,5.11
1996/04,4.83
1996/05,4.77
1996/06,4.83
1996/07,4.59
1996/08,4.15
1996/09,4.01
1996/10,3.3
1996/11,2.92
1996/12,3.13
1997/01,3.15
1997/02,3.12
1997/03,3.28
1997/04,3.44
1997/05,3.27
1997/06,3.27
1997/07,3.67
1997/08,3.63
1997/09,3.64
1997/10,3.91
1997/11,4.14
1997/12,4.8
1998/01,4.56
1998/02,4.96
1998/03,4.84
1998/04,5.04
1998/05,5.04
1998/06,5.06
1998/07,5.14
1998/08,5.22
1998/09,5.38
1998/10,5.22
1998/11,5.09
1998/12,5.02
1999/01,5.01
1999/02,5.04
1999/03,4.85
1999/04,4.8
1999/05,4.71
1999/06,4.86
1999/07,4.91
1999/08,4.87
1999/09,4.83
1999/10,5.05
1999/11,5.05
1999/12,5.27
2000/01,5.25
2000/02,5.31
2000/03,5.46
2000/04,5.62
2000/05,5.98
2000/06,5.89
2000/07,5.88
2000/08,5.9
2000/09,5.83
2000/10,5.85
2000/11,5.89
2000/12,5.71
2001/01,5.29
2001/02,5.05
2001/03,4.66
2001/04,4.49
2001/05,4.49
2001/06,4.38
2001/07,4.22
2001/08,3.96
2001/09,3.19
2001/10,2.45
2001/11,2.17
2001/12,2.08
2002/01,2.07
2002/02,2.16
2002/03,2.36
2002/04,2.46
2002/05,2.68
2002/06,2.78
2002/07,2.88
2002/08,3.09
2002/09,2.9
2002/10,2.83
2002/11,2.85
2002/12,2.83
2003/01,2.91
2003/02,2.97
2003/03,3.28
2003/04,3.35
2003/05,3.27
2003/06,3.11
2003/07,2.89
2003/08,2.8
2003/09,2.64
2003/10,2.71
2003/11,2.73
2003/12,2.66
2004/01,2.37
2004/02,2.25
2004/03,2.1
2004/04,2.05
2004/05,2.07
2004/06,2.1
2004/07,2.12
2004/08,2.22
2004/09,2.5
2004/10,2.6
2004/11,2.74
2004/12,2.57
2005/01,2.56
2005/02,2.57
2005/03,2.68
2005/04,2.58
2005/05,2.59
2005/06,2.58
2005/07,2.64
2005/08,2.83
2005/09,2.98
2005/10,3.14
2005/11,3.37
2005/12,3.52
2006/01,3.67
2006/02,3.8
2006/03,4
2006/04,4.19
2006/05,4.33
2006/06,4.51
2006/07,4.35
2006/08,4.34
2006/09,4.3
2006/10,4.34
2006/11,4.3
2006/12,4.33
2007/01,4.33
2007/02,4.35
2007/03,4.35
2007/04,4.35
2007/05,4.43
2007/06,4.6
2007/07,4.7
2007/08,5.09
2007/09,5.03
2007/10,4.7
2007/11,4.84
2007/12,4.8
2008/01,3.95
2008/02,3.84
2008/03,3.57
2008/04,3.25
2008/05,3.11
2008/06,3.21
2008/07,3.27
2008/08,3.25
2008/09,3.45
2008/10,2.95
2008/11,2.68
2008/12,2.22
2009/01,1.3
2009/02,1.23
2009/03,1.05
2009/04,0.7
2009/05,0.6
2009/06,0.54
2009/07,0.4
2009/08,0.43
2009/09,0.39
2009/10,0.38
2009/11,0.39
2009/12,0.38
2010/01,0.38
2010/02,0.37
2010/03,0.41
2010/04,0.59
2010/05,0.6
2010/06,0.73
2010/07,0.9
2010/08,0.89
2010/09,1.15
2010/10,1.16
2010/11,1.17
2010/12,1.18
2011/01,1.18
2011/02,1.19
2011/03,1.18
2011/04,1.19
2011/05,1.19
2011/06,1.17
2011/07,1.17
2011/08,1.15
2011/09,1.15
2011/10,1.15
2011/11,1.16
2011/12,1.16
2012/01,1.16
2012/02,1.16
2012/03,1.14
2012/04,1.16
2012/05,1.17
2012/06,1.16
2012/07,1.16
2012/08,1.16
2012/09,1.16
2012/10,1.16
2012/11,1.16
2012/12,1.16
2013/01,1.16
2013/02,1.16
2013/03,1.16
2013/04,1.16
2013/05,1.16
2013/06,1.17
2013/07,1.17
2013/08,1.17
2013/09,1.17
2013/10,1.17
2013/11,1.17
2013/12,1.17
2014/01,1.17
2014/02,1.17
2014/03,1.17
2014/04,1.17
2014/05,1.18
2014/06,1.17
2014/07,1.17
2014/08,1.17
2014/09,1.17
2014/10,1.17
2014/11,1.18
2014/12,1.21
2015/01,0.93
2015/02,0.87
2015/03,0.9
2015/04,0.89
2015/05,0.89
2015/06,0.89
2015/07,0.61
