México,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Tasas de interés nominales> Mensual> México
Periodicidad,Mensual
Unidad de medida,Tasa de rendimiento anual
Fuente,Banco de México.
Nota, Se refiere a la tasa promedio  ponderada de instrumentos de deuda de corto plazo a 28 días. Banco de México actualizó la información para los meses  deenero y julio de 2013.
Fecha inicial,2015/07
Fecha final,1993/01
Última actualización,2015/08/19
Periodo,Dato
1993/01,25.27
1993/02,9.119
1993/03,22.37
1993/04,22.5
1993/05,22.12
1993/06,21.03
1993/07,19.66
1993/08,19.6
1993/09,18.72
1993/10,18.4
1993/11,17.95
1993/12,16.84
1994/01,13.89
1994/02,13.06
1994/03,13.46
1994/04,20.58
1994/05,22.68
1994/06,21.48
1994/07,22.51
1994/08,20.54
1994/09,19.6
1994/10,19.22
1994/11,20.47
1994/12,24.11
1995/01,53.99
1995/02,59.7
1995/03,90.82
1995/04,91.97
1995/05,67.22
1995/06,53.88
1995/07,47.35
1995/08,41.6
1995/09,40.06
1995/10,46.05
1995/11,63.12
1995/12,57.42
1996/01,47.49
1996/02,42.54
1996/03,47.06
1996/04,39.74
1996/05,33.17
1996/06,33.24
1996/07,35.74
1996/08,31.01
1996/09,29.15
1996/10,30.49
1996/11,33.96
1996/12,33.04
1997/01,27.37
1997/02,22.84
1997/03,24.99
1997/04,25.01
1997/05,20.24
1997/06,22.51
1997/07,20.69
1997/08,20.29
1997/09,19.83
1997/10,19.45
1997/11,21.55
1997/12,20.91
1998/01,19.51
1998/02,20.37
1998/03,21.36
1998/04,20.94
1998/05,19.65
1998/06,21.31
1998/07,22.18
1998/08,25.83
1998/09,38.76
1998/10,35.43
1998/11,34.09
1998/12,36.87
1999/01,34.7
1999/02,31.31
1999/03,26.18
1999/04,22.23
1999/05,22.48
1999/06,23.37
1999/07,22.03
1999/08,22.37
1999/09,21.47
1999/10,20.63
1999/11,19.29
1999/12,18.85
2000/01,18.58
2000/02,18.16
2000/03,15.65
2000/04,14.48
2000/05,15.71
2000/06,17.6
2000/07,14.92
2000/08,16.68
2000/09,16.92
2000/10,17.84
2000/11,18.52
2000/12,18.08
2001/01,18.5
2001/02,18.28
2001/03,17.41
2001/04,16.43
2001/05,13.74
2001/06,11.47
2001/07,10.92
2001/08,9.34
2001/09,10.48
2001/10,10.19
2001/11,9.05
2001/12,7.73
2002/01,7.68
2002/02,8.74
2002/03,8.57
2002/04,6.8
2002/05,7.68
2002/06,8.62
2002/07,8.38
2002/08,7.47
2002/09,8.49
2002/10,8.9
2002/11,8.67
2002/12,8.53
2003/01,9.58
2003/02,9.95
2003/03,9.99
2003/04,8.84
2003/05,5.99
2003/06,5.98
2003/07,5.31
2003/08,5.1
2003/09,5.25
2003/10,5.86
2003/11,5.64
2003/12,6.78
2004/01,5.57
2004/02,6.27
2004/03,7.04
2004/04,6.42
2004/05,7.24
2004/06,7.25
2004/07,7.54
2004/08,7.66
2004/09,7.98
2004/10,8.29
2004/11,8.85
2004/12,9.15
2005/01,9.01
2005/02,9.77
2005/03,10.12
2005/04,10.18
2005/05,10.43
2005/06,10.08
2005/07,10.01
2005/08,10.05
2005/09,9.59
2005/10,9.32
2005/11,9.19
2005/12,8.59
2006/01,8.23
2006/02,7.94
2006/03,7.68
2006/04,7.6
2006/05,7.32
2006/06,7.34
2006/07,7.28
2006/08,7.35
2006/09,7.31
2006/10,7.36
2006/11,7.34
2006/12,7.4
2007/01,7.44
2007/02,7.44
2007/03,7.41
2007/04,7.32
2007/05,7.59
2007/06,7.52
2007/07,7.57
2007/08,7.49
2007/09,7.6
2007/10,7.67
2007/11,7.82
2007/12,7.86
2008/01,7.9
2008/02,7.94
2008/03,7.9
2008/04,7.97
2008/05,7.91
2008/06,7.92
2008/07,8.3
2008/08,8.57
2008/09,8.71
2008/10,9.68
2008/11,10.98
2008/12,10.69
2009/01,10.46
2009/02,9.74
2009/03,9.35
2009/04,8.71
2009/05,6.89
2009/06,6.22
2009/07,5.67
2009/08,5.74
2009/09,5.72
2009/10,5.53
2009/11,5.53
2009/12,5.33
2010/01,5.32
2010/02,5.44
2010/03,5.31
2010/04,5.5
2010/05,5.34
2010/06,5.4
2010/07,5.35
2010/08,5.25
2010/09,5.18
2010/10,5.04
2010/11,5.16
2010/12,5.15
2011/01,5.11
2011/02,5.05
2011/03,5.05
2011/04,5.08
2011/05,5.04
2011/06,4.9
2011/07,4.92
2011/08,4.8
2011/09,4.75
2011/10,4.78
2011/11,4.77
2011/12,4.74
2012/01,4.78
2012/02,4.71
2012/03,4.74
2012/04,4.8
2012/05,4.69
2012/06,4.7
2012/07,4.7
2012/08,4.76
2012/09,4.7
2012/10,4.77
2012/11,4.69
2012/12,4.73
2013/01,4.8
2013/02,4.76
2013/03,4.38
2013/04,4.35
2013/05,4.35
2013/06,4.24
2013/07,4.32
2013/08,4.28
2013/09,4.11
2013/10,3.89
2013/11,3.77
2013/12,3.77
2014/01,3.83
2014/02,3.8
2014/03,3.93
2014/04,3.88
2014/05,3.8
2014/06,3.43
2014/07,3.36
2014/08,3.32
2014/09,3.36
2014/10,3.34
2014/11,3.19
2014/12,3.38
2015/01,3.33
2015/02,3.36
2015/03,3.45
2015/04,3.41
2015/05,3.53
2015/06,3.28
2015/07,3.36
