Estados Unidos,
Ruta temática,Financiero y bursátil> Indicadores financieros y bursátiles> Tasas de interés nominales> Mensual> Estados Unidos
Periodicidad,Mensual
Unidad de medida,Tasa de rendimiento anual
Fuente,Fondo Monetario Internacional. Estadísticas financieras internacionales.
Nota, Se refiere a la tasa promedio  ponderada de instrumentos de deuda de corto plazo a 28 días. 
Fecha inicial,2015/07
Fecha final,1993/01
Última actualización,2015/08/19
Periodo,Dato
1993/01,3.25
1993/02,3.18
1993/03,3.17
1993/04,3.14
1993/05,3.14
1993/06,3.25
1993/07,3.2
1993/08,3.18
1993/09,3.16
1993/10,3.26
1993/11,3.4
1993/12,3.36
1994/01,3.19
1994/02,3.49
1994/03,3.85
1994/04,4.05
1994/05,4.57
1994/06,4.57
1994/07,4.75
1994/08,4.84
1994/09,5.02
1994/10,5.51
1994/11,5.81
1994/12,6.26
1995/01,6.22
1995/02,6.15
1995/03,6.15
1995/04,6.12
1995/05,6.06
1995/06,5.94
1995/07,5.79
1995/08,5.82
1995/09,5.74
1995/10,5.82
1995/11,5.74
1995/12,5.64
1996/01,5.4
1996/02,5.15
1996/03,5.31
1996/04,5.39
1996/05,5.39
1996/06,5.49
1996/07,5.53
1996/08,5.42
1996/09,5.52
1996/10,5.43
1996/11,5.41
1996/12,5.51
1997/01,5.45
1997/02,5.4
1997/03,5.56
1997/04,5.71
1997/05,5.69
1997/06,5.65
1997/07,5.57
1997/08,5.56
1997/09,5.48
1997/10,5.51
1997/11,5.6
1997/12,5.67
1998/01,5.42
1998/02,5.42
1998/03,5.46
1998/04,5.46
1998/05,5.48
1998/06,5.48
1998/07,5.48
1998/08,5.48
1998/09,5.31
1998/10,5.04
1998/11,5.06
1998/12,5
1999/01,4.77
1999/02,4.79
1999/03,4.81
1999/04,4.79
1999/05,4.81
1999/06,4.98
1999/07,5.11
1999/08,5.25
1999/09,5.32
1999/10,5.88
1999/11,5.81
1999/12,5.87
2000/01,5.74
2000/02,5.87
2000/03,6
2000/04,6.11
2000/05,6.54
2000/06,6.57
2000/07,6.52
2000/08,6.49
2000/09,6.47
2000/10,6.51
2000/11,6.5
2000/12,6.34
2001/01,5.49
2001/02,5.14
2001/03,4.78
2001/04,4.44
2001/05,3.93
2001/06,3.67
2001/07,3.59
2001/08,3.42
2001/09,2.81
2001/10,2.28
2001/11,1.97
2001/12,1.78
2002/01,1.7
2002/02,1.79
2002/03,1.86
2002/04,1.81
2002/05,1.78
2002/06,1.76
2002/07,1.75
2002/08,1.7
2002/09,1.72
2002/10,1.7
2002/11,1.36
2002/12,1.31
2003/01,1.26
2003/02,1.26
2003/03,1.19
2003/04,1.2
2003/05,1.19
2003/06,1.01
2003/07,1.01
2003/08,1.04
2003/09,1.04
2003/10,1.05
2003/11,1.06
2003/12,1.05
2004/01,1.01
2004/02,1.01
2004/03,1
2004/04,1.05
2004/05,1.07
2004/06,1.34
2004/07,1.5
2004/08,1.62
2004/09,1.75
2004/10,1.95
2004/11,2.18
2004/12,2.34
2005/01,2.53
2005/02,ND
2005/03,2.82
2005/04,2.97
2005/05,3.09
2005/06,3.27
2005/07,3.47
2005/08,3.64
2005/09,3.72
2005/10,4.01
2005/11,4.23
2005/12,ND
2006/01,ND
2006/02,4.55
2006/03,4.76
2006/04,4.87
2006/05,5.01
2006/06,5.29
2006/07,ND
2006/08,5.21
2006/09,5.21
2006/10,5.19
2006/11,5.17
2006/12,5.19
2007/01,5.17
2007/02,5.18
2007/03,5.2
2007/04,5.2
2007/05,5.19
2007/06,5.23
2007/07,5.22
2007/08,5.25
2007/09,4.92
2007/10,4.63
2007/11,4.42
2007/12,4.23
2008/01,3.25
2008/02,2.72
2008/03,2.35
2008/04,1.99
2008/05,2
2008/06,2.21
2008/07,2.18
2008/08,2.08
2008/09,2.13
2008/10,2.07
2008/11,1.45
2008/12,0.97
2009/01,0.31
2009/02,0.48
2009/03,0.37
2009/04,0.28
2009/05,0.23
2009/06,0.26
2009/07,0.28
2009/08,0.24
2009/09,0.19
2009/10,0.19
2009/11,0.15
2009/12,0.16
2010/01,0.13
2010/02,0.15
2010/03,0.2
2010/04,0.23
2010/05,0.28
2010/06,0.32
2010/07,0.27
2010/08,0.25
2010/09,0.24
2010/10,0.23
2010/11,0.23
2010/12,0.23
2011/01,0.24
2011/02,0.23
2011/03,0.23
2011/04,0.2
2011/05,0.16
2011/06,0.15
2011/07,0.14
2011/08,0.16
2011/09,0.14
2011/10,0.15
2011/11,0.14
2011/12,0.14
2012/01,0.14
2012/02,0.17
2012/03,0.18
2012/04,0.2
2012/05,0.19
2012/06,0.21
2012/07,0.22
2012/08,0.2
2012/09,0.2
2012/10,0.19
2012/11,0.2
2012/12,0.2
2013/01,0.16
2013/02,0.17
2013/03,0.15
2013/04,0.12
2013/05,0.1
2013/06,0.1
2013/07,0.11
2013/08,0.09
2013/09,0.08
2013/10,0.11
2013/11,0.09
2013/12,0.09
2014/01,0.09
2014/02,0.1
2014/03,0.1
2014/04,0.1
2014/05,0.1
2014/06,0.1
2014/07,0.1
2014/08,0.11
2014/09,0.1
2014/10,0.1
2014/11,0.1
2014/12,0.13
2015/01,0.12
2015/02,0.12
2015/03,0.11
2015/04,0.1
2015/05,0.12
2015/06,0.14
2015/07,0.13
