Total,
Ruta temática,Finanzas públicas> Gastos del sector público> Total
Periodicidad,Mensual
Unidad de medida,Millones de pesos a precios corrientes
Fuente,SHCP. Dirección General Adjunta de Estadística de la Hacienda Pública. Unidad de Planeación Económica de la Hacienda Pública
Cifras preliminares,2014/01
Nota, Cifras acumuladas. Excluye las empresas denominadas chiquillería.
Fecha inicial,2015/03
Fecha final,1982/01
Última actualización,2015/05/06
Periodo,Dato
1982/01,230.6
1982/02,461.1
1982/03,762.2
1982/04,1013.1
1982/05,1283.6
1982/06,1576.4
1982/07,1921.4
1982/08,2183.6
1982/09,2729.1
1982/10,3072.2
1982/11,3492
1982/12,4273.2
1983/01,378.4
1983/02,735.2
1983/03,1346.9
1983/04,1789.1
1983/05,2342.9
1983/06,2907.7
1983/07,3430.8
1983/08,3942.3
1983/09,4702.5
1983/10,5533.6
1983/11,6209.8
1983/12,7362.1
1984/01,599.5
1984/02,1274.5
1984/03,2357
1984/04,3265.4
1984/05,4039.1
1984/06,4845.2
1984/07,5868.9
1984/08,6754.8
1984/09,7680
1984/10,8936.2
1984/11,9918.4
1984/12,11150.5
1985/01,1278.1
1985/02,2385.4
1985/03,3620.5
1985/04,4706.4
1985/05,6050.1
1985/06,7462.4
1985/07,9076
1985/08,10656.2
1985/09,12409.2
1985/10,14328.1
1985/11,15897.8
1985/12,18381
1986/01,2084.6
1986/02,3873
1986/03,6042.1
1986/04,8459.3
1986/05,10910.8
1986/06,13416
1986/07,16828.1
1986/08,19891.7
1986/09,23218.6
1986/10,26619.6
1986/11,30274.3
1986/12,34931
1987/01,4813.6
1987/02,9028.7
1987/03,13933.6
1987/04,19808.2
1987/05,25065.8
1987/06,31447.2
1987/07,39001.6
1987/08,45947.6
1987/09,52699.5
1987/10,62042.6
1987/11,71742.1
1987/12,86527.9
1988/01,11741.1
1988/02,24499.1
1988/03,37096
1988/04,51270.7
1988/05,63383.7
1988/06,76404.4
1988/07,90140.4
1988/08,103270.2
1988/09,115151.4
1988/10,126307.3
1988/11,139792.3
1988/12,154694.7
1989/01,12049.9
1989/02,24229.4
1989/03,38137
1989/04,50604.5
1989/05,63313.9
1989/06,79685.2
1989/07,96812.5
1989/08,112400.2
1989/09,126261.8
1989/10,140338.5
1989/11,155053.6
1989/12,174451.4
1990/01,16404.4
1990/02,31840.4
1990/03,51198
1990/04,66958.2
1990/05,84106.8
1990/06,100642.5
1990/07,119142.7
1990/08,135452.9
1990/09,151472.6
1990/10,171633.7
1990/11,188871.8
1990/12,219772.4
1991/01,18249.2
1991/02,34519
1991/03,52572.5
1991/04,70776.7
1991/05,88735.6
1991/06,105665.8
1991/07,125539.7
1991/08,143712.7
1991/09,162799.6
1991/10,183553.1
1991/11,201203.2
1991/12,233130.7
1992/01,18422.2
1992/02,33874.2
1992/03,56119
1992/04,74569.5
1992/05,92941.3
1992/06,113177.9
1992/07,137880.3
1992/08,157016.3
1992/09,178263.1
1992/10,199301.8
1992/11,222053.7
1992/12,258468.1
1993/01,19408.7
1993/02,38271.9
1993/03,64816.1
1993/04,84203.9
1993/05,105632.1
1993/06,131957.8
1993/07,159324.2
1993/08,182102.5
1993/09,205904.1
1993/10,230052.1
1993/11,254492.2
1993/12,293186.2
1994/01,25531.6
1994/02,48283.9
1994/03,76706.8
1994/04,98462.4
1994/05,123599.8
1994/06,152424.7
1994/07,182762.7
1994/08,211390.5
1994/09,237769.4
1994/10,266545.6
1994/11,297337.8
1994/12,336731.1
1995/01,26653.8
1995/02,51549.3
1995/03,84469.5
1995/04,111067.6
1995/05,142373.2
1995/06,181360.4
1995/07,215014.8
1995/08,241930.3
1995/09,271308.5
1995/10,308264.2
1995/11,345926.9
1995/12,422057
1996/01,37165.1
1996/02,74549.9
1996/03,121422.5
1996/04,156141.3
1996/05,193350
1996/06,235693.6
1996/07,282989.8
1996/08,326264.2
1996/09,372731.6
1996/10,421392.7
1996/11,473541.9
1996/12,583982.3
1997/01,49430.1
1997/02,99994.8
1997/03,154351.4
1997/04,203179
1997/05,250272.6
1997/06,318977.5
1997/07,373677
1997/08,424240.2
1997/09,484532.7
1997/10,543177.5
1997/11,602186.2
1997/12,751525.8
1998/01,59680.1
1998/02,116353
1998/03,185316.8
1998/04,238897.8
1998/05,293833.4
1998/06,364414.8
1998/07,426817
1998/08,485746.3
