Total,
Ruta temática,Finanzas públicas> Ingresos del sector público> Total
Periodicidad,Mensual
Unidad de medida,Millones de pesos a precios corrientes
Fuente,SHCP. Dirección General Adjunta de Estadística de la Hacienda Pública. Unidad de Planeación Económica de la Hacienda Pública
Cifras preliminares,2014/01
Nota, Cifras acumuladas.
Fecha inicial,2015/03
Fecha final,1986/01
Última actualización,2015/05/06
Periodo,Dato
1986/01,1778.5
1986/02,3236.2
1986/03,4822.3
1986/04,6441.3
1986/05,8287
1986/06,10063.3
1986/07,12144.5
1986/08,14100.5
1986/09,16476.1
1986/10,18893.4
1986/11,21268.6
1986/12,24082.3
1987/01,3064.7
1987/02,6010.8
1987/03,9892.7
1987/04,13912
1987/05,17934.2
1987/06,22656
1987/07,27655.2
1987/08,32768.4
1987/09,38549.4
1987/10,44860.4
1987/11,51318.4
1987/12,59102.7
1988/01,8414.7
1988/02,17030
1988/03,27616.3
1988/04,36928.6
1988/05,46947.3
1988/06,56881.5
1988/07,67440.5
1988/08,78683.3
1988/09,88897.1
1988/10,98445.6
1988/11,108180
1988/12,118513.8
1989/01,12168.8
1989/02,22483.6
1989/03,34333.1
1989/04,45919.8
1989/05,58680.2
1989/06,71038.2
1989/07,84429.7
1989/08,97444.6
1989/09,109971.4
1989/10,122985.6
1989/11,135123.5
1989/12,149088.3
1990/01,16381.8
1990/02,29924.4
1990/03,45505.9
1990/04,61193.4
1990/05,76962.9
1990/06,92640.7
1990/07,108913.7
1990/08,125734.5
1990/09,142248.2
1990/10,160874.5
1990/11,179391.4
1990/12,203486.3
1991/01,20979.8
1991/02,37544.6
1991/03,54199.9
1991/04,73198
1991/05,91042.2
1991/06,108592.2
1991/07,127745.9
1991/08,147929.7
1991/09,166157.8
1991/10,186674.8
1991/11,205542.3
1991/12,229608.3
1992/01,23603.6
1992/02,41395.1
1992/03,62445.8
1992/04,85310.4
1992/05,105924.1
1992/06,127561.8
1992/07,150681.3
1992/08,179825.8
1992/09,201365.7
1992/10,224312.8
1992/11,245956.2
1992/12,274471
1993/01,25133.5
1993/02,45388.4
1993/03,71172.5
1993/04,96890.4
1993/05,120829.5
1993/06,145323.1
1993/07,170861.6
1993/08,195414.1
1993/09,220087.8
1993/10,244398.4
1993/11,269213.9
1993/12,301520.1
1994/01,29513.9
1994/02,53915
1994/03,84410.6
1994/04,114065
1994/05,141655.6
1994/06,170986.7
1994/07,201128.6
1994/08,232634
1994/09,264526
1994/10,297116.3
1994/11,328054.1
1994/12,363065.5
1995/01,30859.2
1995/02,56845.6
1995/03,89221.1
1995/04,120795.4
1995/05,156286.6
1995/06,191184.8
1995/07,226180.8
1995/08,261338.7
1995/09,293176.4
1995/10,329093.9
1995/11,363651.4
1995/12,418882.6
1996/01,43792.1
1996/02,80567.9
1996/03,123493.5
1996/04,170036.2
1996/05,218835.9
1996/06,260066.7
1996/07,307927.5
1996/08,356635.9
