México,
Ruta temática,Indicadores internacionales> Índices de la producción industrial> México
Periodicidad,Mensual
Unidad de medida,Índice base 2008 = 100
Fuente,INEGI. Series calculadas por métodos econométricos a partir de las cifras generadas por el Sistema de Cuentas Nacionales de México.
Nota, Cifras desestacionalizadas.
Fecha inicial,2015/06
Fecha final,1993/01
Última actualización,2015/08/11
Periodo,Dato
1993/01,68.25634099
1993/02,69.40015124
1993/03,69.92613711
1993/04,69.31749125
1993/05,69.74271694
1993/06,68.94870589
1993/07,68.73767479
1993/08,68.45549421
1993/09,68.7762673
1993/10,68.61998673
1993/11,69.26096836
1993/12,70.22368623
1994/01,70.64378972
1994/02,70.96637534
1994/03,71.46560781
1994/04,73.53238485
1994/05,72.06540501
1994/06,72.4461945
1994/07,72.55565243
1994/08,73.01600691
1994/09,72.75433473
1994/10,72.90715296
1994/11,72.71612709
1994/12,72.05723256
1995/01,71.51731362
1995/02,67.26358511
1995/03,66.34067933
1995/04,65.76476861
1995/05,65.18383128
1995/06,65.16685996
1995/07,65.23248436
1995/08,65.44222805
1995/09,66.07472657
1995/10,62.00664085
1995/11,66.3657854
1995/12,70.2224042
1996/01,70.8044859
1996/02,70.81529435
1996/03,70.89134114
1996/04,71.43417826
1996/05,71.70809127
1996/06,72.22790952
1996/07,72.5113086
1996/08,71.80175266
1996/09,72.55940444
1996/10,73.81443015
1996/11,74.34047921
1996/12,76.27601336
1997/01,75.28696898
1997/02,76.08296943
1997/03,76.9378268
1997/04,77.92217855
1997/05,78.77421438
1997/06,79.78300982
1997/07,79.85940483
1997/08,80.65899548
1997/09,81.14252364
1997/10,81.949591
1997/11,81.89458677
1997/12,81.53992529
1998/01,81.49203119
1998/02,83.40479737
1998/03,84.83243723
1998/04,83.65974829
1998/05,84.20276231
1998/06,83.46496964
1998/07,83.99686084
1998/08,83.86525185
1998/09,83.69529015
1998/10,83.55981019
1998/11,84.29738128
1998/12,84.86745057
1999/01,85.04977122
1999/02,84.52290321
1999/03,85.02387889
1999/04,84.9873384
1999/05,84.80695683
1999/06,84.50444477
1999/07,85.37315556
1999/08,84.64437289
1999/09,85.09317289
1999/10,85.14332944
1999/11,86.10450638
1999/12,86.39373465
2000/01,87.5199029
2000/02,88.36522945
2000/03,88.5755778
2000/04,88.54903798
2000/05,89.65340102
2000/06,90.10908648
2000/07,89.47435911
2000/08,90.24740466
2000/09,90.30873987
2000/10,89.4405694
2000/11,88.75410848
2000/12,87.69706272
2001/01,88.30117236
2001/02,87.75076537
2001/03,87.92168571
2001/04,85.70262905
2001/05,87.09048464
2001/06,87.79599589
2001/07,88.89233046
2001/08,88.29159483
2001/09,88.48511584
2001/10,86.62615046
2001/11,88.6337843
2001/12,88.24147213
2002/01,87.27575381
2002/02,86.29922732
2002/03,86.92327534
2002/04,87.64453789
2002/05,87.91259269
2002/06,87.69057166
2002/07,88.20153068
2002/08,88.4298467
2002/09,88.2680136
2002/10,88.84426175
2002/11,88.31009876
2002/12,88.41497394
2003/01,88.14936734
2003/02,89.37689372
2003/03,88.62478222
2003/04,88.45623129
2003/05,88.50046581
2003/06,89.01957423
2003/07,89.01601364
2003/08,88.81610149
2003/09,88.82587858
2003/10,89.28311544
2003/11,89.49048155
2003/12,90.7695173
2004/01,91.35623588
2004/02,91.71038691
2004/03,93.14008102
2004/04,92.58407994
2004/05,92.27690644
2004/06,92.41759696
2004/07,92.24345575
2004/08,92.11933733
2004/09,92.70104037
2004/10,93.28399186
2004/11,93.38868462
2004/12,92.98155442
2005/01,94.08550302
2005/02,93.96021269
2005/03,94.01293556
2005/04,94.23359809
2005/05,95.87854909
2005/06,94.14090268
2005/07,92.54313919
2005/08,95.21075039
2005/09,95.17369764
2005/10,94.99463426
2005/11,96.83252865
2005/12,97.8695821
2006/01,98.07657076
2006/02,97.30986067
2006/03,98.65370783
2006/04,98.79899023
2006/05,99.81267497
2006/06,99.60701167
2006/07,99.2429746
2006/08,100.0655732
2006/09,99.89674214
2006/10,99.13724357
2006/11,99.21941382
2006/12,98.76104164
2007/01,99.10358627
2007/02,99.68625963
2007/03,100.9734308
2007/04,100.5072028
2007/05,100.3807523
2007/06,100.5708468
2007/07,101.1067856
2007/08,100.0397272
2007/09,101.1251074
2007/10,100.7228529
2007/11,99.58366822
2007/12,101.2929627
2008/01,101.2273595
2008/02,101.7349126
2008/03,101.0761196
2008/04,100.317696
2008/05,100.6511927
2008/06,101.0103816
2008/07,100.4257658
2008/08,100.1939401
2008/09,98.78194466
2008/10,98.82898098
2008/11,97.38570114
2008/12,96.27063758
2009/01,93.60200909
2009/02,94.06391975
2009/03,93.11837995
2009/04,93.17064412
2009/05,92.65938883
2009/06,92.73645074
2009/07,94.03695496
2009/08,93.05896878
2009/09,93.38641509
2009/10,94.21422596
2009/11,95.7852701
2009/12,95.43045159
2010/01,96.04850279
2010/02,96.28528118
2010/03,97.06542097
2010/04,97.7996058
2010/05,97.74029484
2010/06,97.81396736
2010/07,98.1678836
2010/08,99.48318648
2010/09,99.09155837
2010/10,98.78331222
2010/11,98.81881561
2010/12,99.5908048
2011/01,99.83186129
2011/02,99.96964418
2011/03,100.6121218
2011/04,100.4904634
2011/05,101.3676029
2011/06,101.061358
2011/07,101.3945664
2011/08,101.5963121
2011/09,102.1377542
2011/10,102.707784
2011/11,102.8563586
2011/12,103.3628335
2012/01,103.5028769
2012/02,103.7193464
2012/03,103.8623769
2012/04,104.2339125
2012/05,104.5282813
2012/06,105.0762361
2012/07,104.733938
2012/08,104.0243116
2012/09,105.2234697
2012/10,103.4645082
2012/11,104.9882417
2012/12,103.7973277
2013/01,103.533029
2013/02,103.9863206
2013/03,104.4126526
2013/04,102.7926271
2013/05,103.3487292
2013/06,103.4476939
2013/07,103.733201
2013/08,103.9774843
2013/09,103.6183695
2013/10,103.7690106
2013/11,104.030254
2013/12,104.1974575
2014/01,104.745537
2014/02,104.6162056
2014/03,104.8746356
2014/04,105.1122183
2014/05,105.9888407
2014/06,105.5137023
2014/07,105.747909
2014/08,105.9648637
2014/09,105.9478329
2014/10,106.2891651
2014/11,106.6005326
2014/12,106.3068925
2015/01,106.1288325
2015/02,106.4437831
2015/03,106.4076742
2015/04,106.3934608
2015/05,105.9410701
2015/06,106.1889156
