México,
Ruta temática,Indicadores internacionales> Principales países productores de petróleo> México
Periodicidad,Mensual
Unidad de medida,Miles de barriles por día
Fuente,Petróleos Mexicanos. Indicadores petroleros.
Fecha inicial,2015/06
Fecha final,1983/01
Última actualización,2015/07/29
Periodo,Dato
1983/01,2980
1983/02,2295
1983/03,2415
1983/04,2670
1983/05,2795
1983/06,2775
1983/07,2688
1983/08,2778
1983/09,2738
1983/10,2663
1983/11,2733
1983/12,2693
1984/01,2629
1984/02,2714
1984/03,2667
1984/04,2781
1984/05,2801
1984/06,2816
1984/07,2728
1984/08,2571
1984/09,2599
1984/10,2564
1984/11,2635
1984/12,2715
1985/01,2539
1985/02,2582
1985/03,2698
1985/04,2704
1985/05,2674
1985/06,2446
1985/07,2617
1985/08,2796
1985/09,2697
1985/10,2749
1985/11,2794
1985/12,2733
1986/01,2510
1986/02,2123
1986/03,2219
1986/04,2359
1986/05,2527
1986/06,2547
1986/07,2536
1986/08,2567
1986/09,2567
1986/10,2324
1986/11,2452
1986/12,2570
1987/01,2511
1987/02,2542
1987/03,2522
1987/04,2529
1987/05,2554
1987/06,2530
1987/07,2522
1987/08,2544
1987/09,2556
1987/10,2553
1987/11,2557
1987/12,2568
1988/01,2561
1988/02,2532
1988/03,2517
1988/04,2492
1988/05,2524
1988/06,2528
1988/07,2528
1988/08,2524
1988/09,2284
1988/10,2531
1988/11,2524
1988/12,2529
1989/01,2525
1989/02,2497
1989/03,2536
1989/04,2520
1989/05,2520
1989/06,2519
1989/07,2515
1989/08,2517
1989/09,2521
1989/10,2509
1989/11,2509
1989/12,2469
1990/01,2517
1990/02,2514
1990/03,2505
1990/04,2505
1990/05,2479
1990/06,2459
1990/07,2479
1990/08,2540
1990/09,2620
1990/10,2638
1990/11,2659
1990/12,2658
1991/01,2661
1991/02,2674
1991/03,2669
1991/04,2653
1991/05,2696
1991/06,2718
1991/07,2689
1991/08,2658
1991/09,2676
1991/10,2683
1991/11,2657
1991/12,2675
1992/01,2650
1992/02,2665
1992/03,2681
1992/04,2678
1992/05,2659
1992/06,2679
1992/07,2682
1992/08,2686
1992/09,2687
1992/10,2654
1992/11,2638
1992/12,2654
1993/01,2604
1993/02,2611
1993/03,2635
1993/04,2674
1993/05,2673
1993/06,2675
1993/07,2649
1993/08,2650
1993/09,2700
1993/10,2731
1993/11,2730
1993/12,2745
1994/01,2724
1994/02,2707
1994/03,2687
1994/04,2699
1994/05,2688
1994/06,2673
1994/07,2672
1994/08,2676
1994/09,2667
1994/10,2684
1994/11,2673
1994/12,2673
1995/01,2680
1995/02,2647
1995/03,2670
1995/04,2668
1995/05,2681
1995/06,2699
1995/07,2706
1995/08,2708
1995/09,2739
1995/10,1899
1995/11,2556
1995/12,2763
1996/01,2796
1996/02,2844
1996/03,2869
1996/04,2852
1996/05,2874
1996/06,2880
1996/07,2872
1996/08,2830
1996/09,2862
1996/10,2858
1996/11,2859
1996/12,2902
1997/01,2939
1997/02,2968
1997/03,2969
1997/04,2947
1997/05,2989
1997/06,3007
1997/07,3033
1997/08,3080
1997/09,3105
1997/10,3087
1997/11,3085
1997/12,3056
1998/01,3085
1998/02,3141
1998/03,3158
1998/04,3141
1998/05,3149
1998/06,3050
1998/07,3122
1998/08,3055
1998/09,2906
1998/10,2792
1998/11,3147
1998/12,3107
1999/01,3144
1999/02,3020
1999/03,3053
1999/04,2893
1999/05,2926
1999/06,2801
1999/07,2920
1999/08,2848
1999/09,2861
1999/10,2766
1999/11,2852
1999/12,2793
2000/01,3032
2000/02,2897
2000/03,2998
2000/04,3041
2000/05,3040
2000/06,3056
2000/07,2876
2000/08,3162
2000/09,3173
2000/10,2861
2000/11,2965
2000/12,3043
2001/01,3087
2001/02,3136
2001/03,3151
2001/04,3008
2001/05,3031
