"Impuestos a los productos, netos",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Impuestos a los productos, netos"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,206855.555
1993/02,207085.725
1993/03,207259.297
1993/04,215184.076
1994/01,213439.981
1994/02,218666.094
1994/03,217333.364
1994/04,226484.088
1995/01,211094.249
1995/02,200983.81
1995/03,202262.493
1995/04,211141.276
1996/01,214557.261
1996/02,214455.245
1996/03,216191.817
1996/04,228772.643
1997/01,223888.715
1997/02,232691.278
1997/03,233341.795
1997/04,244909.242
1998/01,242238.39
1998/02,243017.207
1998/03,243904.321
1998/04,249625.386
1999/01,247711.557
1999/02,248133.89
1999/03,250674.175
1999/04,258370.015
2000/01,261171.849
2000/02,263311.885
2000/03,265148.407
2000/04,268481.246
2001/01,261370.503
2001/02,261841.455
2001/03,262391.421
2001/04,266103.186
2002/01,255498.87
2002/02,265587.825
2002/03,263227.962
2002/04,268779.3
2003/01,263634.305
2003/02,266653.691
2003/03,264291.367
2003/04,273496.636
2004/01,274498.221
2004/02,277460.626
2004/03,274998.808
2004/04,286210.346
2005/01,278826.517
2005/02,287500.515
2005/03,284625.466
2005/04,297075.502
2006/01,294945.295
2006/02,301534.687
2006/03,300018.535
2006/04,309017.484
2007/01,303833.892
2007/02,310107.919
2007/03,309780.679
2007/04,320877.51
2008/01,310536.461
2008/02,319820.83
2008/03,314851.807
2008/04,317446.902
2009/01,294276.645
2009/02,294412.624
2009/03,300433.459
2009/04,314113.272
2010/01,305451.574
2010/02,314557.892
2010/03,317075.954
2010/04,328834.58
2011/01,318604.989
2011/02,324266.641
2011/03,329848.019
2011/04,342572.351
2012/01,334306.134
2012/02,339101.575
2012/03,340743.567
2012/04,355065.893
2013/01,338121.959
2013/02,345591.937
2013/03,346572.927
2013/04,359469.176
2014/01,344941.244
2014/02,351321.447
2014/03,354254.81
2014/04,368990.782
2015/01,353744.922
2015/02,358976.414
