Producción bruta,
Ruta temática,"Cuentas nacionales> Oferta y utilización total de bienes y servicios, base 2008> Series originales> A precios constantes> Valores absolutos> Oferta de bienes y servicios> Producción bruta"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2015/01
Cifras revisadas,2011/01
Fecha inicial,2015/01
Fecha final,1993/01
Última actualización,2015/06/19
Periodo,Dato
1993/01,13659233.51
1993/02,13632984.98
1993/03,13680654.64
1993/04,14234728.82
1994/01,14103993.53
1994/02,14458505.74
1994/03,14466629.03
1994/04,15059320.29
1995/01,14087559.01
1995/02,13150608.95
1995/03,13253566.04
1995/04,13980206.13
1996/01,14131292.58
1996/02,14099734.97
1996/03,14309931.95
1996/04,15195667.66
1997/01,14883912.21
1997/02,15506032.79
1997/03,15639308.44
1997/04,16433246.22
1998/01,16361631.23
1998/02,16369528.73
1998/03,16541008.33
1998/04,16907641.48
1999/01,16717250.53
1999/02,16779003.48
1999/03,17086788.83
1999/04,17457491.4
2000/01,17708992.25
2000/02,17832132.8
2000/03,18100470.71
2000/04,18146711.17
2001/01,17714296.98
2001/02,17637853.15
2001/03,17707992.73
2001/04,17802578.71
2002/01,17091155.85
2002/02,17740291.68
2002/03,17669324.47
2002/04,17899396.93
2003/01,17526523.6
2003/02,17710846.68
2003/03,17628896.4
2003/04,18142165.88
2004/01,18207690.64
2004/02,18470021.04
2004/03,18490189.15
2004/04,19078041.52
2005/01,18545666.51
2005/02,19124365.99
2005/03,19041505.29
2005/04,19799519.06
2006/01,19722295.77
2006/02,20213241.09
2006/03,20174142.57
2006/04,20628162.48
2007/01,20299465.44
2007/02,20737056.04
2007/03,20810430.01
2007/04,21399165.48
2008/01,20674359.87
2008/02,21338686.89
2008/03,21024345.13
2008/04,20955529.39
2009/01,19389561
2009/02,19303463.84
2009/03,19799854.96
2009/04,20692216.97
2010/01,20205007.4
2010/02,20861753
2010/03,21029772.18
2010/04,21629512.58
2011/01,21051497.86
2011/02,21457752.08
2011/03,21824540.39
2011/04,22572662.74
2012/01,22152255.53
2012/02,22502750.49
2012/03,22558352.84
2012/04,23280986.91
2013/01,22297835.9
2013/02,22925796.41
2013/03,22942136.37
2013/04,23564550.92
2014/01,22720635.37
2014/02,23248058.45
2014/03,23448266.89
2014/04,24193849.18
2015/01,23328161.71
