"Producto interno bruto, a precios de mercado",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Producto interno bruto, a precios de mercado"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,8045765.392
1993/02,8054717.972
1993/03,8061469.152
1993/04,8369707.989
1994/01,8301870.416
1994/02,8505143.082
1994/03,8453305.784
1994/04,8809228.451
1995/01,8210631.832
1995/02,7817380.519
1995/03,7867115.616
1995/04,8212460.965
1996/01,8345327.678
1996/02,8341359.695
1996/03,8408904.647
1996/04,8898243.084
1997/01,8708279.923
1997/02,9050660.67
1997/03,9075962.869
1997/04,9525885.347
1998/01,9422001.028
1998/02,9452293.595
1998/03,9486798.402
1998/04,9709322.488
1999/01,9634883.018
1999/02,9651309.879
1999/03,9750115.733
1999/04,10049449.86
2000/01,10158428.8
2000/02,10241666.72
2000/03,10313099.31
2000/04,10442731.97
2001/01,10166155.56
2001/02,10184473.5
2001/03,10205864.75
2001/04,10350235.96
2002/01,9937775.009
2002/02,10330190.71
2002/03,10238402.49
2002/04,10454324.96
2003/01,10254207.44
2003/02,10371648.18
2003/03,10279764.24
2003/04,10637808.45
2004/01,10684338.08
2004/02,10799644.25
2004/03,10703822.52
2004/04,11140211.01
2005/01,10842388.11
2005/02,11179683.32
2005/03,11067884.79
2005/04,11552014.2
2006/01,11468506.72
2006/02,11724725.39
2006/03,11665772.08
2006/04,12015682.77
2007/01,11803384.68
2007/02,12047119.01
2007/03,12034406.36
2007/04,12465497.73
2008/01,12057767.13
2008/02,12418268.31
2008/03,12225326.97
2008/04,12326091.47
2009/01,11427090.7
2009/02,11432370.94
2009/03,11666166.68
2009/04,12197369.09
2010/01,11849817.39
2010/02,12203091.75
2010/03,12300778.54
2010/04,12756947.64
2011/01,12377289.49
2011/02,12597235.54
2011/03,12814063.06
2011/04,13308382.8
2012/01,12977062.29
2012/02,13163211.24
2012/03,13226949.95
2012/04,13782912.55
2013/01,13110513.78
2013/02,13400158.53
2013/03,13438195.95
2013/04,13938241.7
2014/01,13374928.23
2014/02,13622317.47
2014/03,13736057.17
2014/04,14307437.33
2015/01,13716286.55
2015/02,13919135.08
