56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 56 Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,287089.332
1993/02,303704.959
1993/03,312615.919
1993/04,287512.553
1994/01,303402.78
1994/02,323273.905
1994/03,282374.486
1994/04,295533.81
1995/01,325573.975
1995/02,281982.045
1995/03,270562.649
1995/04,273181.79
1996/01,303457.059
1996/02,313420.838
1996/03,297222.08
1996/04,292495.576
1997/01,316527.716
1997/02,329885.15
1997/03,284113.714
1997/04,299823.546
1998/01,338113.676
1998/02,349967.23
1998/03,299130.152
1998/04,310159.083
1999/01,348092.4
1999/02,351863.507
1999/03,310797.095
1999/04,323547.003
2000/01,355779.562
2000/02,360027.442
2000/03,318038.22
2000/04,341010.356
2001/01,359554.086
2001/02,360048.078
2001/03,312885.074
2001/04,334402.528
2002/01,352101.46
2002/02,357157.448
2002/03,314203.245
2002/04,340531.959
2003/01,359759.299
2003/02,357874.24
2003/03,310115.436
2003/04,330946.537
2004/01,360326.557
2004/02,369600.617
2004/03,318631.53
2004/04,358596.44
2005/01,342571.329
2005/02,374343.456
2005/03,357004.029
2005/04,385488.611
2006/01,359567.981
2006/02,380372.318
2006/03,371950.386
2006/04,401565.79
2007/01,366630.316
2007/02,382723.717
2007/03,389867.257
2007/04,422227.71
2008/01,387921.572
2008/02,401827.185
2008/03,396341.08
2008/04,409003.631
2009/01,376928.049
2009/02,367903.811
2009/03,369024.435
2009/04,369290.897
2010/01,369329.493
2010/02,367001.268
2010/03,372154.006
2010/04,385178.645
2011/01,386133.513
2011/02,388965.607
2011/03,398826.393
2011/04,408859.463
2012/01,396803.33
2012/02,404238.723
2012/03,410223.857
2012/04,440517.618
2013/01,423340.147
2013/02,421423.512
2013/03,423567.624
2013/04,454423.245
2014/01,423286.033
2014/02,430043.243
2014/03,421751.148
2014/04,446948.004
2015/01,434890.043
2015/02,432291.448
