521-522-523 Banca central; Instituciones de intermediación crediticia y financiera no bursátil; Actividades bursátiles cambiarias y de inversión financiera,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 52 Servicios financieros y de seguros> 521-522-523 Banca central; Instituciones de intermediación crediticia y financiera no bursátil; Actividades bursátiles cambiarias y de inversión financiera"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,207135.705
1993/02,222856.203
1993/03,227370.613
1993/04,233747.113
1994/01,236522.91
1994/02,241843.082
1994/03,249191.32
1994/04,261870.849
1995/01,243374.344
1995/02,216333.536
1995/03,209620.22
1995/04,213780.643
1996/01,214119.926
1996/02,189800.821
1996/03,197230.276
1996/04,203283.892
1997/01,199483.822
1997/02,180052.598
1997/03,186319.077
1997/04,194719.375
1998/01,195696.148
1998/02,180357.9
1998/03,191793.366
1998/04,193009.924
1999/01,195452.68
1999/02,174424.141
1999/03,182271.873
1999/04,190238.298
2000/01,191137.168
2000/02,171258.581
2000/03,175041.331
2000/04,171768.447
2001/01,178393.926
2001/02,163030.209
2001/03,170124.278
2001/04,169491.201
2002/01,169445.413
2002/02,153537.091
2002/03,159712.905
2002/04,160580.973
2003/01,167646.837
2003/02,159040.198
2003/03,158474.563
2003/04,174674.67
2004/01,175123.001
2004/02,178313.298
2004/03,207061.745
2004/04,214019.143
2005/01,211358.387
2005/02,207028.014
2005/03,217926.201
2005/04,232833.082
2006/01,240575.527
2006/02,246905.983
2006/03,261645.754
2006/04,276594.403
2007/01,273001.097
2007/02,274072.39
2007/03,299573.606
2007/04,319924.57
2008/01,323307.7
2008/02,356724.691
2008/03,377559.124
2008/04,331595.785
2009/01,348836.906
2009/02,340717.197
2009/03,389392.934
2009/04,377916.647
2010/01,401839.514
2010/02,418184.496
2010/03,434224.882
2010/04,455954.857
2011/01,436121.024
2011/02,428637.314
2011/03,457114.077
2011/04,494473.945
2012/01,474559.16
2012/02,463903.639
2012/03,493969.64
2012/04,531749.213
2013/01,521883.454
2013/02,538302.496
2013/03,552683.695
2013/04,579452.848
2014/01,544307.751
2014/02,550171.574
2014/03,559104.244
2014/04,592249.8
2015/01,546534.896
2015/02,549183.21
