43-46 Comercio al por mayor y comercio al por menor,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 43-46 Comercio al por mayor y comercio al por menor"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,858688.337
1993/02,847503.8
1993/03,842672.626
1993/04,905792.818
1994/01,902481.39
1994/02,935813.607
1994/03,932487.055
1994/04,1018289.841
1995/01,890506.621
1995/02,799015.54
1995/03,813905.138
1995/04,893824.725
1996/01,923652.064
1996/02,923414.019
1996/03,945095.368
1996/04,1053113.033
1997/01,1003261.548
1997/02,1079670.278
1997/03,1097664.002
1997/04,1217731.991
1998/01,1175548.102
1998/02,1172733.305
1998/03,1171684.143
1998/04,1231925.304
1999/01,1185503.563
1999/02,1224210.124
1999/03,1246470.285
1999/04,1358388.001
2000/01,1355561.644
2000/02,1388627.811
2000/03,1412422.469
2000/04,1478770.959
2001/01,1386347.672
2001/02,1398147.462
2001/03,1374105.659
2001/04,1411269.228
2002/01,1292052.121
2002/02,1426982.44
2002/03,1408289.025
2002/04,1460507.418
2003/01,1390588.022
2003/02,1411685.042
2003/03,1419979.22
2003/04,1501903.148
2004/01,1458700.977
2004/02,1488363.091
2004/03,1510111.805
2004/04,1621580.095
2005/01,1504590.6
2005/02,1587054.778
2005/03,1594170.665
2005/04,1722964.398
2006/01,1655561.003
2006/02,1706263.918
2006/03,1703035.319
2006/04,1787889.06
2007/01,1722243.323
2007/02,1788492.188
2007/03,1778327.498
2007/04,1843750.295
2008/01,1757965.596
2008/02,1842967.711
2008/03,1807414.955
2008/04,1735413.722
2009/01,1489950.241
2009/02,1496919.671
2009/03,1566123.841
2009/04,1701087.055
2010/01,1630217.304
2010/02,1739585.601
2010/03,1755357.593
2010/04,1870991.155
2011/01,1825001.203
2011/02,1908550.892
2011/03,1937582.279
2011/04,2005114.642
2012/01,1956323.96
2012/02,2011242.796
2012/03,1981867.641
2012/04,2092880.871
2013/01,1960808.867
2013/02,2076279.005
2013/03,2059305.43
2013/04,2133136.747
2014/01,2002639.322
2014/02,2113570.18
2014/03,2140011.319
2014/04,2248644.337
2015/01,2098831.334
2015/02,2202843.445
