Total sector 71,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos> Total sector 71"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,47267.186
1993/02,50850.212
1993/03,46745.579
1993/04,55077.447
1994/01,46857.25
1994/02,50651.922
1994/03,47121.702
1994/04,55880.89
1995/01,43663.082
1995/02,46441.117
1995/03,42425.833
1995/04,50240.752
1996/01,41303.319
1996/02,44938.522
1996/03,39515.67
1996/04,48839.263
1997/01,43699.713
1997/02,47738.738
1997/03,41753.291
1997/04,52212.76
1998/01,46189.128
1998/02,50630.782
1998/03,44845.817
1998/04,53866.063
1999/01,47215.171
1999/02,51495.755
1999/03,45932.133
1999/04,55582.546
2000/01,48450.281
2000/02,53199.993
2000/03,47782.794
2000/04,57683.071
2001/01,47480.069
2001/02,51986.866
2001/03,47067.297
2001/04,57042.615
2002/01,48072.396
2002/02,54365.494
2002/03,48062.038
2002/04,56867.753
2003/01,48718.148
2003/02,53824.544
2003/03,47669.921
2003/04,55790.191
2004/01,49625.376
2004/02,53360.369
2004/03,49066.888
2004/04,57336.635
2005/01,50016.841
2005/02,53510.494
2005/03,47905.275
2005/04,56972.551
2006/01,52082.191
2006/02,56474.725
2006/03,50538.388
2006/04,59344.253
2007/01,55673.378
2007/02,59258.322
2007/03,52043.199
2007/04,61800.605
2008/01,57065.099
2008/02,56068.815
2008/03,57177.418
2008/04,59101.033
2009/01,54401.994
2009/02,52038.547
2009/03,54686.673
2009/04,58969.074
2010/01,54817.715
2010/02,54751.728
2010/03,57693.903
2010/04,61920.846
2011/01,55335.642
2011/02,54977.996
2011/03,56580.32
2011/04,60608.582
2012/01,54193.867
2012/02,55594.609
2012/03,59178.595
2012/04,65211.41
2013/01,57145.523
2013/02,56644.334
2013/03,61003.561
2013/04,67460.298
2014/01,55594.488
2014/02,55797.615
2014/03,62738.587
2014/04,66061.06
2015/01,57540.654
2015/02,58922.449
