"512 Industria fílmica y del video, e industria del sonido",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> 512 Industria fílmica y del video, e industria del sonido"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,5392.558
1993/02,5743.074
1993/03,5021.793
1993/04,5784.193
1994/01,5192.524
1994/02,5664.215
1994/03,4785.064
1994/04,5583.386
1995/01,5049.135
1995/02,5140.109
1995/03,4269.467
1995/04,5118.673
1996/01,4901.854
1996/02,5242.686
1996/03,4566.008
1996/04,5465.207
1997/01,5521.958
1997/02,5865.841
1997/03,4923.733
1997/04,5926.02
1998/01,5664.856
1998/02,6295.007
1998/03,5402.602
1998/04,6178.346
1999/01,5941.015
1999/02,6368.632
1999/03,5768.769
1999/04,6524.658
2000/01,6414.288
2000/02,6703.98
2000/03,5997.468
2000/04,6772.48
2001/01,6055.109
2001/02,6411.403
2001/03,5614.641
2001/04,6552.685
2002/01,5613.738
2002/02,6584.619
2002/03,5864.61
2002/04,6740.878
2003/01,5866.435
2003/02,6558.783
2003/03,5847.679
2003/04,6421.956
2004/01,6023.704
2004/02,6306.671
2004/03,5942.865
2004/04,6496.627
2005/01,6136.255
2005/02,6386.789
2005/03,6262.277
2005/04,6483.892
2006/01,6520.237
2006/02,6650.224
2006/03,6323.004
2006/04,6513.426
2007/01,6591.212
2007/02,6726.321
2007/03,6891.259
2007/04,7050.276
2008/01,6654.81
2008/02,7308.418
2008/03,7335.97
2008/04,7145.943
2009/01,6273.796
2009/02,6887.817
2009/03,7280.005
2009/04,7300.194
2010/01,6278.176
2010/02,7551.315
2010/03,8215.122
2010/04,7942.735
2011/01,6594.687
2011/02,7961.124
2011/03,8476.129
2011/04,8014.172
2012/01,6552.15
2012/02,8411.041
2012/03,8840.515
2012/04,8667.138
2013/01,6682.044
2013/02,8265.822
2013/03,9691.859
2013/04,9311.483
2014/01,7268.793
2014/02,8891.189
2014/03,9639.622
2014/04,9504.472
2015/01,7175.323
2015/02,8823.299
