"524 Compañías de fianzas, seguros y pensiones",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 52 Servicios financieros y de seguros> 524 Compañías de fianzas, seguros y pensiones"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,16809.146
1993/02,16025.695
1993/03,15003.326
1993/04,15503.327
1994/01,16606.791
1994/02,18029.105
1994/03,17184.979
1994/04,20257.15
1995/01,23175.24
1995/02,21554.478
1995/03,17913.323
1995/04,20686.575
1996/01,20248.532
1996/02,19515.16
1996/03,19220.428
1996/04,19385.023
1997/01,17824.189
1997/02,20239.559
1997/03,20962.622
1997/04,18825.417
1998/01,26558.648
1998/02,28672.029
1998/03,28383.516
1998/04,22670.068
1999/01,22940.568
1999/02,25638.345
1999/03,27161.372
1999/04,24069.822
2000/01,25916.356
2000/02,27538.077
2000/03,28015.552
2000/04,24475.823
2001/01,28219.396
2001/02,28724.209
2001/03,29694.396
2001/04,25464.221
2002/01,25940.239
2002/02,27887.597
2002/03,27785.241
2002/04,23965.96
2003/01,26101.623
2003/02,25959.167
2003/03,26015.444
2003/04,22327.167
2004/01,25875.21
2004/02,25685.413
2004/03,25824.735
2004/04,23407.822
2005/01,27961.183
2005/02,29054.131
2005/03,29771.402
2005/04,25414.963
2006/01,29542.311
2006/02,28697.138
2006/03,27765.392
2006/04,23408.467
2007/01,26270.324
2007/02,27214.453
2007/03,30114.108
2007/04,30910.294
2008/01,41745.698
2008/02,46131.57
2008/03,47069.945
2008/04,38064.176
2009/01,39056.897
2009/02,38255.251
2009/03,39496.135
2009/04,42107.297
2010/01,53536.06
2010/02,61049.383
2010/03,64577.748
2010/04,65106.457
2011/01,70311.236
2011/02,69943.844
2011/03,69704.632
2011/04,66964.148
2012/01,72399.169
2012/02,74410.302
2012/03,73093.194
2012/04,69385.12
2013/01,74429.582
2013/02,76770.517
2013/03,73677.57
2013/04,70587.744
2014/01,73995.207
2014/02,75739.461
2014/03,72816.663
2014/04,69599.26
2015/01,76660.155
2015/02,77869.841
