Total sector 51,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> Total sector 51"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,86265.229
1993/02,86419.571
1993/03,98802.433
1993/04,92949.725
1994/01,88809.651
1994/02,90189.753
1994/03,97492.974
1994/04,93422.49
1995/01,87757.565
1995/02,82422.959
1995/03,88673.027
1995/04,87381.547
1996/01,76242.46
1996/02,79866.155
1996/03,91314.918
1996/04,91788.801
1997/01,83584.207
1997/02,88586.054
1997/03,97618.742
1997/04,106275.728
1998/01,112730.053
1998/02,115163.447
1998/03,123171.103
1998/04,123282.243
1999/01,121947.944
1999/02,124900.293
1999/03,131499.978
1999/04,135618.728
2000/01,133337.512
2000/02,136536.878
2000/03,142056.769
2000/04,144091.682
2001/01,141003.516
2001/02,144866.712
2001/03,149732.188
2001/04,151122.218
2002/01,144147.826
2002/02,149615.973
2002/03,150580.557
2002/04,154868.4
2003/01,147002.934
2003/02,151497.953
2003/03,158112.818
2003/04,168086.447
2004/01,174248.133
2004/02,179561.045
2004/03,191503.836
2004/04,201309.306
2005/01,206830.452
2005/02,211060.756
2005/03,223979.426
2005/04,232818.269
2006/01,235148.555
2006/02,244575.325
2006/03,261534.793
2006/04,275124.18
2007/01,287980.496
2007/02,294189.751
2007/03,318582.537
2007/04,323858.711
2008/01,315910.831
2008/02,323317.737
2008/03,319944.117
2008/04,338762.387
2009/01,334285.782
2009/02,355163.075
2009/03,357024.253
2009/04,361378.679
2010/01,349978.348
2010/02,356889.828
2010/03,355715.465
2010/04,358764.723
2011/01,347518.547
2011/02,364718.976
2011/03,385123.431
2011/04,386857.735
2012/01,404731.653
2012/02,417285.47
2012/03,438113.501
2012/04,466137.105
2013/01,448730.937
2013/02,442178.816
2013/03,456981.848
2013/04,464674.551
2014/01,460346.024
2014/02,463110.704
2014/03,454167.548
2014/04,475023.184
2015/01,488518.856
2015/02,485069.921
