517 Otras telecomunicaciones,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> 517 Otras telecomunicaciones"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,49264.52
1993/02,49982.436
1993/03,52213.951
1993/04,50301.363
1994/01,51082.441
1994/02,51282.529
1994/03,52564.202
1994/04,52372.33
1995/01,53262.513
1995/02,53162.405
1995/03,54752.927
1995/04,53488.396
1996/01,49514.312
1996/02,52478.634
1996/03,58521.776
1996/04,57594.692
1997/01,54366.8
1997/02,57652.095
1997/03,59126.01
1997/04,68113.087
1998/01,80166.103
1998/02,82359.778
1998/03,82846.701
1998/04,84014.549
1999/01,88320.511
1999/02,90031.536
1999/03,91569.903
1999/04,94050.072
2000/01,95688.886
2000/02,98507.364
2000/03,100531.735
2000/04,100367.95
2001/01,104835.298
2001/02,107682.086
2001/03,110255.796
2001/04,109748.382
2002/01,111189.01
2002/02,112079.158
2002/03,112895.105
2002/04,112153.764
2003/01,112803.366
2003/02,115351.421
2003/03,122209.787
2003/04,126457.942
2004/01,139071.457
2004/02,142556.017
2004/03,154284.2
2004/04,159105.286
2005/01,171515.622
2005/02,173955.884
2005/03,186941.877
2005/04,189874.277
2006/01,199927.439
2006/02,207091.627
2006/03,224757.875
2006/04,231241.787
2007/01,250435.972
2007/02,254315.057
2007/03,278309.124
2007/04,275357.5
2008/01,276203.642
2008/02,281007.388
2008/03,278089.367
2008/04,290679.291
2009/01,295719.277
2009/02,314473.683
2009/03,317351.502
2009/04,315614.878
2010/01,311577.087
2010/02,314477.314
2010/03,313154.288
2010/04,309670.515
2011/01,307431.123
2011/02,321850.309
2011/03,341284.939
2011/04,335457.069
2012/01,363914.377
2012/02,372176.139
2012/03,392744.694
2012/04,415550.846
2013/01,408146.104
2013/02,397561.164
2013/03,411569.15
2013/04,412103.685
2014/01,418356.957
2014/02,419875.767
2014/03,410417.444
2014/04,423467.584
2015/01,445893.012
2015/02,439836.419
