Total sector 81,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 81 Otros servicios excepto actividades gubernamentales> Total sector 81"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,192329.703
1993/02,186861.873
1993/03,193187.668
1993/04,207053.358
1994/01,191226.782
1994/02,190484.549
1994/03,199698.138
1994/04,208673.784
1995/01,170843.781
1995/02,164215.762
1995/03,169202.723
1995/04,181386.01
1996/01,169616.59
1996/02,166268.753
1996/03,167827.491
1996/04,179994.719
1997/01,180689.264
1997/02,180246.601
1997/03,184446.755
1997/04,197224.518
1998/01,191431.859
1998/02,189280.985
1998/03,193695.942
1998/04,204109.939
1999/01,196596.381
1999/02,197586.887
1999/03,206131.141
1999/04,215930.238
2000/01,211028.142
2000/02,210052.905
2000/03,217237.379
2000/04,226942.356
2001/01,216804.519
2001/02,214785.682
2001/03,217516.759
2001/04,225826.401
2002/01,219239.222
2002/02,222160.166
2002/03,222672.114
2002/04,227990.401
2003/01,223290.992
2003/02,221772.255
2003/03,219405.844
2003/04,226192.385
2004/01,223586.18
2004/02,225205.333
2004/03,227456.429
2004/04,238405.374
2005/01,230666.041
2005/02,233779.179
2005/03,233514.324
2005/04,244887.7
2006/01,238917.038
2006/02,242320.536
2006/03,241742.576
2006/04,250435.367
2007/01,247603.037
2007/02,252483.567
2007/03,251544.997
2007/04,257929.554
2008/01,252152.986
2008/02,254109.743
2008/03,254419.758
2008/04,261778.357
2009/01,252807.596
2009/02,247872.379
2009/03,254557.222
2009/04,261156.415
2010/01,254031.483
2010/02,250804.99
2010/03,258941.226
2010/04,262919.153
2011/01,255415.757
2011/02,256522.754
2011/03,264567.329
2011/04,269376.007
2012/01,264053.166
2012/02,263893.46
2012/03,273694.404
2012/04,278373.813
2013/01,272267.567
2013/02,270545.936
2013/03,279647.644
2013/04,280685.677
2014/01,273179.527
2014/02,274401.167
2014/03,285314.522
2014/04,285804.286
2015/01,280764.636
2015/02,276699.773
