519 Otros servicios de información,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> 519 Otros servicios de información"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,631.436
1993/02,588.049
1993/03,604.724
1993/04,644.25
1994/01,622.448
1994/02,587.888
1994/03,602.367
1994/04,648.565
1995/01,607.737
1995/02,542.907
1995/03,548.964
1995/04,600.893
1996/01,586.201
1996/02,553.603
1996/03,570.475
1996/04,624.659
1997/01,614.885
1997/02,593.823
1997/03,602.509
1997/04,658.679
1998/01,649.348
1998/02,621.116
1998/03,638.572
1998/04,676.358
1999/01,653.709
1999/02,629.165
1999/03,658.67
1999/04,696.886
2000/01,689.426
2000/02,660.281
2000/03,687.837
2000/04,718.224
2001/01,675.299
2001/02,643.515
2001/03,674.622
2001/04,714.071
2002/01,664.202
2002/02,663.304
2002/03,685.087
2002/04,707.756
2003/01,676.286
2003/02,651.025
2003/03,687.626
2003/04,732.875
2004/01,711.004
2004/02,720.217
2004/03,756.256
2004/04,772.295
2005/01,749.193
2005/02,743.123
2005/03,762.922
2005/04,786.271
2006/01,734.869
2006/02,741.678
2006/03,771.912
2006/04,807.617
2007/01,796.018
2007/02,812.23
2007/03,833.49
2007/04,887.83
2008/01,813.437
2008/02,845.048
2008/03,922.055
2008/04,939.464
2009/01,843.286
2009/02,853.953
2009/03,910.514
2009/04,890.326
2010/01,809.526
2010/02,823.876
2010/03,861.393
2010/04,825.973
2011/01,806.325
2011/02,764.21
2011/03,802.498
2011/04,757.683
2012/01,872.485
2012/02,821.319
2012/03,806.769
2012/04,752.887
2013/01,884.465
2013/02,748.246
2013/03,777.915
2013/04,799.474
2014/01,866.901
2014/02,809.28
2014/03,829.442
2014/04,876.095
2015/01,951.296
2015/02,830.886
