"518 Procesamiento electrónico de información, hospedaje y otros  servicios relacionados",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> 518 Procesamiento electrónico de información, hospedaje y otros  servicios relacionados"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,1720.305
1993/02,1470.66
1993/03,1630.501
1993/04,1657.893
1994/01,1679.637
1994/02,1485.741
1994/03,1640.014
1994/04,1671.21
1995/01,1686.386
1995/02,1376.085
1995/03,1499.396
1995/04,1583.812
1996/01,1632.88
1996/02,1425.337
1996/03,1574.358
1996/04,1644.985
1997/01,1700.703
1997/02,1542.586
1997/03,1659.184
1997/04,1726.594
1998/01,1788.485
1998/02,1593.879
1998/03,1745.505
1998/04,1749.331
1999/01,1766.281
1999/02,1589.656
1999/03,1796.129
1999/04,1807.761
2000/01,1897.302
2000/02,1694.557
2000/03,1891.103
2000/04,1856.149
2001/01,1876.969
2001/02,1657.063
2001/03,1858.31
2001/04,1857.756
2002/01,1831.047
2002/02,1681.611
2002/03,1871.936
2002/04,1871.98
2003/01,1882.658
2003/02,1665.237
2003/03,1885.492
2003/04,1948.244
2004/01,1966.685
2004/02,1808.324
2004/03,2038.65
2004/04,2159.565
2005/01,2152.078
2005/02,1958.639
2005/03,2141.184
2005/04,2205.458
2006/01,2013.246
2006/02,1879.088
2006/03,2106.562
2006/04,2264.239
2007/01,2190.655
2007/02,2096.032
2007/03,2284.084
2007/04,2483.29
2008/01,2407.806
2008/02,2426.923
2008/03,2443.966
2008/04,2441.201
2009/01,2107.345
2009/02,2170.283
2009/03,2168.607
2009/04,2248.525
2010/01,2268.598
2010/02,2468.542
2010/03,2723.405
2010/04,2094.523
2011/01,2198.202
2011/02,2525.839
2011/03,2863.392
2011/04,2237.407
2012/01,2086.788
2012/02,2612.87
2012/03,2915.644
2012/04,2293.949
2013/01,2046.076
2013/02,2541.02
2013/03,2739.227
2013/04,2375.189
2014/01,2018.534
2014/02,2491.688
2014/03,2778.89
2014/04,2376.807
2015/01,2078.13
2015/02,2507.85
