515 Radio y televisión,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 51 Información en medios masivos> 515 Radio y televisión"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,9945.152
1993/02,11265.251
1993/03,11015.083
1993/04,13615.749
1994/01,9736.166
1994/02,11237.785
1994/03,11081.422
1994/04,13611.779
1995/01,8853.275
1995/02,9238.67
1995/03,8796.383
1995/04,11268.601
1996/01,7703.19
1996/02,9152.581
1996/03,8949.375
1996/04,11876.337
1997/01,8344.184
1997/02,10090.532
1997/03,9829.083
1997/04,13022.556
1998/01,9208.425
1998/02,10776.602
1998/03,10479.045
1998/04,13330.397
1999/01,9462.707
1999/02,11095.551
1999/03,10984.077
1999/04,14278.143
2000/01,10286.828
2000/02,12056.549
2000/03,11837.767
2000/04,14884.902
2001/01,9992.037
2001/02,11541.991
2001/03,11446.764
2001/04,14533.895
2002/01,9535.597
2002/02,11878.918
2002/03,11475.026
2002/04,14457.565
2003/01,9845.515
2003/02,11605.221
2003/03,11436.807
2003/04,14442.145
2004/01,10406.991
2004/02,11665.893
2004/03,11683.567
2004/04,15228.989
2005/01,10413.079
2005/02,11734.4
2005/03,11509.898
2005/04,15776.055
2006/01,10008.146
2006/02,11860.06
2006/03,11058.382
2006/04,16434.232
2007/01,10769.55
2007/02,12459.277
2007/03,12345.075
2007/04,18268.693
2008/01,11431.826
2008/02,12696.109
2008/03,12455.863
2008/04,17584.846
2009/01,11944.709
2009/02,13271.437
2009/03,12341.523
2009/04,18063.923
2010/01,12481.313
2010/02,14144.496
2010/03,13595.732
2010/04,20732.295
2011/01,13515.482
2011/02,14146.048
2011/03,13645.362
2011/04,21642.284
2012/01,13848.322
2012/02,15165.78
2012/03,14823.378
2012/04,19937.897
2013/01,13997.162
2013/02,14912.475
2013/03,14765.533
2013/04,21173.97
2014/01,14492.008
2014/02,14833.719
2014/03,14005.3
2014/04,20693.006
2015/01,15609.725
2015/02,17213.85
