61 Servicios educativos,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 61 Servicios educativos"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,358139.081
1993/02,353605.821
1993/03,328848.189
1993/04,360689.336
1994/01,363486.112
1994/02,364661.064
1994/03,337684.778
1994/04,366957.595
1995/01,375538.871
1995/02,366341.648
1995/03,357899.897
1995/04,376320.711
1996/01,382055.037
1996/02,376559.93
1996/03,363211.675
1996/04,389211.598
1997/01,382526.614
1997/02,390482.196
1997/03,372887.589
1997/04,399146.295
1998/01,399064.392
1998/02,393779.69
1998/03,385023.848
1998/04,405733.757
1999/01,408399.275
1999/02,409864.726
1999/03,393072.044
1999/04,417808.111
2000/01,424172.196
2000/02,416217.236
2000/03,404215.809
2000/04,426096.526
2001/01,427637.8
2001/02,425411.011
2001/03,414461.77
2001/04,436857.363
2002/01,436565.029
2002/02,440064.507
2002/03,423112.755
2002/04,447541.628
2003/01,439123.501
2003/02,442599.182
2003/03,433646.864
2003/04,455982.733
2004/01,447864.214
2004/02,452034.006
2004/03,436453.486
2004/04,458996.778
2005/01,455742.425
2005/02,465005.191
2005/03,441942.881
2005/04,465859.031
2006/01,460144.882
2006/02,460607.361
2006/03,448981.389
2006/04,467083.468
2007/01,467253.428
2007/02,469083.304
2007/03,454415.119
2007/04,476484.828
2008/01,462050.339
2008/02,476587.314
2008/03,460077.793
2008/04,489919.831
2009/01,491088.717
2009/02,413813.442
2009/03,484460.231
2009/04,502747.098
2010/01,486382.729
2010/02,456176.402
2010/03,465611.716
2010/04,487238.397
2011/01,484983.02
2011/02,459724.167
2011/03,480043.69
2011/04,500371.347
2012/01,501424.305
2012/02,467766.968
2012/03,488917.887
2012/04,510019.26
2013/01,499517.387
2013/02,474993.502
2013/03,493314.861
2013/04,515585.002
2014/01,511435.167
2014/02,476110.134
2014/03,505645.673
2014/04,520280.238
2015/01,511182.921
2015/02,481336.935
