Total sector 53,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles> Total sector 53"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,902171.604
1993/02,911980.788
1993/03,890869.759
1993/04,904694.588
1994/01,934936.578
1994/02,946110.113
1994/03,923865.364
1994/04,937635.397
1995/01,966904.77
1995/02,975938.56
1995/03,953321.545
1995/04,967958.851
1996/01,997070.715
1996/02,1007676.672
1996/03,983946.357
1996/04,998549.443
1997/01,1020086.548
1997/02,1032398.51
1997/03,1007823.271
1997/04,1022988.492
1998/01,1041757.534
1998/02,1052425.317
1998/03,1027809.753
1998/04,1042442.052
1999/01,1067937.022
1999/02,1081913.009
1999/03,1064990.873
1999/04,1084370.13
2000/01,1108784.253
2000/02,1122671.435
2000/03,1105808.491
2000/04,1124884.25
2001/01,1145945.202
2001/02,1159603.089
2001/03,1142087.481
2001/04,1161873.746
2002/01,1179846.385
2002/02,1196256.015
2002/03,1180785.965
2002/04,1202089.587
2003/01,1220126.488
2003/02,1235164.889
2003/03,1220859.323
2003/04,1244960.969
2004/01,1286525.301
2004/02,1285638.014
2004/03,1253189.897
2004/04,1271765.909
2005/01,1309425.272
2005/02,1307418.217
2005/03,1283036.613
2005/04,1312463.153
2006/01,1357341.396
2006/02,1357924.778
2006/03,1341483.577
2006/04,1372315.206
2007/01,1392936.971
2007/02,1394207.506
2007/03,1394782.422
2007/04,1427741.393
2008/01,1444582.546
2008/02,1441473.649
2008/03,1442953.561
2008/04,1464495.12
2009/01,1456271.036
2009/02,1439858.127
2009/03,1467082.629
2009/04,1492913.395
2010/01,1502391.86
2010/02,1474518.692
2010/03,1505430.624
2010/04,1535834.32
2011/01,1557413.138
2011/02,1512377.144
2011/03,1542499.86
2011/04,1581749.327
2012/01,1598456.929
2012/02,1551561.732
2012/03,1584671.635
2012/04,1613918.52
2013/01,1625971.652
2013/02,1568566.926
2013/03,1597599.965
2013/04,1620470.169
2014/01,1657510.73
2014/02,1603522.332
2014/03,1634468.999
2014/04,1654298.355
2015/01,1685319.03
2015/02,1656422.02
