"54 Servicios profesionales, científicos y técnicos",
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 54 Servicios profesionales, científicos y técnicos"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,216023.763
1993/02,213931.853
1993/03,188778.071
1993/04,215866.508
1994/01,218830.922
1994/02,222832.151
1994/03,195865.521
1994/04,227328.261
1995/01,217383.607
1995/02,208597.03
1995/03,178086.785
1995/04,212789.779
1996/01,210782.983
1996/02,216569.551
1996/03,189037.572
1996/04,222294.888
1997/01,215498.168
1997/02,230582.405
1997/03,198023.598
1997/04,229871.014
1998/01,228408.72
1998/02,236783.319
1998/03,206746.886
1998/04,233283.751
1999/01,227048.202
1999/02,242349.678
1999/03,213307.813
1999/04,241708.891
2000/01,243190.497
2000/02,256971.294
2000/03,224793.791
2000/04,247251.669
2001/01,242758.513
2001/02,253501.238
2001/03,221829.576
2001/04,247166.951
2002/01,238041.681
2002/02,257321.626
2002/03,224769.563
2002/04,250963.515
2003/01,247845.491
2003/02,256683.465
2003/03,227052.323
2003/04,256524.854
2004/01,256613.793
2004/02,268499.2
2004/03,239571.164
2004/04,254282.547
2005/01,265849.828
2005/02,275597.012
2005/03,247711.86
2005/04,260683.771
2006/01,268281.56
2006/02,275169.44
2006/03,260911.746
2006/04,277306.649
2007/01,274653.112
2007/02,278873.122
2007/03,266509.545
2007/04,300431.709
2008/01,276820.313
2008/02,287168.203
2008/03,278121.869
2008/04,313309.9
2009/01,271384.88
2009/02,272608.34
2009/03,265025.24
2009/04,288835.172
2010/01,266455.753
2010/02,271971.792
2010/03,268635.088
2010/04,289619.504
2011/01,278868.058
2011/02,287406.7
2011/03,280131.95
2011/04,306747.144
2012/01,279612.83
2012/02,281398.188
2012/03,287768.083
2012/04,316679.339
2013/01,287204.841
2013/02,286148.539
2013/03,285992.572
2013/04,319901.068
2014/01,289236.148
2014/02,281059.263
2014/03,289564.924
2014/04,337097.607
2015/01,293343.169
2015/02,295581.081
