Total sector 48-49,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Actividades terciarias> 48-49  Transportes, correos y almacenamiento> Total sector 48-49"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,442507.118
1993/02,446747.41
1993/03,445557.157
1993/04,464082.106
1994/01,459412.299
1994/02,479551.557
1994/03,480361.733
1994/04,497240.71
1995/01,459724.459
1995/02,435372.177
1995/03,442486.166
1995/04,463176.914
1996/01,466532.332
1996/02,473068.78
1996/03,477622.196
1996/04,508038.29
1997/01,496515.128
1997/02,525968.556
1997/03,523395.068
1997/04,551681.121
1998/01,541282.07
1998/02,554015.123
1998/03,557197.522
1998/04,570348.764
1999/01,558583.143
1999/02,579851
1999/03,588471.33
1999/04,603604.897
2000/01,608664.606
2000/02,624266.041
2000/03,633431.345
2000/04,632579.676
2001/01,615263.669
2001/02,626129.044
2001/03,618086.355
2001/04,616238.921
2002/01,589681.354
2002/02,627795.462
2002/03,618043.883
2002/04,623739.151
2003/01,598848.288
2003/02,616510.864
2003/03,616085.667
2003/04,628023.314
2004/01,626323.049
2004/02,635992.185
2004/03,638495.637
2004/04,651861.364
2005/01,628238.769
2005/02,656571.597
2005/03,649807.021
2005/04,667602.976
2006/01,661395.251
2006/02,686298.899
2006/03,677723.094
2006/04,685518.483
2007/01,678505.531
2007/02,707639.218
2007/03,703716.35
2007/04,714478.644
2008/01,697761.745
2008/02,715061.996
2008/03,701003.444
2008/04,688401.079
2009/01,630410.377
2009/02,625684.957
2009/03,655709.605
2009/04,688228.5
2010/01,671537.412
2010/02,701519.505
2010/03,703680.326
2010/04,723741.337
2011/01,703657.733
2011/02,726144.056
2011/03,733054.478
2011/04,750836.513
2012/01,744913.322
2012/02,756075.293
2012/03,755041.802
2012/04,775979.032
2013/01,754010.142
2013/02,777635.825
2013/03,779400.191
2013/04,794439.723
2014/01,771082.976
2014/02,793564.726
2014/03,788559.356
2014/04,814535.394
2015/01,793942.757
2015/02,818005.289
