Valor agregado bruto a precios básicos,
Ruta temática,"Cuentas nacionales> Producto interno bruto trimestral, base 2008> Valores a precios de 2008> Valor agregado bruto a precios básicos"
Periodicidad,Trimestral
Unidad de medida,Millones de pesos a precios de 2008
Fuente,INEGI. Sistema de Cuentas Nacionales de México.
Cifras preliminares,2012/01
Nota," Cuando  se publica un  dato más actualizado de los cálculosanuales  de  las Cuentas de Bienes y Servicios, los datos decorto  plazo  se  alinean a las cifras anuales utilizando latécnica  proporcional   Denton,   la   cual  genera  cambiosmarginales a las series desde su origen, razón por la   cualse  pueden  observar  cambios  en  las  cifras oportunamentepublicadas. "
Fecha inicial,2015/02
Fecha final,1993/01
Última actualización,2015/08/20
Periodo,Dato
1993/01,7838909.837
1993/02,7847632.248
1993/03,7854209.856
1993/04,8154523.913
1994/01,8088430.435
1994/02,8286476.988
1994/03,8235972.42
1994/04,8582744.363
1995/01,7999537.583
1995/02,7616396.708
1995/03,7664853.123
1995/04,8001319.689
1996/01,8130770.417
1996/02,8126904.45
1996/03,8192712.83
1996/04,8669470.442
1997/01,8484391.208
1997/02,8817969.392
1997/03,8842621.075
1997/04,9280976.106
1998/01,9179762.638
1998/02,9209276.387
1998/03,9242894.081
1998/04,9459697.102
1999/01,9387171.461
1999/02,9403175.99
1999/03,9499441.558
1999/04,9791079.846
2000/01,9897256.953
2000/02,9978354.839
2000/03,10047950.9
2000/04,10174250.72
2001/01,9904785.06
2001/02,9922632.042
2001/03,9943473.324
2001/04,10084132.77
2002/01,9682276.139
2002/02,10064602.88
2002/03,9975174.524
2002/04,10185545.66
2003/01,9990573.133
2003/02,10104994.49
2003/03,10015472.88
2003/04,10364311.81
2004/01,10409839.86
2004/02,10522183.63
2004/03,10428823.71
2004/04,10854000.67
2005/01,10563561.59
2005/02,10892182.8
2005/03,10783259.33
2005/04,11254938.7
2006/01,11173561.43
2006/02,11423190.7
2006/03,11365753.54
2006/04,11706665.29
2007/01,11499550.79
2007/02,11737011.09
2007/03,11724625.68
2007/04,12144620.22
2008/01,11747230.67
2008/02,12098447.48
2008/03,11910475.17
2008/04,12008644.56
2009/01,11132814.06
2009/02,11137958.31
2009/03,11365733.22
2009/04,11883255.82
2010/01,11544365.82
2010/02,11888533.86
2010/03,11983702.58
2010/04,12428113.06
2011/01,12058684.5
2011/02,12272968.9
2011/03,12484215.04
2011/04,12965810.45
2012/01,12642756.16
2012/02,12824109.66
2012/03,12886206.38
2012/04,13427846.66
2013/01,12772391.82
2013/02,13054566.6
2013/03,13091623.02
2013/04,13578772.52
2014/01,13029986.99
2014/02,13270996.02
2014/03,13381802.37
2014/04,13938446.54
2015/01,13362541.63
2015/02,13560158.66
