Población económicamente activa (PEA),
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población de 15 años y más> Población económicamente activa (PEA)"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,58.90541808
2005/02,58.88983448
2005/03,59.11243159
2005/04,58.19003809
2005/05,59.05878144
2005/06,59.35517477
2005/07,60.03767524
2005/08,59.57213335
2005/09,59.54932599
2005/10,59.85576915
2005/11,59.50558638
2005/12,59.57669448
2006/01,59.48525696
2006/02,59.66579861
2006/03,59.77260786
2006/04,59.96215
2006/05,59.85754006
2006/06,59.60598383
2006/07,61.07055751
2006/08,60.2053745
2006/09,60.07371683
2006/10,60.90852277
2006/11,60.86274612
2006/12,59.54785083
2007/01,59.66063474
2007/02,59.62329623
2007/03,59.95683471
2007/04,59.59279804
2007/05,59.95990055
2007/06,60.0244236
2007/07,60.5530626
2007/08,59.5374469
2007/09,59.29660689
2007/10,60.86237814
2007/11,60.99185016
2007/12,60.54170414
2008/01,59.66802375
2008/02,60.34998214
2008/03,59.90448609
2008/04,60.62187086
2008/05,59.90881914
2008/06,60.32768847
2008/07,60.46605461
2008/08,59.70769663
2008/09,59.71122909
2008/10,59.4307794
2008/11,59.76651561
2008/12,58.95237081
2009/01,59.44074453
2009/02,59.24674698
2009/03,58.67226394
2009/04,58.83011293
2009/05,59.63320958
2009/06,59.46627717
2009/07,60.06341751
2009/08,60.92158568
2009/09,60.71493147
2009/10,60.88001793
2009/11,60.61522613
2009/12,59.94154803
2010/01,59.21777411
2010/02,59.15945989
2010/03,59.74062655
2010/04,60.00567758
2010/05,60.4724746
2010/06,60.28368993
2010/07,60.21302903
2010/08,60.3337478
2010/09,59.611703
2010/10,59.20445815
2010/11,59.15041365
2010/12,58.18446415
2011/01,58.42625211
2011/02,58.7888606
2011/03,58.85616597
2011/04,59.11672836
2011/05,59.70383324
2011/06,59.83566682
2011/07,60.3904461
2011/08,59.94866222
2011/09,59.93608351
2011/10,60.78077659
2011/11,60.55908765
2011/12,60.38583083
2012/01,59.48766643
2012/02,59.38652437
2012/03,59.95841465
2012/04,60.07443426
2012/05,60.87970224
2012/06,61.47104005
2012/07,61.24887376
2012/08,61.15257158
2012/09,60.6237099
2012/10,60.2699264
2012/11,60.25948803
2012/12,59.64202759
2013/01,58.86941053
2013/02,59.79152413
2013/03,59.37116088
2013/04,59.7806218
2013/05,61.00297329
2013/06,60.92187821
2013/07,61.19321537
2013/08,60.39983202
2013/09,60.12293161
2013/10,60.76421711
2013/11,60.81401945
2013/12,61.07682507
2014/01,59.84152536
2014/02,59.47537823
2014/03,60.16243101
2014/04,59.75998068
2014/05,60.05515882
2014/06,59.77810645
2014/07,60.45434058
2014/08,59.50975961
2014/09,59.95046658
2014/10,59.16513855
2014/11,59.62884576
2014/12,59.85685635
2015/01,58.88362288
2015/02,59.4266307
2015/03,59.25456848
2015/04,59.19874523
2015/05,59.78693177
2015/06,60.11003048
