Población no económicamente activa (PNEA),
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población de 15 años y más> Población no económicamente activa (PNEA)"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,41.09458192
2005/02,41.11016552
2005/03,40.88756841
2005/04,41.80996191
2005/05,40.94121856
2005/06,40.64482523
2005/07,39.96232476
2005/08,40.42786665
2005/09,40.45067401
2005/10,40.14423085
2005/11,40.49441362
2005/12,40.42330552
2006/01,40.51474304
2006/02,40.33420139
2006/03,40.22739214
2006/04,40.03785
2006/05,40.14245994
2006/06,40.39401617
2006/07,38.92944249
2006/08,39.7946255
2006/09,39.92628317
2006/10,39.09147723
2006/11,39.13725388
2006/12,40.45214917
2007/01,40.33936526
2007/02,40.37670377
2007/03,40.04316529
2007/04,40.40720196
2007/05,40.04009945
2007/06,39.9755764
2007/07,39.4469374
2007/08,40.4625531
2007/09,40.70339311
2007/10,39.13762186
2007/11,39.00814984
2007/12,39.45829586
2008/01,40.33197625
2008/02,39.65001786
2008/03,40.09551391
2008/04,39.37812914
2008/05,40.09118086
2008/06,39.67231153
2008/07,39.53394539
2008/08,40.29230337
2008/09,40.28877091
2008/10,40.5692206
2008/11,40.23348439
2008/12,41.04762919
2009/01,40.55925547
2009/02,40.75325302
2009/03,41.32773606
2009/04,41.16988707
2009/05,40.36679042
2009/06,40.53372283
2009/07,39.93658249
2009/08,39.07841432
2009/09,39.28506853
2009/10,39.11998207
2009/11,39.38477387
2009/12,40.05845197
2010/01,40.78222589
2010/02,40.84054011
2010/03,40.25937345
2010/04,39.99432242
2010/05,39.5275254
2010/06,39.71631007
2010/07,39.78697097
2010/08,39.6662522
2010/09,40.388297
2010/10,40.79554185
2010/11,40.84958635
2010/12,41.81553585
2011/01,41.57374789
2011/02,41.2111394
2011/03,41.14383403
2011/04,40.88327164
2011/05,40.29616676
2011/06,40.16433318
2011/07,39.6095539
2011/08,40.05133778
2011/09,40.06391649
2011/10,39.21922341
2011/11,39.44091235
2011/12,39.61416917
2012/01,40.51233357
2012/02,40.61347563
2012/03,40.04158535
2012/04,39.92556574
2012/05,39.12029776
2012/06,38.52895995
2012/07,38.75112624
2012/08,38.84742842
2012/09,39.3762901
2012/10,39.7300736
2012/11,39.74051197
2012/12,40.35797241
2013/01,41.13058947
2013/02,40.20847587
2013/03,40.62883912
2013/04,40.2193782
2013/05,38.99702671
2013/06,39.07812179
2013/07,38.80678463
2013/08,39.60016798
2013/09,39.87706839
2013/10,39.23578289
2013/11,39.18598055
2013/12,38.92317493
2014/01,40.15847464
2014/02,40.52462177
2014/03,39.83756899
2014/04,40.24001932
2014/05,39.94484118
2014/06,40.22189355
2014/07,39.54565942
2014/08,40.49024039
2014/09,40.04953342
2014/10,40.83486145
2014/11,40.37115424
2014/12,40.14314365
2015/01,41.11637712
2015/02,40.5733693
2015/03,40.74543152
2015/04,40.80125477
2015/05,40.21306823
2015/06,39.88996952
