Con experiencia,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población desocupada> Por antecedentes laborales> Con experiencia"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,87.46500105
2005/02,85.7695206
2005/03,86.94689842
2005/04,87.75488738
2005/05,88.39053867
2005/06,87.34480956
2005/07,85.70766697
2005/08,85.93375471
2005/09,83.03048457
2005/10,87.16223395
2005/11,87.24601843
2005/12,86.06014835
2006/01,88.12545197
2006/02,86.12022697
2006/03,85.13064575
2006/04,88.80663962
2006/05,88.22479498
2006/06,85.58350995
2006/07,88.32044819
2006/08,88.93475927
2006/09,85.66206551
2006/10,88.15657472
2006/11,90.09123331
2006/12,87.07603872
2007/01,91.27125414
2007/02,89.38467448
2007/03,88.18234224
2007/04,90.70004646
2007/05,87.39548751
2007/06,87.87258608
2007/07,86.59728464
2007/08,88.36716346
2007/09,87.56176138
2007/10,90.29205157
2007/11,89.2077049
2007/12,91.30983792
2008/01,90.10443849
2008/02,91.01938272
2008/03,91.6052503
2008/04,88.07280242
2008/05,88.72577292
2008/06,88.44364901
2008/07,89.58026317
2008/08,89.6919661
2008/09,89.00612609
2008/10,90.74200411
2008/11,91.27114517
2008/12,91.23880953
2009/01,91.33875276
2009/02,90.97726479
2009/03,91.28566232
2009/04,92.26779637
2009/05,92.3125091
2009/06,92.28123846
2009/07,90.66298232
2009/08,90.38758323
2009/09,91.37970362
2009/10,92.44684215
2009/11,91.10518585
2009/12,91.80863022
2010/01,88.67876546
2010/02,90.62290856
2010/03,90.59036748
2010/04,91.69875577
2010/05,91.32996155
2010/06,90.63781336
2010/07,90.15313062
2010/08,89.68614069
2010/09,90.51931047
2010/10,92.04352252
2010/11,90.68020508
2010/12,90.75969861
2011/01,91.57730405
2011/02,90.01709013
2011/03,87.76938091
2011/04,91.8827941
2011/05,92.87851251
2011/06,91.87882318
2011/07,87.86566216
2011/08,89.11138311
2011/09,88.88312492
2011/10,89.3445547
2011/11,91.32981235
2011/12,90.8463544
2012/01,88.39952698
2012/02,86.35056737
2012/03,89.18050271
2012/04,89.34185517
2012/05,90.33828302
2012/06,90.065995
2012/07,89.36310959
2012/08,90.90207448
2012/09,90.37643034
2012/10,90.31260563
2012/11,91.64944594
2012/12,92.61052855
2013/01,89.87767331
2013/02,88.47069848
2013/03,89.94151207
2013/04,92.88051269
2013/05,92.18301777
2013/06,90.7384259
2013/07,90.31641316
2013/08,90.2136228
2013/09,88.89711139
2013/10,91.33745242
2013/11,91.29202952
2013/12,90.66208344
2014/01,90.36337492
2014/02,89.0845219
2014/03,87.92210969
2014/04,90.94692953
2014/05,91.10471791
2014/06,90.7428364
2014/07,91.45385561
2014/08,89.73239664
2014/09,88.90812388
2014/10,88.57429876
2014/11,90.5124949
2014/12,91.0343819
2015/01,89.33707652
2015/02,89.91900128
2015/03,90.01369512
2015/04,90.03311204
2015/05,92.18210549
2015/06,91.28843072
