Población desocupada,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población económicamente activa> Población desocupada"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,3.951997868
2005/02,3.773302437
2005/03,3.627075374
2005/04,3.363412283
2005/05,3.303692649
2005/06,3.482156498
2005/07,3.923362696
2005/08,3.670079746
2005/09,3.578425997
2005/10,3.385995388
2005/11,2.939815286
2005/12,2.770010587
2006/01,3.477868755
2006/02,3.745228364
2006/03,3.31182028
2006/04,3.195017931
2006/05,2.839261212
2006/06,3.258833383
2006/07,4.007418446
2006/08,3.872060429
2006/09,3.995795668
2006/10,3.817983552
2006/11,3.502895209
2006/12,3.316656993
2007/01,4.046749866
2007/02,4.05167076
2007/03,3.726760212
2007/04,3.513008188
2007/05,3.150856743
2007/06,3.281993334
2007/07,3.790068558
2007/08,3.831035204
2007/09,3.761695471
2007/10,3.771124689
2007/11,3.354025325
2007/12,3.106136869
2008/01,4.117061855
2008/02,3.888593281
2008/03,3.614566573
2008/04,3.479555105
2008/05,3.294914675
2008/06,3.367954605
2008/07,4.13338526
2008/08,4.056711639
2008/09,4.140897208
2008/10,4.171786149
2008/11,4.322934937
2008/12,4.024804189
2009/01,5.009041248
2009/02,5.23817316
2009/03,4.664878672
2009/04,5.055355862
2009/05,5.231713867
2009/06,4.975636511
2009/07,5.821537956
2009/08,6.145704551
2009/09,6.419811541
2009/10,5.670016683
2009/11,5.10901165
2009/12,4.729198576
2010/01,5.761042023
2010/02,5.280893908
2010/03,4.743991948
2010/04,5.347346876
2010/05,4.99547176
2010/06,4.921643056
2010/07,5.585168333
2010/08,5.415786409
2010/09,5.657598278
2010/10,5.481306084
2010/11,5.172359561
2010/12,4.936968956
2011/01,5.337010738
2011/02,5.338484345
2011/03,4.641739898
2011/04,5.130636313
2011/05,5.180763405
2011/06,5.400787046
2011/07,5.477118505
2011/08,5.705240177
2011/09,5.432388333
2011/10,4.993398941
2011/11,4.96127892
2011/12,4.506805328
2012/01,4.879743733
2012/02,5.280107813
2012/03,4.518488924
2012/04,4.857985104
2012/05,4.6736979
2012/06,4.751326013
2012/07,4.992028726
2012/08,5.327778291
2012/09,4.905204533
2012/10,5.030475983
2012/11,5.04764898
2012/12,4.395445825
2013/01,5.407878573
2013/02,4.750523054
2013/03,4.475658183
2013/04,4.961998915
2013/05,4.91098239
2013/06,4.999534974
2013/07,5.131585829
2013/08,5.183106216
2013/09,5.305092998
2013/10,5.009783726
2013/11,4.484621781
2013/12,4.266551251
2014/01,5.068519565
2014/02,4.66156322
2014/03,4.796106675
2014/04,4.85187491
2014/05,4.94215861
2014/06,4.815086206
2014/07,5.470443537
2014/08,5.18894986
2014/09,5.092203696
2014/10,4.775495604
2014/11,4.527685274
2014/12,3.757405831
2015/01,4.513125535
2015/02,4.325171574
2015/03,3.862976622
2015/04,4.313731127
2015/05,4.446131736
2015/06,4.405239215
