Con primaria completa,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población desocupada> Por nivel de instrucción> Con primaria completa"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,21.73189565
2005/02,23.24964881
2005/03,19.68010896
2005/04,19.12092736
2005/05,20.90377266
2005/06,18.93096223
2005/07,20.91283432
2005/08,18.57469407
2005/09,19.5440479
2005/10,22.08115807
2005/11,19.57294739
2005/12,20.09846465
2006/01,19.55611757
2006/02,18.24500807
2006/03,18.25009398
2006/04,19.78676434
2006/05,20.8366745
2006/06,19.76934224
2006/07,19.03973483
2006/08,18.2485087
2006/09,19.62477839
2006/10,20.45535584
2006/11,20.03242663
2006/12,17.29762014
2007/01,18.46476225
2007/02,19.06439354
2007/03,19.02404526
2007/04,22.01695886
2007/05,19.13185921
2007/06,20.50632997
2007/07,16.41149052
2007/08,19.16070527
2007/09,20.03295904
2007/10,18.41485175
2007/11,21.62590673
2007/12,20.84760544
2008/01,19.70012072
2008/02,21.21250504
2008/03,20.68018979
2008/04,18.05503041
2008/05,20.4513883
2008/06,22.94423873
2008/07,20.01874273
2008/08,19.35216153
2008/09,22.04026747
2008/10,22.85806344
2008/11,21.85895512
2008/12,20.95905973
2009/01,22.21250815
2009/02,20.77388289
2009/03,19.79314982
2009/04,20.72164752
2009/05,20.49937402
2009/06,16.57067606
2009/07,18.14848664
2009/08,21.17307688
2009/09,21.96407394
2009/10,17.89311028
2009/11,20.35684328
2009/12,18.34100491
2010/01,18.21323935
2010/02,20.72303725
2010/03,18.20829067
2010/04,19.2187205
2010/05,20.68485343
2010/06,18.74128888
2010/07,16.80113279
2010/08,16.14221099
2010/09,20.72502505
2010/10,18.90767139
2010/11,18.55818802
2010/12,19.89231844
2011/01,18.76933594
2011/02,18.63961018
2011/03,18.57966718
2011/04,19.24473319
2011/05,18.83317819
2011/06,18.31682263
2011/07,18.1222357
2011/08,18.39587222
2011/09,17.88558607
2011/10,19.08890709
2011/11,19.66799332
2011/12,21.03763233
2012/01,18.4717678
2012/02,19.04026954
2012/03,16.89440721
2012/04,17.54068016
2012/05,17.03180579
2012/06,17.09482507
2012/07,17.84397216
2012/08,17.42991428
2012/09,17.52479953
2012/10,19.86589768
2012/11,17.49653822
2012/12,17.0457106
2013/01,18.28256785
2013/02,19.25944221
2013/03,16.63003279
2013/04,18.44760738
2013/05,18.46220877
2013/06,14.13516592
2013/07,15.72067236
2013/08,19.22199539
2013/09,15.56517099
2013/10,15.95661572
2013/11,16.92959742
2013/12,16.7851405
2014/01,16.75057985
2014/02,15.93573681
2014/03,14.16928685
2014/04,15.49467447
2014/05,14.31861581
2014/06,15.51417136
2014/07,14.33599684
2014/08,14.74103171
2014/09,16.14231112
2014/10,15.84607573
2014/11,13.42260842
2014/12,14.59622551
2015/01,15.98119027
2015/02,14.21077223
2015/03,14.45629985
2015/04,15.58140143
2015/05,13.55039163
2015/06,14.36198961
