Agropecuario,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por sector de actividad económica> Agropecuario"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,15.29911781
2005/02,15.5440611
2005/03,14.62088079
2005/04,14.53764985
2005/05,15.37388014
2005/06,15.47222382
2005/07,15.5128972
2005/08,16.21722413
2005/09,15.34085927
2005/10,13.95414963
2005/11,16.17474406
2005/12,15.09101512
2006/01,14.4559503
2006/02,14.76302094
2006/03,14.10889985
2006/04,13.85277656
2006/05,15.07532221
2006/06,15.1815908
2006/07,14.2639227
2006/08,15.41653957
2006/09,14.0664141
2006/10,13.93122387
2006/11,15.38954633
2006/12,14.48442585
2007/01,14.13562163
2007/02,14.39960687
2007/03,13.56053297
2007/04,13.5284737
2007/05,14.40989433
2007/06,14.04027635
2007/07,14.52674551
2007/08,14.81953899
2007/09,13.57924743
2007/10,13.78549494
2007/11,15.1656031
2007/12,13.64938118
2008/01,14.29746499
2008/02,14.14345726
2008/03,12.76088861
2008/04,13.74212956
2008/05,14.18511985
2008/06,13.59403069
2008/07,14.42741143
2008/08,14.93122643
2008/09,13.50189342
2008/10,13.87992314
2008/11,14.57736757
2008/12,14.75361978
2009/01,13.79875606
2009/02,13.58165982
2009/03,13.01323458
2009/04,13.48111793
2009/05,13.99516655
2009/06,14.24686775
2009/07,14.91995644
2009/08,14.26170959
2009/09,14.27314459
2009/10,14.82086976
2009/11,14.81489542
2009/12,14.43908302
2010/01,14.13206429
2010/02,13.85835277
2010/03,13.15520423
2010/04,13.72777477
2010/05,14.44287767
2010/06,14.51904498
2010/07,15.01114449
2010/08,14.66310341
2010/09,13.52741443
2010/10,14.35979262
2010/11,15.36749932
2010/12,14.41935655
2011/01,13.59232341
2011/02,13.67116331
2011/03,13.33402081
2011/04,13.23947979
2011/05,14.077866
2011/06,14.00597503
2011/07,14.59827863
2011/08,15.07011649
2011/09,14.00387519
2011/10,13.71440592
2011/11,14.72388728
2011/12,14.11938915
2012/01,13.8676226
2012/02,13.67356478
2012/03,13.37823304
2012/04,13.95214034
2012/05,14.09185655
2012/06,13.5908387
2012/07,14.89922456
2012/08,14.10947241
2012/09,13.30949819
2012/10,14.78929647
2012/11,14.84347935
2012/12,14.07839338
2013/01,14.55715693
2013/02,13.81400853
2013/03,12.72089455
2013/04,13.62610188
2013/05,13.72362474
2013/06,13.56772022
2013/07,14.25087532
2013/08,13.99416295
2013/09,13.41903937
2013/10,14.04809829
2013/11,13.98600643
2013/12,13.78569232
2014/01,14.01617641
2014/02,13.57966384
2014/03,12.93643297
2014/04,13.35913825
2014/05,13.65212343
2014/06,13.83904916
2014/07,13.98791293
2014/08,14.23581011
2014/09,13.46699997
2014/10,13.35800703
2014/11,14.3319094
2014/12,13.41866142
2015/01,13.58751345
2015/02,13.01075425
2015/03,12.60979309
2015/04,13.44493295
2015/05,13.19728854
2015/06,13.62901282
