Comercio,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por sector de actividad económica> Comercio"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,19.5679107
2005/02,19.47695803
2005/03,19.59694954
2005/04,19.75821226
2005/05,19.8338443
2005/06,19.23902672
2005/07,19.5208584
2005/08,19.55423235
2005/09,18.91102504
2005/10,19.71926463
2005/11,18.89261244
2005/12,19.99419517
2006/01,19.41916067
2006/02,19.39117641
2006/03,19.67197323
2006/04,19.77316783
2006/05,19.03384716
2006/06,19.18094011
2006/07,19.79773526
2006/08,19.02466982
2006/09,19.64810997
2006/10,19.77151947
2006/11,19.32580334
2006/12,19.99662493
2007/01,20.02401882
2007/02,19.26850325
2007/03,19.70538385
2007/04,20.38319006
2007/05,18.85499688
2007/06,19.76271141
2007/07,19.7994667
2007/08,19.01156366
2007/09,19.88417133
2007/10,19.87869317
2007/11,19.44134795
2007/12,19.86117101
2008/01,19.98054517
2008/02,19.99407899
2008/03,19.90742087
2008/04,19.5411615
2008/05,19.40721875
2008/06,19.50120139
2008/07,19.79538688
2008/08,19.41832314
2008/09,19.81715144
2008/10,20.01660347
2008/11,19.09821965
2008/12,19.37608364
2009/01,19.9352061
2009/02,19.64473271
2009/03,19.6786397
2009/04,20.0980681
2009/05,19.38953994
2009/06,19.66051363
2009/07,19.2529585
2009/08,19.93091511
2009/09,19.85828183
2009/10,20.08946858
2009/11,19.81459653
2009/12,20.66423636
2010/01,19.71839053
2010/02,19.62864192
2010/03,19.90751504
2010/04,19.88273371
2010/05,19.93258128
2010/06,19.86371491
2010/07,19.70437972
2010/08,19.75836489
2010/09,20.01093713
2010/10,19.53630911
2010/11,19.04432198
2010/12,19.52504881
2011/01,19.96841209
2011/02,19.47623032
2011/03,19.98924698
2011/04,19.6215063
2011/05,19.33409333
2011/06,19.69692946
2011/07,19.67811792
2011/08,19.00666074
2011/09,19.64283579
2011/10,19.42676161
2011/11,19.31561219
2011/12,20.35945837
2012/01,19.62054558
2012/02,19.7178278
2012/03,19.33612251
2012/04,19.42490553
2012/05,19.6964137
2012/06,20.15186739
2012/07,19.84326251
2012/08,19.77361812
2012/09,19.71198169
2012/10,19.49906944
2012/11,19.55769907
2012/12,18.71930263
2013/01,19.98079829
2013/02,19.83210758
2013/03,18.85397043
2013/04,20.0003029
2013/05,19.53269788
2013/06,19.1101721
2013/07,20.03303991
2013/08,19.29098033
2013/09,19.53398645
2013/10,19.77957209
2013/11,19.32491909
2013/12,19.45355689
2014/01,19.41940444
2014/02,19.0443656
2014/03,19.42290691
2014/04,18.85047996
2014/05,19.0261594
2014/06,19.62195229
2014/07,19.18271272
2014/08,19.24150787
2014/09,19.66975283
2014/10,19.1308701
2014/11,19.51463277
2014/12,19.66218343
2015/01,19.13048393
2015/02,19.34144869
2015/03,19.34682058
2015/04,18.41967013
2015/05,19.11241491
2015/06,19.42518626
