Construcción,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por sector de actividad económica> Construcción"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,7.51412556
2005/02,8.122922419
2005/03,8.012303587
2005/04,7.787826749
2005/05,7.887261929
2005/06,7.8745263
2005/07,7.666500924
2005/08,8.068213703
2005/09,7.915353012
2005/10,8.030072507
2005/11,7.977230025
2005/12,7.962208991
2006/01,8.017915198
2006/02,8.304106081
2006/03,8.331449607
2006/04,7.981851588
2006/05,8.512230327
2006/06,8.220123229
2006/07,7.902533074
2006/08,8.069354394
2006/09,8.350604549
2006/10,8.095188184
2006/11,8.059296341
2006/12,8.195685556
2007/01,8.369080462
2007/02,8.707080221
2007/03,8.67431358
2007/04,8.098890541
2007/05,8.745641486
2007/06,8.39152508
2007/07,8.423697172
2007/08,8.775026434
2007/09,8.107341407
2007/10,8.128170592
2007/11,8.245345462
2007/12,8.372950131
2008/01,8.164598309
2008/02,8.505184518
2008/03,8.517993362
2008/04,8.540183943
2008/05,8.230108795
2008/06,8.391739764
2008/07,8.632393839
2008/08,8.266927472
2008/09,8.191720972
2008/10,8.263397317
2008/11,7.969143655
2008/12,8.230991097
2009/01,8.079662802
2009/02,8.005035576
2009/03,8.510978853
2009/04,8.097289431
2009/05,8.203030113
2009/06,8.308626414
2009/07,8.019042607
2009/08,7.654038876
2009/09,7.775085169
2009/10,7.719527819
2009/11,7.328173497
2009/12,7.724870438
2010/01,8.192251872
2010/02,7.59933748
2010/03,8.198985498
2010/04,8.294265798
2010/05,7.715199643
2010/06,7.762992517
2010/07,8.130429393
2010/08,7.766844038
2010/09,7.448658499
2010/10,7.878762693
2010/11,7.321361916
2010/12,7.875211769
2011/01,8.136254507
2011/02,7.979419089
2011/03,7.832167675
2011/04,8.137618095
2011/05,7.670329039
2011/06,8.043500066
2011/07,8.03804317
2011/08,7.538548267
2011/09,7.722144058
2011/10,7.592128194
2011/11,7.491272292
2011/12,7.521365432
2012/01,7.753131854
2012/02,7.641743927
2012/03,7.353597988
2012/04,7.720404176
2012/05,7.468553149
2012/06,7.322949045
2012/07,7.733585334
2012/08,7.493706998
2012/09,7.283758452
2012/10,7.55183019
2012/11,7.175349364
2012/12,7.367816019
2013/01,7.617787914
2013/02,7.366903059
2013/03,7.243470324
2013/04,7.605928233
2013/05,7.317740791
2013/06,6.91951247
2013/07,7.20091374
2013/08,7.334240288
2013/09,7.174608631
2013/10,7.481654397
2013/11,7.465618354
2013/12,7.069095445
2014/01,7.151106497
2014/02,7.779533963
2014/03,7.281523128
2014/04,7.500939467
2014/05,7.834692438
2014/06,7.428086879
2014/07,7.742174566
2014/08,7.451130555
2014/09,7.560082356
2014/10,7.636300074
2014/11,7.467895427
2014/12,7.605387801
2015/01,7.660759046
2015/02,7.770833049
2015/03,7.887290061
2015/04,7.904433929
2015/05,7.979483201
2015/06,7.546445528
