Medio superior y superior,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por nivel de instrucción> Medio superior y superior"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,24.33822197
2005/02,23.90940291
2005/03,24.30196321
2005/04,24.77521119
2005/05,23.9247175
2005/06,24.09467129
2005/07,24.2447257
2005/08,24.10465917
2005/09,24.63550681
2005/10,25.04665532
2005/11,24.19361954
2005/12,24.71374026
2006/01,25.70096741
2006/02,24.2949127
2006/03,24.95170769
2006/04,25.36939679
2006/05,24.32026753
2006/06,25.20943724
2006/07,25.72466186
2006/08,24.93748616
2006/09,25.62010395
2006/10,25.91143399
2006/11,24.81849469
2006/12,25.6788243
2007/01,26.13121807
2007/02,25.64182842
2007/03,25.98051421
2007/04,26.76419554
2007/05,25.70832987
2007/06,25.77816371
2007/07,26.22744826
2007/08,25.89976793
2007/09,26.3861118
2007/10,26.10167932
2007/11,25.76008864
2007/12,26.40328894
2008/01,26.82262105
2008/02,26.10068079
2008/03,26.96896849
2008/04,26.50984224
2008/05,26.23057793
2008/06,26.8664784
2008/07,26.06331908
2008/08,26.23782096
2008/09,27.27845243
2008/10,26.68160857
2008/11,26.71104254
2008/12,27.39522377
2009/01,27.37113113
2009/02,27.72876633
2009/03,28.25816925
2009/04,27.92455379
2009/05,27.90147552
2009/06,28.40234881
2009/07,27.78069174
2009/08,27.91612643
2009/09,28.15973599
2009/10,27.65702198
2009/11,27.77353672
2009/12,27.86052058
2010/01,28.36954098
2010/02,28.10663149
2010/03,29.08578395
2010/04,28.10637611
2010/05,28.37636432
2010/06,29.615627
2010/07,28.30044817
2010/08,28.69848163
2010/09,29.98949126
2010/10,28.84976948
2010/11,29.22848649
2010/12,30.40386914
2011/01,29.28451473
2011/02,29.67388457
2011/03,30.77995488
2011/04,29.56382144
2011/05,29.38633263
2011/06,30.60719528
2011/07,29.71523649
2011/08,29.78555925
2011/09,31.07214937
2011/10,30.22776951
2011/11,29.89824414
2011/12,31.75734188
2012/01,30.44055683
2012/02,30.17288855
2012/03,32.0560053
2012/04,30.95062939
2012/05,30.09938054
2012/06,31.67955567
2012/07,30.37191783
2012/08,30.83286035
2012/09,31.99393398
2012/10,31.08064625
2012/11,31.20100158
2012/12,32.1596264
2013/01,31.13997727
2013/02,31.61722169
2013/03,33.13157145
2013/04,31.73524827
2013/05,31.4920913
2013/06,33.02033003
2013/07,31.65311625
2013/08,32.38427148
2013/09,33.02273431
2013/10,31.78404972
2013/11,32.66847853
2013/12,32.88909298
2014/01,32.09300133
2014/02,33.60680858
2014/03,32.50865894
2014/04,32.19899378
2014/05,33.4909357
2014/06,32.47487524
2014/07,32.25462436
2014/08,33.6320615
2014/09,32.79502693
2014/10,32.55801701
2014/11,33.66362882
2014/12,32.62858586
2015/01,32.60355195
2015/02,33.75042988
2015/03,33.39533493
2015/04,32.68990666
2015/05,33.62352705
2015/06,33.44256713
