Industria manufacturera,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por sector de actividad económica> Industria manufacturera"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,16.91216545
2005/02,16.90246375
2005/03,17.1353361
2005/04,16.89932012
2005/05,16.78424104
2005/06,16.73642562
2005/07,16.7786885
2005/08,16.71517127
2005/09,16.52111564
2005/10,16.71823374
2005/11,16.71163877
2005/12,16.01697049
2006/01,16.67631653
2006/02,16.77129709
2006/03,16.54697207
2006/04,16.77909666
2006/05,16.88946349
2006/06,16.17289998
2006/07,17.06066173
2006/08,17.1058334
2006/09,16.86227163
2006/10,17.12643916
2006/11,16.99653431
2006/12,16.19800587
2007/01,16.65822847
2007/02,16.89700622
2007/03,16.64299911
2007/04,16.11670735
2007/05,17.00737976
2007/06,16.23131037
2007/07,16.01407061
2007/08,16.29856165
2007/09,17.02771324
2007/10,16.48185673
2007/11,16.21869539
2007/12,16.39671151
2008/01,15.67927191
2008/02,15.68727205
2008/03,16.43698554
2008/04,16.61791308
2008/05,15.81834723
2008/06,16.29595617
2008/07,15.88105606
2008/08,15.43347112
2008/09,15.87201349
2008/10,15.95789368
2008/11,15.46987747
2008/12,15.17193256
2009/01,15.87809445
2009/02,15.24875813
2009/03,15.07185439
2009/04,15.30441355
2009/05,14.96812875
2009/06,14.28238389
2009/07,14.77553446
2009/08,15.04593593
2009/09,14.5888264
2009/10,14.95285871
2009/11,15.34437392
2009/12,14.6109988
2010/01,15.37426665
2010/02,15.71194395
2010/03,15.31983104
2010/04,15.14319563
2010/05,15.06012831
2010/06,14.75369416
2010/07,15.23684367
2010/08,15.97678293
2010/09,15.18534947
2010/10,15.30486739
2010/11,15.96593676
2010/12,14.85192873
2011/01,15.26596357
2011/02,15.87131976
2011/03,14.77700536
2011/04,15.47766841
2011/05,16.31790188
2011/06,14.64141492
2011/07,14.94444818
2011/08,15.73513426
2011/09,14.67887093
2011/10,15.48182131
2011/11,15.51348091
2011/12,14.41780608
2012/01,15.15136427
2012/02,15.70257753
2012/03,15.27612843
2012/04,14.92643131
2012/05,15.29465268
2012/06,14.71465028
2012/07,14.44815563
2012/08,15.58454893
2012/09,15.4632371
2012/10,14.66008405
2012/11,15.43476864
2012/12,15.98204058
2013/01,14.75289435
2013/02,15.53547301
2013/03,16.05706416
2013/04,14.97617409
2013/05,15.75509478
2013/06,16.12306191
2013/07,15.50656904
2013/08,15.64365577
2013/09,16.3384021
2013/10,15.4802449
2013/11,16.12861791
2013/12,15.86027398
2014/01,16.2521695
2014/02,15.77184827
2014/03,16.28645199
2014/04,16.28353701
2014/05,15.81872576
2014/06,15.75627577
2014/07,16.0260439
2014/08,16.142761
2014/09,15.93644502
2014/10,16.15699106
2014/11,15.98297423
2014/12,15.79934249
2015/01,16.22688752
2015/02,16.25039677
2015/03,15.77387528
2015/04,16.74445534
2015/05,15.97482448
2015/06,15.26224462
