Población ocupada,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población económicamente activa> Población ocupada"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,96.04800213
2005/02,96.22669756
2005/03,96.37292463
2005/04,96.63658772
2005/05,96.69630735
2005/06,96.5178435
2005/07,96.0766373
2005/08,96.32992025
2005/09,96.421574
2005/10,96.61400461
2005/11,97.06018471
2005/12,97.22998941
2006/01,96.52213125
2006/02,96.25477164
2006/03,96.68817972
2006/04,96.80498207
2006/05,97.16073879
2006/06,96.74116662
2006/07,95.99258155
2006/08,96.12793957
2006/09,96.00420433
2006/10,96.18201645
2006/11,96.49710479
2006/12,96.68334301
2007/01,95.95325013
2007/02,95.94832924
2007/03,96.27323979
2007/04,96.48699181
2007/05,96.84914326
2007/06,96.71800667
2007/07,96.20993144
2007/08,96.1689648
2007/09,96.23830453
2007/10,96.22887531
2007/11,96.64597467
2007/12,96.89386313
2008/01,95.88293815
2008/02,96.11140672
2008/03,96.38543343
2008/04,96.52044489
2008/05,96.70508532
2008/06,96.63204539
2008/07,95.86661474
2008/08,95.94328836
2008/09,95.85910279
2008/10,95.82821385
2008/11,95.67706506
2008/12,95.97519581
2009/01,94.99095875
2009/02,94.76182684
2009/03,95.33512133
2009/04,94.94464414
2009/05,94.76828613
2009/06,95.02436349
2009/07,94.17846204
2009/08,93.85429545
2009/09,93.58018846
2009/10,94.32998332
2009/11,94.89098835
2009/12,95.27080142
2010/01,94.23895798
2010/02,94.71910609
2010/03,95.25600805
2010/04,94.65265312
2010/05,95.00452824
2010/06,95.07835694
2010/07,94.41483167
2010/08,94.58421359
2010/09,94.34240172
2010/10,94.51869392
2010/11,94.82764044
2010/12,95.06303104
2011/01,94.66298926
2011/02,94.66151566
2011/03,95.3582601
2011/04,94.86936369
2011/05,94.8192366
2011/06,94.59921295
2011/07,94.52288149
2011/08,94.29475982
2011/09,94.56761167
2011/10,95.00660106
2011/11,95.03872108
2011/12,95.49319467
2012/01,95.12025627
2012/02,94.71989219
2012/03,95.48151108
2012/04,95.1420149
2012/05,95.3263021
2012/06,95.24867399
2012/07,95.00797127
2012/08,94.67222171
2012/09,95.09479547
2012/10,94.96952402
2012/11,94.95235102
2012/12,95.60455418
2013/01,94.59212143
2013/02,95.24947695
2013/03,95.52434182
2013/04,95.03800108
2013/05,95.08901761
2013/06,95.00046503
2013/07,94.86841417
2013/08,94.81689378
2013/09,94.694907
2013/10,94.99021627
2013/11,95.51537822
2013/12,95.73344875
2014/01,94.93148043
2014/02,95.33843678
2014/03,95.20389333
2014/04,95.14812509
2014/05,95.05784139
2014/06,95.18491379
2014/07,94.52955646
2014/08,94.81105014
2014/09,94.9077963
2014/10,95.2245044
2014/11,95.47231473
2014/12,96.24259417
2015/01,95.48687447
2015/02,95.67482843
2015/03,96.13702338
2015/04,95.68626887
2015/05,95.55386826
2015/06,95.59476078
