Primaria incompleta,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por nivel de instrucción> Primaria incompleta"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,21.33844966
2005/02,22.07852267
2005/03,21.44607867
2005/04,21.163151
2005/05,22.03975533
2005/06,21.30192084
2005/07,21.16608758
2005/08,21.75549529
2005/09,21.41161267
2005/10,20.77204687
2005/11,21.39651748
2005/12,20.88955402
2006/01,20.6391687
2006/02,20.47237405
2006/03,20.54676483
2006/04,20.29564319
2006/05,20.66599635
2006/06,20.36742717
2006/07,19.96249265
2006/08,20.17966651
2006/09,19.60652877
2006/10,19.70354735
2006/11,20.66243645
2006/12,19.59324626
2007/01,19.22963782
2007/02,20.01817525
2007/03,19.38403544
2007/04,19.06207352
2007/05,19.49248722
2007/06,19.65487227
2007/07,19.40922288
2007/08,19.42177514
2007/09,19.49351205
2007/10,19.58955827
2007/11,18.9672685
2007/12,18.92983123
2008/01,19.20155506
2008/02,18.68430618
2008/03,18.54899427
2008/04,19.72595295
2008/05,18.28575767
2008/06,18.41832266
2008/07,19.36462288
2008/08,18.20538156
2008/09,18.01147109
2008/10,18.85306851
2008/11,17.74324507
2008/12,17.63480144
2009/01,18.3758343
2009/02,17.42562401
2009/03,17.24242699
2009/04,17.8920877
2009/05,17.40145551
2009/06,16.99936299
2009/07,17.9430311
2009/08,17.42973711
2009/09,17.52750633
2009/10,17.87165939
2009/11,17.27223563
2009/12,17.02872484
2010/01,17.39132597
2010/02,16.86328935
2010/03,16.38432132
2010/04,17.4133334
2010/05,16.96007519
2010/06,16.7072956
2010/07,16.94288273
2010/08,16.43453556
2010/09,16.55016141
2010/10,16.23427549
2010/11,16.14323585
2010/12,16.20585648
2011/01,15.87146022
2011/02,15.96088749
2011/03,15.64660777
2011/04,15.80093015
2011/05,15.90585683
2011/06,15.74121482
2011/07,16.15416169
2011/08,15.98957656
2011/09,15.53235818
2011/10,15.38689877
2011/11,15.57299101
2011/12,14.68927141
2012/01,15.14953143
2012/02,15.33572133
2012/03,14.59431671
2012/04,14.78084607
2012/05,15.12816461
2012/06,14.81252176
2012/07,14.83877064
2012/08,14.98166803
2012/09,14.70257815
2012/10,14.85812639
2012/11,14.73914561
2012/12,14.28543717
2013/01,14.87502507
2013/02,14.77577963
2013/03,13.68121468
2013/04,14.32514986
2013/05,14.57213765
2013/06,13.73701493
2013/07,13.90748925
2013/08,14.19560005
2013/09,13.37943057
2013/10,13.79880175
2013/11,14.04993125
2013/12,13.54484108
2014/01,13.92199754
2014/02,13.38360058
2014/03,13.6020634
2014/04,13.69876271
2014/05,13.68659946
2014/06,13.69950681
2014/07,13.30372943
2014/08,13.13198436
2014/09,13.63095196
2014/10,13.33685156
2014/11,13.34205007
2014/12,13.3878668
2015/01,13.19906676
2015/02,12.9847303
2015/03,13.19613898
2015/04,12.95391487
2015/05,12.93564704
2015/06,13.14994845
