Con secundaria completa,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por nivel de instrucción> Con secundaria completa"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,31.41448628
2005/02,30.83619009
2005/03,30.83396426
2005/04,30.99455919
2005/05,30.45548356
2005/06,30.98013544
2005/07,31.07049069
2005/08,30.64281627
2005/09,31.0633771
2005/10,31.29421617
2005/11,30.64273318
2005/12,31.35827512
2006/01,31.10347509
2006/02,31.30120718
2006/03,31.82231738
2006/04,31.61673021
2006/05,31.13580229
2006/06,31.68877747
2006/07,31.7713322
2006/08,31.23371274
2006/09,32.03779357
2006/10,31.81168933
2006/11,30.97004154
2006/12,32.13604445
2007/01,31.8923763
2007/02,30.92690212
2007/03,32.34480194
2007/04,31.72924177
2007/05,31.54856064
2007/06,32.18176609
2007/07,31.87860017
2007/08,31.55394735
2007/09,32.266912
2007/10,31.99760408
2007/11,32.01603424
2007/12,32.59361367
2008/01,31.65344956
2008/02,32.33267463
2008/03,32.35394138
2008/04,31.37329989
2008/05,32.83724266
2008/06,32.9769655
2008/07,31.98836551
2008/08,32.64383413
2008/09,33.33342536
2008/10,32.25010507
2008/11,32.71721604
2008/12,33.04768193
2009/01,32.00883794
2009/02,32.08903114
2009/03,32.80892422
2009/04,32.50178878
2009/05,32.3395731
2009/06,32.95727649
2009/07,32.61610291
2009/08,32.67457624
2009/09,32.37158777
2009/10,32.64477874
2009/11,32.79609241
2009/12,32.88940968
2010/01,32.92989634
2010/02,32.78941915
2010/03,32.65207471
2010/04,33.20370699
2010/05,33.26420202
2010/06,32.43106811
2010/07,33.35935765
2010/08,33.55134122
2010/09,32.45668586
2010/10,33.98932324
2010/11,33.22808481
2010/12,32.70244453
2011/01,34.1385838
2011/02,33.62647615
2011/03,33.00154432
2011/04,33.70141297
2011/05,33.6674811
2011/06,32.85051672
2011/07,33.66539274
2011/08,33.70429666
2011/09,32.79296129
2011/10,33.64654126
2011/11,33.74289357
2011/12,33.23465093
2012/01,33.72423076
2012/02,33.70475757
2012/03,33.01084121
2012/04,33.42260486
2012/05,33.78258735
2012/06,33.42975162
2012/07,33.86579547
2012/08,33.4966675
2012/09,33.66393516
2012/10,33.02427798
2012/11,33.48862686
2012/12,33.65665017
2013/01,33.17063616
2013/02,33.47308408
2013/03,33.50527338
2013/04,33.61161604
2013/05,34.08128649
2013/06,33.99813718
2013/07,34.21872392
2013/08,33.77228428
2013/09,34.06545154
2013/10,34.16082712
2013/11,33.77831099
2013/12,34.05644399
2014/01,33.81783711
2014/02,33.94731145
2014/03,34.60584284
2014/04,34.21710287
2014/05,33.83799057
2014/06,34.35716813
2014/07,34.5822914
2014/08,33.7167068
2014/09,34.10130875
2014/10,34.66759191
2014/11,33.82683032
2014/12,34.16866354
2015/01,34.64529946
2015/02,33.73637984
2015/03,34.21225248
2015/04,34.86965285
2015/05,34.11352018
2015/06,33.73650192
