Servicios,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por sector de actividad económica> Servicios"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,38.97970574
2005/02,38.32876115
2005/03,38.83456044
2005/04,39.49682403
2005/05,38.63381776
2005/06,39.04155829
2005/07,38.74227543
2005/08,37.81499394
2005/09,39.49229953
2005/10,40.12556978
2005/11,38.77349284
2005/12,39.11554742
2006/01,39.6873774
2006/02,39.07394837
2006/03,39.74204132
2006/04,39.95405328
2006/05,38.93383505
2006/06,39.74982109
2006/07,39.27852324
2006/08,38.62415555
2006/09,39.50422099
2006/10,39.34324824
2006/11,38.55499756
2006/12,39.67536269
2007/01,39.08715091
2007/02,39.08545766
2007/03,39.97697621
2007/04,40.17306579
2007/05,39.2223376
2007/06,40.01242943
2007/07,39.48226475
2007/08,39.49492998
2007/09,39.82757038
2007/10,39.88164796
2007/11,39.48569069
2007/12,39.9871027
2008/01,39.99688672
2008/02,40.02336231
2008/03,40.68888176
2008/04,39.87176418
2008/05,40.76047354
2008/06,40.56866325
2008/07,39.56068018
2008/08,40.3638923
2008/09,41.00173301
2008/10,40.1127469
2008/11,41.19120505
2008/12,40.83035128
2009/01,40.68149977
2009/02,41.90658183
2009/03,41.98245038
2009/04,41.21851637
2009/05,41.75173501
2009/06,41.91969083
2009/07,41.30254297
2009/08,41.56561095
2009/09,42.00515913
2009/10,40.85937606
2009/11,41.07445215
2009/12,41.12805676
2010/01,40.95261403
2010/02,41.66424764
2010/03,42.02912421
2010/04,41.3249375
2010/05,41.34035684
2010/06,41.85627526
2010/07,40.50806407
2010/08,40.4124433
2010/09,42.51793386
2010/10,41.34541258
2010/11,40.88801355
2010/12,41.99971306
2011/01,41.60817354
2011/02,41.6033135
2011/03,42.77698129
2011/04,42.14308421
2011/05,41.31545544
2011/06,42.23852833
2011/07,41.1519688
2011/08,41.09865002
2011/09,42.46692023
2011/10,42.12116053
2011/11,41.48152974
2011/12,42.25773121
2012/01,42.11301383
2012/02,41.69608088
2012/03,43.13025754
2012/04,42.40652069
2012/05,41.93899361
2012/06,42.67245365
2012/07,41.27709811
2012/08,41.58175536
2012/09,42.75180791
2012/10,41.7884869
2012/11,41.52930138
2012/12,42.34884684
2013/01,41.59237206
2013/02,42.06247978
2013/03,43.49691235
2013/04,42.37555029
2013/05,42.33256668
2013/06,42.76254189
2013/07,41.72140973
2013/08,42.2847625
2013/09,41.96565815
2013/10,41.91759873
2013/11,41.72714467
2013/12,42.25265554
2014/01,41.79836583
2014/02,42.51629165
2014/03,42.4026455
2014/04,42.59608346
2014/05,42.39837017
2014/06,41.74762816
2014/07,41.64910423
2014/08,41.69804357
2014/09,41.97657337
2014/10,42.27177216
2014/11,41.35313909
2014/12,42.07461305
2015/01,42.09850274
2015/02,42.27665073
2015/03,42.98004377
2015/04,42.19483557
2015/05,42.22715311
2015/06,42.68749406
