Trabajadores subordinados y remunerados,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por posición en la ocupación> Trabajadores subordinados y remunerados"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,64.48197758
2005/02,64.44981392
2005/03,64.1097638
2005/04,64.10021424
2005/05,64.45382505
2005/06,63.77278967
2005/07,63.32714936
2005/08,63.69111506
2005/09,63.72758694
2005/10,64.40328441
2005/11,64.86864562
2005/12,64.4023968
2006/01,64.50570741
2006/02,65.81196686
2006/03,65.20135842
2006/04,65.49107814
2006/05,65.49051412
2006/06,64.50842919
2006/07,64.52424432
2006/08,65.14482429
2006/09,64.10295326
2006/10,64.59038503
2006/11,65.34986025
2006/12,65.64901979
2007/01,65.34345523
2007/02,65.87428048
2007/03,65.47172713
2007/04,65.61667498
2007/05,65.7687999
2007/06,64.34960824
2007/07,64.66475917
2007/08,65.18683318
2007/09,65.37016276
2007/10,65.21531807
2007/11,65.80161513
2007/12,65.3449183
2008/01,65.26666791
2008/02,66.62958848
2008/03,65.79860703
2008/04,65.01786899
2008/05,66.3914239
2008/06,65.24986984
2008/07,64.47937594
2008/08,65.65117414
2008/09,65.82409852
2008/10,65.83828155
2008/11,69.04773023
2008/12,68.61250748
2009/01,66.27159834
2009/02,66.95850983
2009/03,66.62040061
2009/04,65.72338748
2009/05,66.16774587
2009/06,64.96980907
2009/07,64.45143595
2009/08,64.81637405
2009/09,64.15576744
2009/10,64.43763923
2009/11,65.22781168
2009/12,64.92502001
2010/01,65.61158507
2010/02,66.38241507
2010/03,65.77139534
2010/04,65.25541056
2010/05,65.08035666
2010/06,65.06563129
2010/07,64.71189814
2010/08,65.09489969
2010/09,65.63584707
2010/10,68.74823657
2010/11,69.58938253
2010/12,69.60399316
2011/01,66.26404805
2011/02,67.03861127
2011/03,66.20559799
2011/04,66.75905024
2011/05,66.08512786
2011/06,65.42987952
2011/07,65.86515539
2011/08,65.95991403
2011/09,65.86387282
2011/10,65.94035352
2011/11,66.52089881
2011/12,65.43821378
2012/01,66.03446786
2012/02,66.78776117
2012/03,65.70056803
2012/04,66.24488156
2012/05,66.60064306
2012/06,65.24454589
2012/07,64.66057976
2012/08,66.08112433
2012/09,65.92336768
2012/10,68.27355654
2012/11,69.90165004
2012/12,69.76810539
2013/01,66.56989708
2013/02,66.64564615
2013/03,67.87060545
2013/04,67.09034148
2013/05,66.24849252
2013/06,67.19706633
2013/07,66.61243375
2013/08,66.39321373
2013/09,66.85653866
2013/10,67.50701261
2013/11,67.07483119
2013/12,67.47101867
2014/01,68.16941707
2014/02,68.06048881
2014/03,67.75392758
2014/04,68.22632921
2014/05,68.21478918
2014/06,67.65481256
2014/07,67.25785558
2014/08,68.07612819
2014/09,67.05652848
2014/10,68.16295532
2014/11,68.13728096
2014/12,67.39612675
2015/01,67.73410802
2015/02,68.5071604
2015/03,67.68548759
2015/04,68.14827503
2015/05,68.06193253
2015/06,67.27513118
