Trabajadores no remunerados,
Ruta temática,"Indicadores económicos de coyuntura> Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más)> Series originales> Población total> Población ocupada> Por posición en la ocupación> Trabajadores no remunerados"
Periodicidad,Mensual
Unidad de medida,Porcentaje
Fuente,INEGI. Encuesta Nacional de Ocupación y Empleo.
Cifras preliminares,2005/01
Nota," En virtud de la reciente  reforma  constitucional que elevóla edad legal mínima para  trabajar de los 14 a los 15 años,las cifras aquí  contenidas  corresponden al universo de laspersonas de 15 años de edad en adelante y, por lo tanto, lasseries anteriores cuya cobertura era la población de 14 añosy más, ya no serán actualizadas."
Fecha inicial,2015/06
Fecha final,2005/01
Última actualización,2015/07/24
Periodo,Dato
2005/01,7.26948636
2005/02,6.882369541
2005/03,7.325789253
2005/04,7.033684903
2005/05,7.234478654
2005/06,7.442671022
2005/07,7.866506419
2005/08,7.69246195
2005/09,7.382842751
2005/10,7.061848378
2005/11,7.067700328
2005/12,7.122397932
2006/01,6.994770509
2006/02,6.080584826
2006/03,6.713363976
2006/04,6.77744291
2006/05,6.646996864
2006/06,6.746796119
2006/07,7.1875802
2006/08,7.169084593
2006/09,6.795379143
2006/10,7.110682459
2006/11,7.078133678
2006/12,6.442924436
2007/01,6.941612378
2007/02,6.53112872
2007/03,6.222740201
2007/04,6.45486766
2007/05,6.792148481
2007/06,6.635299463
2007/07,7.264450355
2007/08,6.924197355
2007/09,6.476980907
2007/10,7.066150863
2007/11,7.04429082
2007/12,6.920115867
2008/01,6.983002261
2008/02,6.699563112
2008/03,6.398232334
2008/04,6.740804355
2008/05,6.409681055
2008/06,6.479165773
2008/07,7.204184885
2008/08,6.751642849
2008/09,6.27971976
2008/10,6.388729396
2008/11,6.477703721
2008/12,6.989620889
2009/01,6.279189834
2009/02,5.990964627
2009/03,5.829159507
2009/04,6.372554717
2009/05,6.10469143
2009/06,6.700468743
2009/07,7.181036166
2009/08,6.525395369
2009/09,6.938108517
2009/10,7.087475706
2009/11,6.687321682
2009/12,7.128806795
2010/01,6.606285987
2010/02,5.80341824
2010/03,6.362013831
2010/04,6.524646242
2010/05,6.603530713
2010/06,6.857059253
2010/07,7.361754225
2010/08,6.803230024
2010/09,6.55232118
2010/10,6.675994885
2010/11,6.474437437
2010/12,6.19888537
2011/01,6.330887821
2011/02,5.656666874
2011/03,5.955236048
2011/04,5.739224434
2011/05,6.331936345
2011/06,6.410463594
2011/07,6.549678269
2011/08,6.490669842
2011/09,6.222988832
2011/10,6.457915827
2011/11,6.226008058
2011/12,6.770194184
2012/01,6.229752716
2012/02,5.598830807
2012/03,5.955565346
2012/04,6.104100677
2012/05,6.044357994
2012/06,6.697238347
2012/07,6.653181376
2012/08,6.2153818
2012/09,6.417256402
2012/10,6.458887944
2012/11,5.919237492
2012/12,6.218810715
2013/01,5.972354226
2013/02,5.57579443
2013/03,5.286496146
2013/04,5.517325366
2013/05,6.093270963
2013/06,5.663157345
2013/07,6.054139388
2013/08,5.814064279
2013/09,5.914154091
2013/10,5.949425171
2013/11,5.975677438
2013/12,5.732381096
2014/01,5.558661541
2014/02,5.365401954
2014/03,5.411143233
2014/04,5.39962084
2014/05,5.372040285
2014/06,5.657043261
2014/07,6.153366204
2014/08,5.367877005
2014/09,5.66710611
2014/10,5.526081526
2014/11,5.400835585
2014/12,5.571392956
2015/01,5.17564329
2015/02,5.157011705
2015/03,4.79874593
2015/04,5.683981966
2015/05,5.127256897
2015/06,5.491404467
