Índice,
Ruta temática,Precios e inflación> Índice de la canasta básica> Índice
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1982/01
Última actualización,2015/08/07
Periodo,Dato
1982/01,0.095348532
1982/02,0.097869253
1982/03,0.100524126
1982/04,0.105433075
1982/05,0.111206554
1982/06,0.117044625
1982/07,0.122153972
1982/08,0.144315454
1982/09,0.150819314
1982/10,0.157586507
1982/11,0.163691225
1982/12,0.194213156
1983/01,0.209142055
1983/02,0.215445515
1983/03,0.223938459
1983/04,0.241919717
1983/05,0.250081423
1983/06,0.255720751
1983/07,0.270916297
1983/08,0.2824616
1983/09,0.291684923
1983/10,0.302963579
1983/11,0.329371534
1983/12,0.339126494
1984/01,0.356776515
1984/02,0.380397101
1984/03,0.396188875
1984/04,0.423923438
1984/05,0.444294579
1984/06,0.459289726
1984/07,0.47050379
1984/08,0.476275613
1984/09,0.48815381
1984/10,0.51137691
1984/11,0.526239562
1984/12,0.548931026
1985/01,0.608449536
1985/02,0.636384498
1985/03,0.657351867
1985/04,0.668564276
1985/05,0.681437843
1985/06,0.692981489
1985/07,0.705855057
1985/08,0.728879414
1985/09,0.750974649
1985/10,0.777647594
1985/11,0.8039893
1985/12,0.885338056
1986/01,0.990572387
1986/02,1.037815216
1986/03,1.090962362
1986/04,1.158576331
1986/05,1.221410535
1986/06,1.299839427
1986/07,1.367718386
1986/08,1.542953257
1986/09,1.639429655
1986/10,1.73238996
1986/11,1.85660092
1986/12,1.995012056
1987/01,2.133886925
1987/02,2.282847993
1987/03,2.42563644
1987/04,2.689918038
1987/05,2.909411283
1987/06,3.137064577
1987/07,3.3673744
1987/08,3.67259371
1987/09,3.878617159
1987/10,4.127239478
1987/11,4.364978971
1987/12,5.104872051
1988/01,6.128886232
1988/02,6.585322342
1988/03,6.756312397
1988/04,6.840778103
1988/05,6.862277109
1988/06,6.89233365
1988/07,6.968506811
1988/08,6.994581871
1988/09,6.968041421
1988/10,7.031740157
1988/11,7.121248961
1988/12,7.227081178
1989/01,7.425133382
1989/02,7.448603255
1989/03,7.475178485
1989/04,7.530919225
1989/05,7.552464605
1989/06,7.588581147
1989/07,7.61433325
1989/08,7.644321888
1989/09,7.707833473
1989/10,7.871882435
1989/11,7.972116728
1989/12,8.339549171
1990/01,8.977184093
1990/02,9.090840152
1990/03,9.176625841
1990/04,9.310113123
1990/05,9.499168902
1990/06,9.85278375
1990/07,10.02859166
1990/08,10.20620317
1990/09,10.29514887
1990/10,10.4428711
1990/11,10.79747801
1990/12,11.14483908
1991/01,11.45912438
1991/02,11.65539618
1991/03,11.82757869
1991/04,11.86697118
1991/05,11.92157577
1991/06,12.00770098
1991/07,12.08424181
1991/08,12.15605754
1991/09,12.23936391
1991/10,12.39058071
1991/11,13.10774258
1991/12,13.63280956
1992/01,13.77173245
1992/02,13.8308717
1992/03,13.89994146
1992/04,13.93227195
1992/05,14.0351313
1992/06,14.15659464
1992/07,14.2571138
1992/08,14.37045353
1992/09,14.44928819
1992/10,14.5457298
1992/11,14.61602183
1992/12,14.73415126
1993/01,14.91952533
1993/02,15.06683849
1993/03,15.20344438
1993/04,15.27900972
1993/05,15.33098594
1993/06,15.36952052
1993/07,15.46018203
1993/08,15.55463622
1993/09,15.61055583
1993/10,15.70006795
1993/11,15.7641476
1993/12,15.84388489
1994/01,16.00407327
1994/02,16.13685998
1994/03,16.27512703
1994/04,16.37045237
1994/05,16.43507195
1994/06,16.5040059
1994/07,16.58266501
1994/08,16.66363449
1994/09,16.76801092
1994/10,16.8927088
1994/11,16.98264987
1994/12,17.12758143
1995/01,17.89869701
1995/02,18.66849426
1995/03,20.33437327
1995/04,22.4564499
1995/05,23.26467077
1995/06,23.86901461
1995/07,24.33341037
1995/08,24.67541367
1995/09,25.11314476
1995/10,25.62424509
1995/11,26.46062119
1995/12,27.50103994
1996/01,28.80843656
1996/02,29.52805125
1996/03,30.21421089
1996/04,31.19583488
1996/05,31.72415959
1996/06,32.29007981
1996/07,32.80333319
1996/08,33.32983608
1996/09,33.78826956
1996/10,34.30682274
1996/11,34.96681457
1996/12,36.65960668
1997/01,37.52778164
1997/02,38.0531252
1997/03,38.50592763
1997/04,38.92610311
1997/05,39.23316079
1997/06,39.56853932
1997/07,39.82756749
1997/08,40.06639013
1997/09,40.52333303
1997/10,41.00296574
1997/11,41.5708734
