Inflación mensual,
Ruta temática,Precios e inflación> Índice de la canasta básica> Inflación mensual
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1982/02
Última actualización,2015/08/07
Periodo,Dato
1982/02,2.643692136
1982/03,2.712673244
1982/04,4.883353104
1982/05,5.47596607
1982/06,5.249754267
1982/07,4.365298354
1982/08,18.14225283
1982/09,4.506696352
1982/10,4.48695423
1982/11,3.873883342
1982/12,18.6460399
1983/01,7.686863088
1983/02,3.01396115
1983/03,3.942037898
1983/04,8.029553372
1983/05,3.373724926
1983/06,2.254996755
1983/07,5.942242055
1983/08,4.261575518
1983/09,3.265337234
1983/10,3.866725718
1983/11,8.716544214
1983/12,2.961689118
1984/01,5.204553557
1984/02,6.620555194
1984/03,4.151391925
1984/04,7.000338604
1984/05,4.805382028
1984/06,3.37504613
1984/07,2.441610143
1984/08,1.226732562
1984/09,2.493975443
1984/10,4.757332609
1984/11,2.906398676
1984/12,4.312002543
1985/01,10.84262103
1985/02,4.591171515
1985/03,3.294764292
1985/04,1.70569354
1985/05,1.925554157
1985/06,1.69401311
1985/07,1.857707226
1985/08,3.261910125
1985/09,3.031397838
1985/10,3.551776991
1985/11,3.38735784
1985/12,10.11813903
1986/01,11.88634455
1986/02,4.769245431
1986/03,5.121060661
1986/04,6.197644516
1986/05,5.423397847
1986/06,6.421173669
1986/07,5.222103443
1986/08,12.81220408
1986/09,6.252710309
1986/10,5.670283267
1986/11,7.169919188
1986/12,7.455082796
1987/01,6.961104253
1987/02,6.980738588
1987/03,6.254838132
1987/04,10.89535077
1987/05,8.159848783
1987/06,7.824720255
1987/07,7.341570999
1987/08,9.064014696
1987/09,5.609753348
1987/10,6.410076302
1987/11,5.760254381
1987/12,16.95066768
1988/01,20.05954648
1988/02,7.447292907
1988/03,2.596532809
1988/04,1.250174657
1988/05,0.314277206
1988/06,0.437996617
1988/07,1.105186782
1988/08,0.374184324
1988/09,-0.379442975
1988/10,0.914155518
1988/11,1.272925375
1988/12,1.48614684
1989/01,2.740417602
1989/02,0.316086884
1989/03,0.356781381
1989/04,0.745677723
1989/05,0.286092295
1989/06,0.478208688
1989/07,0.339353332
1989/08,0.393844566
1989/09,0.830833481
1989/10,2.128340761
1989/11,1.273320505
1989/12,4.608969681
1990/01,7.645915969
1990/02,1.26605468
1990/03,0.943649735
1990/04,1.454644488
1990/05,2.030649644
1990/06,3.722587217
1990/07,1.784347624
1990/08,1.77105131
1990/09,0.87148667
1990/10,1.434872284
1990/11,3.395684019
1990/12,3.217057468
1991/01,2.820007484
1991/02,1.712799282
1991/03,1.477277216
1991/04,0.333056218
1991/05,0.460139267
1991/06,0.722431411
1991/07,0.637431219
1991/08,0.594292343
1991/09,0.685307484
1991/10,1.235495572
1991/11,5.787960101
1991/12,4.005777322
1992/01,1.019033516
1992/02,0.429424863
1992/03,0.499388338
1992/04,0.232594439
1992/05,0.738281274
1992/06,0.865423613
1992/07,0.71005182
1992/08,0.794969645
1992/09,0.54858852
1992/10,0.667448916
1992/11,0.483248552
1992/12,0.808218753
1993/01,1.258125186
1993/02,0.987385023
1993/03,0.90666591
1993/04,0.497027757
1993/05,0.340180556
1993/06,0.251350956
1993/07,0.589878605
1993/08,0.610951338
1993/09,0.359504449
1993/10,0.573407623
1993/11,0.408148927
1993/12,0.505814104
1994/01,1.011042325
1994/02,0.829705734
1994/03,0.856839852
1994/04,0.585711835
1994/05,0.394732995
1994/06,0.41943201
1994/07,0.47660612
1994/08,0.488277895
1994/09,0.626372507
1994/10,0.743665308
1994/11,0.532425389
1994/12,0.853409557
1995/01,4.502186035
1995/02,4.300856377
1995/03,8.923478191
1995/04,10.43590871
1995/05,3.599058935
1995/06,2.597689203
1995/07,1.945600888
1995/08,1.405488552
1995/09,1.773956467
1995/10,2.035190461
1995/11,3.264002896
1995/12,3.931951329
1996/01,4.753989762
1996/02,2.497930368
1996/03,2.323755251
1996/04,3.248881775
1996/05,1.693574504
1996/06,1.783877755
1996/07,1.589507914
1996/08,1.605028652
1996/09,1.375444734
1996/10,1.534713644
1996/11,1.923791777
1996/12,4.841139025
1997/01,2.368205865
1997/02,1.399879077
1997/03,1.189921789
1997/04,1.091196876
1997/05,0.788822043
1997/06,0.854834352
1997/07,0.654631602
1997/08,0.599641546
1997/09,1.14046437
1997/10,1.1835964
1997/11,1.385040432
1997/12,1.313131716
1998/01,2.215895462
1998/02,1.831618796
1998/03,0.867413438
1998/04,0.730736242
1998/05,0.095559637
1998/06,1.330985628
1998/07,0.875424332
1998/08,1.151288295
1998/09,1.739970827
1998/10,1.788255568
1998/11,2.349737203
1998/12,2.534421629
1999/01,2.825170664
1999/02,1.765040622
1999/03,1.223576838
1999/04,0.918527859
1999/05,0.06618277
1999/06,0.593087548
1999/07,0.624308713
1999/08,0.42441193
1999/09,0.629366802
1999/10,0.926664491
1999/11,1.400135912
1999/12,1.050142302
2000/01,1.538537951
2000/02,1.104911967
2000/03,0.67021649
2000/04,0.309271939
2000/05,-0.111039715
2000/06,0.289193475
2000/07,0.395544915
2000/08,0.544463593
2000/09,0.512530378
2000/10,0.86428003
2000/11,1.523240343
2000/12,0.778218546
2001/01,0.981516958
2001/02,0.789714553
2001/03,0.506335797
2001/04,0.236658104
2001/05,-0.330696323
2001/06,0.238460183
2001/07,-0.654664484
2001/08,0.052538757
2001/09,0.660743548
2001/10,0.415496853
2001/11,0.825205714
2001/12,0.054114656
2002/01,0.846216352
2002/02,1.036705535
2002/03,0.506430705
2002/04,0.39749324
2002/05,-0.197330501
2002/06,0.170735829
2002/07,-0.053229506
2002/08,0.344111673
2002/09,0.438303377
2002/10,0.917655496
2002/11,1.455521442
2002/12,0.050540447
2003/01,0.859351157
2003/02,0.496569435
2003/03,0.546887257
2003/04,0.161295864
2003/05,-1.306581764
2003/06,0.046458878
2003/07,-0.009232616
2003/08,0.303734275
2003/09,0.447957188
2003/10,0.658309965
2003/11,1.988739938
2003/12,0.447581296
2004/01,1.176113453
2004/02,0.92557285
2004/03,0.606071429
2004/04,0.130703258
2004/05,-0.958761144
2004/06,0.283159073
2004/07,0.245381602
2004/08,0.658632361
2004/09,0.49794351
2004/10,0.833589875
2004/11,1.761838514
2004/12,0.397978411
2005/01,0.442598006
2005/02,0.257342324
2005/03,0.364036999
2005/04,-0.172150561
2005/05,-1.524629946
2005/06,0.149048108
2005/07,0.160143646
2005/08,0.275973738
2005/09,0.454460409
2005/10,0.842015215
2005/11,2.088735312
2005/12,0.513488869
2006/01,0.628302122
2006/02,0.052624874
2006/03,0.33475621
2006/04,-0.02808831
2006/05,-1.635119456
2006/06,0.116746783
2006/07,0.283555157
2006/08,0.544424582
2006/09,0.51101057
2006/10,0.641646815
2006/11,2.024367866
2006/12,0.674098874
2007/01,0.946537308
2007/02,0.102421889
2007/03,0.068580445
2007/04,-0.532116834
2007/05,-0.962372431
2007/06,0.198529193
2007/07,0.320521379
2007/08,0.398927768
2007/09,0.486188123
2007/10,1.126226476
2007/11,1.321798472
2007/12,0.502960463
2008/01,0.751272928
2008/02,0.280988294
2008/03,0.843986707
2008/04,-0.155877715
2008/05,-0.522753293
2008/06,0.619715162
2008/07,0.725626784
2008/08,1.139858725
2008/09,0.785651864
2008/10,1.156455503
2008/11,1.879349705
2008/12,0.534344471
2009/01,0.514811274
2009/02,0.306000324
2009/03,0.390934952
2009/04,-0.018563369
2009/05,-0.964300522
2009/06,0.122204567
2009/07,0.017495444
2009/08,0.271157015
2009/09,0.156951553
2009/10,1.117568241
2009/11,1.370636201
2009/12,0.227552705
2010/01,1.479320959
2010/02,0.658355029
2010/03,0.365536062
2010/04,-0.531245866
2010/05,-1.348957056
2010/06,-0.108878568
2010/07,0.069734389
2010/08,0.340548411
2010/09,0.361625788
2010/10,1.067774073
2010/11,1.504301488
2010/12,0.288047146
2011/01,0.773748744
2011/02,0.646340318
2011/03,0.414300532
2011/04,-1.107701221
2011/05,-1.407520135
2011/06,0.291233267
2011/07,0.376732851
2011/08,0.335115408
2011/09,0.430607143
2011/10,1.59631385
2011/11,2.472587783
2011/12,0.900301792
2012/01,0.981835059
2012/02,0.477865656
2012/03,0.085851305
2012/04,-0.852568948
2012/05,-1.336155218
2012/06,0.249895227
2012/07,0.731684079
2012/08,0.596490725
2012/09,0.197632204
2012/10,0.992485016
2012/11,1.704717268
2012/12,0.103569958
2013/01,0.790804242
2013/02,0.654228834
2013/03,0.523258105
2013/04,-0.165064364
2013/05,-0.855586135
2013/06,0.174058999
2013/07,0.016248191
2013/08,0.171677254
2013/09,0.296602419
2013/10,1.141544254
2013/11,1.750394197
2013/12,0.60755907
2014/01,1.714159473
2014/02,0.293868561
2014/03,0.2469874
2014/04,-0.789587402
2014/05,-1.075247816
2014/06,0.36892314
2014/07,0.193291131
2014/08,0.220445533
2014/09,0.249715704
2014/10,1.247967687
2014/11,1.734523341
2014/12,0.19534635
2015/01,0.04773467
2015/02,0.319036613
2015/03,0.553929279
2015/04,-0.94743972
2015/05,-1.54275856
2015/06,0.052343503
2015/07,-0.095120618
