"Alimentos, bebidas y tabaco",
Ruta temática,"Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Alimentos, bebidas y tabaco"
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.015891986
1969/02,0.015981225
1969/03,0.015883717
1969/04,0.015948175
1969/05,0.015900248
1969/06,0.015968008
1969/07,0.016146494
1969/08,0.016220862
1969/09,0.016562963
1969/10,0.01659932
1969/11,0.016591058
1969/12,0.016787722
1970/01,0.016822432
1970/02,0.016807555
1970/03,0.016842265
1970/04,0.016840611
1970/05,0.016863745
1970/06,0.017022404
1970/07,0.017179404
1970/08,0.017219069
1970/09,0.017237248
1970/10,0.017162879
1970/11,0.017162879
1970/12,0.017465315
1971/01,0.017584309
1971/02,0.017653717
1971/03,0.017729739
1971/04,0.017823946
1971/05,0.017823946
1971/06,0.017832209
1971/07,0.017842125
1971/08,0.017921448
1971/09,0.017989208
1971/10,0.01801565
1971/11,0.018009041
1971/12,0.018052013
1972/01,0.018075147
1972/02,0.018166047
1972/03,0.018316437
1972/04,0.018399069
1972/05,0.018430471
1972/06,0.018628789
1972/07,0.018642013
1972/08,0.018742823
1972/09,0.018752739
1972/10,0.018714728
1972/11,0.018929571
1972/12,0.018989068
1973/01,0.019316298
1973/02,0.019529487
1973/03,0.019741029
1973/04,0.020140973
1973/05,0.020488035
1973/06,0.020681392
1973/07,0.021745705
1973/08,0.022190275
1973/09,0.023041392
1973/10,0.02326285
1973/11,0.023588425
1973/12,0.02420652
1974/01,0.025645983
1974/02,0.026553296
1974/03,0.026756575
1974/04,0.027087106
1974/05,0.02737467
1974/06,0.027807664
1974/07,0.028129932
1974/08,0.028472033
1974/09,0.028617469
1974/10,0.0291331
1974/11,0.029704921
1974/12,0.029810692
1975/01,0.029904893
1975/02,0.029994133
1975/03,0.030106519
1975/04,0.030204021
1975/05,0.030969206
1975/06,0.0317443
1975/07,0.032073183
1975/08,0.032169038
1975/09,0.032309513
1975/10,0.032415284
1975/11,0.032564021
1975/12,0.032833406
1976/01,0.033241613
1976/02,0.033777077
1976/03,0.03395887
1976/04,0.034056372
1976/05,0.034165451
1976/06,0.034246428
1976/07,0.034515814
1976/08,0.034618277
1976/09,0.035684243
1976/10,0.037877327
1976/11,0.038849092
1976/12,0.040100153
1977/01,0.041856935
1977/02,0.042622114
1977/03,0.043372421
1977/04,0.044473097
1977/05,0.044821806
1977/06,0.045261415
1977/07,0.045553934
1977/08,0.04651413
1977/09,0.047628023
1977/10,0.047778414
1977/11,0.048180012
1977/12,0.048776621
1978/01,0.049391414
1978/02,0.04968228
1978/03,0.0503169
1978/04,0.051219251
1978/05,0.051893542
1978/06,0.053078497
1978/07,0.054493172
1978/08,0.054755949
