Educación y esparcimiento,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Educación y esparcimiento
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.01086715
1969/02,0.010869026
1969/03,0.010891531
1969/04,0.010914031
1969/05,0.010934661
1969/06,0.010953409
1969/07,0.010964662
1969/08,0.010927159
1969/09,0.011019044
1969/10,0.011052803
1969/11,0.011064049
1969/12,0.011075302
1970/01,0.011244076
1970/02,0.011313462
1970/03,0.011356591
1970/04,0.011439106
1970/05,0.011497239
1970/06,0.011575996
1970/07,0.011557248
1970/08,0.011690388
1970/09,0.011823534
1970/10,0.011866663
1970/11,0.011842288
1970/12,0.011887293
1971/01,0.012239844
1971/02,0.012359862
1971/03,0.012447997
1971/04,0.012504254
1971/05,0.012646771
1971/06,0.012686156
1971/07,0.012674903
1971/08,0.012740539
1971/09,0.012832424
1971/10,0.012819296
1971/11,0.012839926
1971/12,0.012907437
1972/01,0.013053705
1972/02,0.013130593
1972/03,0.013149348
1972/04,0.013254361
1972/05,0.013274985
1972/06,0.013359375
1972/07,0.013423135
1972/08,0.013430637
1972/09,0.013631287
1972/10,0.01366317
1972/11,0.0137063
1972/12,0.013726923
1973/01,0.013818815
1973/02,0.013929456
1973/03,0.014124479
1973/04,0.01416574
1973/05,0.014248248
1973/06,0.014297004
1973/07,0.014323261
1973/08,0.014557669
1973/09,0.014835208
1973/10,0.015118372
1973/11,0.015394035
1973/12,0.015643448
1974/01,0.016009121
1974/02,0.01633729
1974/03,0.016481689
1974/04,0.016686091
1974/05,0.016841736
1974/06,0.017057396
1974/07,0.017348056
1974/08,0.017563717
1974/09,0.018160048
1974/10,0.018793888
1974/11,0.019103303
1974/12,0.019521489
1975/01,0.019740894
1975/02,0.019881542
1975/03,0.019992182
1975/04,0.020162831
1975/05,0.020297846
1975/06,0.020340982
1975/07,0.020453498
1975/08,0.020785419
1975/09,0.021317989
1975/10,0.021447385
1975/11,0.021610532
