"Muebles, aparatos y accesorios domésticos",
Ruta temática,"Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Muebles, aparatos y accesorios domésticos"
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.024619219
1969/02,0.02468913
1969/03,0.024857887
1969/04,0.024910922
1969/05,0.025067629
1969/06,0.025195401
1969/07,0.02516888
1969/08,0.025313528
1969/09,0.025494343
1969/10,0.025590776
1969/11,0.025802922
1969/12,0.025889718
1970/01,0.026075343
1970/02,0.026258571
1970/03,0.026234463
1970/04,0.02637188
1970/05,0.026502057
1970/06,0.026851629
1970/07,0.02697217
1970/08,0.027058957
1970/09,0.027256641
1970/10,0.027618262
1970/11,0.02766166
1970/12,0.027690587
1971/01,0.027758093
1971/02,0.027806309
1971/03,0.027803896
1971/04,0.027950958
1971/05,0.028037745
1971/06,0.028155881
1971/07,0.028329456
1971/08,0.028490981
1971/09,0.028507857
1971/10,0.028633216
1971/11,0.02877546
1971/12,0.0288068
1972/01,0.028876711
1972/02,0.028953853
1972/03,0.029059931
1972/04,0.029134668
1972/05,0.029204579
1972/06,0.029296194
1972/07,0.029368518
1972/08,0.029633707
1972/09,0.02974219
1972/10,0.029853093
1972/11,0.029949526
1972/12,0.030036314
1973/01,0.030166499
1973/02,0.030443738
1973/03,0.030788483
1973/04,0.031656376
1973/05,0.032075858
1973/06,0.032543557
1973/07,0.032869013
1973/08,0.033298141
1973/09,0.033845396
1973/10,0.034472207
1973/11,0.035120712
1973/12,0.035925925
1974/01,0.036646755
1974/02,0.037386875
1974/03,0.037888327
1974/04,0.038546478
1974/05,0.038992482
1974/06,0.039327582
1974/07,0.040600494
1974/08,0.041019969
1974/09,0.04140088
1974/10,0.042090371
1974/11,0.042521912
1974/12,0.042806382
1975/01,0.043131846
1975/02,0.043428375
1975/03,0.043828568
1975/04,0.045017097
1975/05,0.045219607
1975/06,0.045824723
1975/07,0.046099557
1975/08,0.046815561
1975/09,0.047160314
1975/10,0.047574971
1975/11,0.048445276
1975/12,0.049127535
1976/01,0.050463126
1976/02,0.051591381
1976/03,0.052367667
1976/04,0.052912509
1976/05,0.053401903
1976/06,0.053949158
1976/07,0.054313193
1976/08,0.055002683
1976/09,0.057160364
1976/10,0.06054755
1976/11,0.063052388
1976/12,0.064927995
1977/01,0.065571682
1977/02,0.067840258
1977/03,0.068949231
1977/04,0.069771321
1977/05,0.071000834
1977/06,0.072700461
1977/07,0.073898635
1977/08,0.075557268
1977/09,0.076502311
1977/10,0.07683018
1977/11,0.077100187
1977/12,0.077748701
1978/01,0.079108401
1978/02,0.079896729
1978/03,0.080504258
1978/04,0.081227501
1978/05,0.082324417
1978/06,0.083951718
1978/07,0.084959441
1978/08,0.086123862
1978/09,0.087117113
1978/10,0.08781143
1978/11,0.088471994
1978/12,0.089588199
1979/01,0.091415597
1979/02,0.093303262
1979/03,0.094865462
1979/04,0.09601542
1979/05,0.097112344
1979/06,0.098698661
1979/07,0.100347657
1979/08,0.101304742
1979/09,0.10241131
1979/10,0.10485828
1979/11,0.107155791
1979/12,0.10975464
1980/01,0.117066639
1980/02,0.120362219
1980/03,0.122503023
1980/04,0.12514527
1980/05,0.127469294
1980/06,0.128734966
1980/07,0.131133728
1980/08,0.133882053
1980/09,0.135514173
1980/10,0.138971278
1980/11,0.141044576
1980/12,0.142900901
1981/01,0.14828425
1981/02,0.152512815
1981/03,0.15638699
1981/04,0.160003207
1981/05,0.162662331
1981/06,0.165888
1981/07,0.16933546
1981/08,0.1730674
1981/09,0.177643123
1981/10,0.179378907
1981/11,0.181430502
1981/12,0.184899665
1982/01,0.190090142
1982/02,0.199366947
1982/03,0.210372306
1982/04,0.219530984
1982/05,0.231380126
1982/06,0.244834867
1982/07,0.258967049
1982/08,0.279198591
1982/09,0.300539099
1982/10,0.318260984
1982/11,0.341595234
1982/12,0.363755426
1983/01,0.401019347
1983/02,0.438037369
1983/03,0.483269034
1983/04,0.522153026
1983/05,0.561473376
1983/06,0.592958582
1983/07,0.620034416
1983/08,0.648175833
1983/09,0.671220785
1983/10,0.691052127
1983/11,0.709938433
1983/12,0.73698534
1984/01,0.773133057
1984/02,0.829223018
1984/03,0.87069381
1984/04,0.895975998
1984/05,0.924327157
1984/06,0.963160519
1984/07,0.995542551
1984/08,1.026499791
1984/09,1.047698064
1984/10,1.076979794
1984/11,1.115400913
1984/12,1.141278573
1985/01,1.180934024
1985/02,1.217559084
1985/03,1.262756996
1985/04,1.311262539
1985/05,1.361108491
1985/06,1.41638119
1985/07,1.4743998
1985/08,1.532280994
1985/09,1.590195941
1985/10,1.660432547
1985/11,1.753853936
1985/12,1.819690808
1986/01,1.89258172
1986/02,2.028305634
1986/03,2.172802497
1986/04,2.257337628
1986/05,2.391181109
1986/06,2.559021867
1986/07,2.68934315
1986/08,2.863714801
1986/09,3.018799944
1986/10,3.252713836
1986/11,3.542466963
1986/12,3.809151021
1987/01,4.140628079
1987/02,4.502519948
1987/03,4.832253982
1987/04,5.168653921
1987/05,5.517775705
1987/06,5.950195892
1987/07,6.581462284
1987/08,7.092916125
1987/09,7.654526918
1987/10,8.421080865
1987/11,9.25521712
1987/12,10.38007565
1988/01,11.28231494
1988/02,13.10726372
1988/03,14.16223522
1988/04,14.49063125
1988/05,14.61655763
1988/06,14.73769131
1988/07,14.79790134
1988/08,14.81410441
1988/09,14.59471084
1988/10,14.47700293
1988/11,14.44161461
1988/12,14.47999233
1989/01,14.53020233
1989/02,14.57406706
1989/03,14.64331523
1989/04,14.69511877
1989/05,14.77587375
1989/06,14.8240466
1989/07,14.82541354
1989/08,14.92805387
1989/09,14.97807099
1989/10,15.02365705
1989/11,15.09524371
1989/12,15.26968286
1990/01,15.48816273
1990/02,15.67270318
1990/03,15.7968576
1990/04,15.92012003
1990/05,16.10411805
1990/06,16.37417002
1990/07,16.66717774
1990/08,16.94264198
1990/09,17.10805264
1990/10,17.3339337
1990/11,17.60049964
1990/12,17.85584565
1991/01,18.12445113
1991/02,18.41689713
1991/03,18.66277829
1991/04,18.91678148
1991/05,19.11002256
1991/06,19.2621183
1991/07,19.45870076
1991/08,19.63723106
1991/09,19.86000699
1991/10,20.11940317
1991/11,19.86375581
1991/12,19.9826402
1992/01,20.20743157
1992/02,20.4498701
1992/03,20.65661413
1992/04,20.89141279
1992/05,21.19035594
1992/06,21.39326678
1992/07,21.44999078
1992/08,21.67327058
1992/09,21.70452676
1992/10,21.74351442
1992/11,21.92216767
1992/12,22.16824652
1993/01,22.35626095
1993/02,22.37845007
1993/03,22.65210861
1993/04,22.77843759
1993/05,22.78107743
1993/06,22.8079604
1993/07,23.00322415
1993/08,23.02241421
1993/09,23.1280078
1993/10,23.24632082
1993/11,23.3656946
1993/12,23.48483936
1994/01,23.54051948
1994/02,23.60342481
1994/03,23.69533703
1994/04,23.67635671
1994/05,23.79126808
1994/06,24.12895298
1994/07,24.18886166
1994/08,24.37555497
1994/09,24.39751747
1994/10,24.45184513
1994/11,24.62692796
1994/12,24.82092121
1995/01,25.775803
1995/02,27.60732126
1995/03,29.38088358
1995/04,32.13644211
1995/05,34.11902187
1995/06,35.46184435
1995/07,36.1125226
1995/08,36.77597816
1995/09,37.41773641
1995/10,38.14387309
1995/11,38.97560336
1995/12,40.34398045
1996/01,41.65256939
1996/02,42.66969113
1996/03,43.79144212
1996/04,44.47056795
1996/05,45.34569284
1996/06,46.27144479
1996/07,47.2078043
1996/08,48.21190765
1996/09,48.95299137
1996/10,49.58558853
1996/11,50.33221712
1996/12,51.14273223
1997/01,52.12971881
1997/02,53.09283834
1997/03,53.83609179
1997/04,54.43590191
1997/05,55.35538574
1997/06,56.03330617
1997/07,56.29680797
1997/08,56.78933693
1997/09,57.18712097
1997/10,57.80163704
1997/11,58.4778699
1997/12,59.12661951
1998/01,59.67363283
1998/02,60.58033936
1998/03,61.26742088
1998/04,61.8800083
1998/05,62.66882611
1998/06,63.33854977
1998/07,64.09048215
1998/08,64.69077443
1998/09,65.58615014
1998/10,66.73634871
1998/11,67.79469533
1998/12,68.8062722
1999/01,70.01770541
1999/02,71.50348906
1999/03,72.84799912
1999/04,74.03894041
1999/05,74.92877126
1999/06,75.71975879
1999/07,76.09801525
1999/08,76.66696697
1999/09,77.04618775
1999/10,77.81306716
1999/11,78.47989786
1999/12,78.90179002
2000/01,79.43048117
2000/02,80.28511415
2000/03,80.85189613
2000/04,81.17904337
2000/05,81.36250619
2000/06,81.47798411
2000/07,81.53463819
2000/08,81.81260485
2000/09,81.91361789
2000/10,81.97967415
2000/11,82.26800731
2000/12,82.60359239
2001/01,82.89843474
2001/02,83.0339224
2001/03,83.09780893
2001/04,83.18049979
2001/05,83.29163824
2001/06,83.44834104
2001/07,83.35239071
2001/08,83.20099169
2001/09,83.35431936
2001/10,83.05875377
2001/11,82.916998
2001/12,83.00692129
2002/01,82.98184885
2002/02,82.86709418
2002/03,82.47316744
2002/04,82.47871231
2002/05,82.20966565
2002/06,81.95243197
2002/07,81.73689679
2002/08,82.05348451
2002/09,81.7794357
2002/10,81.66981618
2002/11,81.48657161
2002/12,81.27633118
2003/01,81.19616168
2003/02,81.33768539
2003/03,81.44648686
2003/04,81.08408799
2003/05,81.44157852
2003/06,81.34668401
2003/07,81.18961723
2003/08,81.53320081
2003/09,81.61582448
2003/10,81.53647303
2003/11,81.46693826
2003/12,81.40558405
2004/01,81.56674111
2004/02,81.74507735
2004/03,81.83588158
2004/04,81.80234128
2004/05,81.70581065
2004/06,81.71480927
2004/07,81.56674111
2004/08,81.74834957
2004/09,81.83669963
2004/10,82.23427492
2004/11,82.41997366
2004/12,82.44860562
2005/01,82.76110307
2005/02,83.01388241
2005/03,83.21757839
2005/04,83.31656318
2005/05,83.46463134
2005/06,83.66996343
2005/07,83.60860922
2005/08,83.48181052
2005/09,83.53334806
2005/10,83.68059816
2005/11,83.87365941
2005/12,83.99227755
2006/01,84.13298321
2006/02,84.31786389
2006/03,84.465114
2006/04,84.39476117
2006/05,84.26959858
2006/06,84.45775149
2006/07,84.27041664
2006/08,84.43239175
2006/09,84.858599
2006/10,85.25453817
2006/11,85.252084
2006/12,85.46314248
2007/01,85.38788132
2007/02,85.49750084
2007/03,85.59730369
2007/04,85.7985455
2007/05,85.94088726
2007/06,86.04396234
2007/07,85.98342618
2007/08,86.13313046
2007/09,86.17239715
2007/10,86.32373753
2007/11,86.42190427
2007/12,87.04035471
2008/01,87.1597909
2008/02,87.53200645
2008/03,88.05556237
2008/04,88.54148772
2008/05,88.80981013
2008/06,89.40453694
2008/07,89.5787829
2008/08,90.18005416
2008/09,90.85495047
2008/10,91.33105914
2008/11,91.77035528
2008/12,92.36017376
2009/01,92.88454774
2009/02,94.22288757
2009/03,95.02376453
2009/04,95.69457056
2009/05,96.26311958
2009/06,96.86766306
2009/07,96.97564647
2009/08,97.24069666
2009/09,97.43212179
