Otros servicios,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Otros servicios
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.008388016
1969/02,0.00840272
1969/03,0.008400882
1969/04,0.008404558
1969/05,0.008437635
1969/06,0.008450501
1969/07,0.008437635
1969/08,0.008441311
1969/09,0.008439473
1969/10,0.008533211
1969/11,0.008560774
1969/12,0.008560774
1970/01,0.008674723
1970/02,0.008711482
1970/03,0.008724348
1970/04,0.008770291
1970/05,0.008864022
1970/06,0.008935697
1970/07,0.008992675
1970/08,0.009014731
1970/09,0.009031266
1970/10,0.009106623
1970/11,0.009121327
1970/12,0.009130511
1971/01,0.009551384
1971/02,0.009742521
1971/03,0.009775605
1971/04,0.009784795
1971/05,0.009854632
1971/06,0.009904257
1971/07,0.009924469
1971/08,0.009920793
1971/09,0.009924469
1971/10,0.009942849
1971/11,0.009966742
1971/12,0.00998696
1972/01,0.010018199
1972/02,0.010045769
1972/03,0.010095395
1972/04,0.010093557
1972/05,0.01014869
1972/06,0.010247935
1972/07,0.010264477
1972/08,0.010284695
1972/09,0.010293885
1972/10,0.010334314
1972/11,0.010354531
1972/12,0.010547507
1973/01,0.010567725
1973/02,0.010598971
1973/03,0.010672484
1973/04,0.010766214
1973/05,0.010883839
1973/06,0.01095
1973/07,0.01123303
1973/08,0.011291846
1973/09,0.011354331
1973/10,0.011521575
1973/11,0.011694332
1973/12,0.012003095
1974/01,0.012201584
1974/02,0.012298991
1974/03,0.012477269
1974/04,0.012655541
1974/05,0.012716188
1974/06,0.012776835
1974/07,0.012865058
1974/08,0.012990028
1974/09,0.013333712
1974/10,0.013664523
1974/11,0.013815232
1974/12,0.01413686
1975/01,0.014377617
1975/02,0.014532001
1975/03,0.014713949
1975/04,0.014820545
1975/05,0.015057626
1975/06,0.015121956
1975/07,0.015184441
1975/08,0.015263467
1975/09,0.015441739
1975/10,0.015513421
1975/11,0.015546498
1975/12,0.015608989
1976/01,0.015939801
1976/02,0.016171374
1976/03,0.01651322
1976/04,0.01680544
1976/05,0.016974522
1976/06,0.017285122
1976/07,0.017389881
1976/08,0.017445014
1976/09,0.018308809
1976/10,0.019725805
1976/11,0.021032529
1976/12,0.021949626
1977/01,0.022460547
1977/02,0.022833639
1977/03,0.023495268
1977/04,0.023701109
1977/05,0.023756242
1977/06,0.024160573
1977/07,0.024658635
1977/08,0.025592274
1977/09,0.025908381
1977/10,0.026046224
1977/11,0.026454231
1977/12,0.026573693
1978/01,0.02795393
1978/02,0.028385824
1978/03,0.02867253
1978/04,0.028964751
1978/05,0.029514276
1978/06,0.029655788
1978/07,0.029951684
1978/08,0.030078499
1978/09,0.030286178
1978/10,0.030561857
1978/11,0.03063537
1978/12,0.030956998
1979/01,0.032706643
1979/02,0.03330395
1979/03,0.033923312
1979/04,0.034239427
1979/05,0.034507753
1979/06,0.034963548
1979/07,0.035503876
1979/08,0.036090155
1979/09,0.036573513
1979/10,0.037135904
1979/11,0.037689099
1979/12,0.038069536
1980/01,0.042735878
1980/02,0.043858809
1980/03,0.044481847
1980/04,0.045051584
1980/05,0.045446725
1980/06,0.045891492
1980/07,0.046854531
1980/08,0.047642976
1980/09,0.048343203
1980/10,0.049833712
1980/11,0.050934594
1980/12,0.053325652
1981/01,0.055724068
1981/02,0.057120846
1981/03,0.058365078
1981/04,0.060546625
1981/05,0.061408588
1981/06,0.062189681
1981/07,0.06358829
1981/08,0.064577062
1981/09,0.065720218
1981/10,0.067427597
1981/11,0.069590763
1981/12,0.072206042
1982/01,0.077541365
1982/02,0.080832984
1982/03,0.084271628
1982/04,0.092108281
1982/05,0.097563066
1982/06,0.101383986
1982/07,0.106434441
1982/08,0.115133057
1982/09,0.121795315
1982/10,0.12741183
1982/11,0.134561128
1982/12,0.143013467
1983/01,0.168249191
1983/02,0.174448316
1983/03,0.180371755
1983/04,0.192689126
1983/05,0.198923165
1983/06,0.207432476
1983/07,0.221835824
1983/08,0.238913267
1983/09,0.249080337
1983/10,0.260043203
1983/11,0.270250708
1983/12,0.283378572
1984/01,0.302802974
1984/02,0.315144232
1984/03,0.336612338
1984/04,0.346343831
1984/05,0.360193985
1984/06,0.380131146
1984/07,0.394405841
1984/08,0.408542702
1984/09,0.422719991
1984/10,0.443302239
1984/11,0.458394787
1984/12,0.479925378
1985/01,0.520777443
1985/02,0.549966415
1985/03,0.582125378
1985/04,0.613302921
1985/05,0.633212512
1985/06,0.64816171
1985/07,0.688447708
1985/08,0.716646077
1985/09,0.746068453
1985/10,0.778343203
1985/11,0.811231801
1985/12,0.861105942
1986/01,0.970253074
1986/02,1.008892347
1986/03,1.051685196
1986/04,1.100454785
1986/05,1.146906824
1986/06,1.228565005
1986/07,1.302278098
1986/08,1.3641921
1986/09,1.429177169
1986/10,1.516997714
1986/11,1.609918333
1986/12,1.722649298
1987/01,1.948868433
1987/02,2.063692728
1987/03,2.181696531
1987/04,2.367526741
1987/05,2.471932182
1987/06,2.673117752
1987/07,2.970668106
1987/08,3.230450334
1987/09,3.380070926
1987/10,3.738342501
1987/11,4.091646331
1987/12,4.727532937
1988/01,5.402161743
1988/02,5.924527102
1988/03,6.330064891
1988/04,6.536490215
1988/05,6.752284982
1988/06,6.943005748
1988/07,7.089136238
1988/08,7.207268694
1988/09,7.243136466
1988/10,7.341703008
1988/11,7.394850388
1988/12,7.502839667
1989/01,7.837513053
1989/02,8.150271742
1989/03,8.305117384
1989/04,8.409932669
1989/05,8.505784681
1989/06,8.614931814
1989/07,8.722726273
1989/08,8.836469904
1989/09,9.033167411
1989/10,9.226121187
1989/11,9.344514617
1989/12,9.602389139
1990/01,9.958947828
1990/02,10.2101123
1990/03,10.39597376
1990/04,10.57148252
1990/05,10.86297159
1990/06,11.0439866
1990/07,11.2472802
1990/08,11.4222615
1990/09,11.596923
1990/10,11.7491258
1990/11,12.05049156
1990/12,12.4774074
1991/01,12.76915928
1991/02,13.08280566
1991/03,13.25778879
1991/04,13.30032986
1991/05,13.30788164
1991/06,13.36642316
1991/07,13.48060604
1991/08,13.63872125
1991/09,13.81204846
1991/10,13.91164237
1991/11,14.04833358
1991/12,14.18027759
1992/01,14.49129765
1992/02,14.72286498
1992/03,14.84781958
1992/04,15.06205584
1992/05,15.29707835
1992/06,15.44884373
1992/07,15.59382004
1992/08,15.69103024
1992/09,15.78270846
1992/10,15.87311855
1992/11,16.00560289
1992/12,16.1903506
1993/01,16.41376148
1993/02,16.64176151
1993/03,16.78607067
1993/04,16.89075179
1993/05,16.95367294
1993/06,17.04448736
1993/07,17.16626614
1993/08,17.30529879
1993/09,17.45445074
1993/10,17.61953696
1993/11,17.73834207
1993/12,17.86905104
1994/01,17.98028965
1994/02,18.08205408
1994/03,18.05128822
1994/04,18.21106486
1994/05,18.28219759
1994/06,18.33821204
1994/07,18.435867
1994/08,18.48941136
1994/09,18.56267234
1994/10,18.64321493
1994/11,18.68413133
1994/12,18.78340912
1995/01,19.37591292
1995/02,20.16057103
1995/03,20.90360149
1995/04,22.33006046
1995/05,22.98084848
1995/06,23.50684546
1995/07,23.90823518
1995/08,24.29179762
1995/09,24.62812693
1995/10,25.027495
1995/11,25.43347939
1995/12,26.21696127
1996/01,27.13607758
1996/02,27.75727597
1996/03,28.26562945
1996/04,29.09450659
1996/05,29.59330317
1996/06,30.05221807
1996/07,30.47731626
1996/08,30.75556903
1996/09,31.12332583
1996/10,31.40323268
1996/11,31.79855745
1996/12,32.62908867
1997/01,33.62998998
1997/02,34.27305896
1997/03,34.70330317
1997/04,35.17581828
1997/05,35.69869089
1997/06,36.09015615
1997/07,36.304635
1997/08,36.49209724
1997/09,36.76557155
1997/10,37.16346934
1997/11,37.46800358
1997/12,38.08846683
1998/01,39.26359775
1998/02,40.1099346
1998/03,40.62104487
1998/04,41.13050107
1998/05,41.60797841
1998/06,42.0235197
1998/07,42.40542806
1998/08,42.84522917
1998/09,43.11245475
1998/10,43.51421205
1998/11,43.97147288
1998/12,45.04533743
1999/01,46.27174479
1999/02,47.37078809
1999/03,48.00338124
1999/04,48.74183542
1999/05,49.47495979
1999/06,49.84345174
1999/07,50.169489
1999/08,50.60524681
1999/09,51.05111287
1999/10,51.47161639
1999/11,51.82558921
1999/12,52.59253029
2000/01,53.65352979
2000/02,54.36129163
2000/03,54.67869092
2000/04,55.01207964
2000/05,55.2550454
2000/06,55.65900814
2000/07,56.09072264
2000/08,56.44175487
2000/09,56.81245225
2000/10,57.17653332
2000/11,57.6126587
2000/12,58.19213756
2001/01,58.75323776
2001/02,59.40549606
2001/03,60.10719294
2001/04,60.69494219
2001/05,61.94119848
2001/06,62.18839134
2001/07,62.49402829
2001/08,62.72265871
2001/09,62.82557915
2001/10,63.10640493
2001/11,63.40193363
2001/12,63.89154088
2002/01,64.57945378
2002/02,65.31404844
2002/03,65.84261843
2002/04,66.27947895
2002/05,66.4682277
2002/06,66.76908621
2002/07,66.82796418
2002/08,67.10800695
2002/09,67.43216148
2002/10,67.64737335
2002/11,67.80109611
2002/12,68.02700174
2003/01,68.47948135
2003/02,68.9513434
2003/03,69.46865392
2003/04,69.63106537
2003/05,69.98262264
2003/06,70.2579869
2003/07,70.58214142
2003/08,71.03662612
2003/09,71.34474001
2003/10,71.44833578
2003/11,71.73305708
2003/12,72.02579869
2004/01,72.53241545
2004/02,72.95080872
2004/03,73.27830504
2004/04,73.58976073
2004/05,73.66929555
2004/06,73.86445662
2004/07,74.11509157
2004/08,74.28752841
2004/09,74.52546451
2004/10,74.806844
2004/11,75.12431493
2004/12,75.42307178
2005/01,76.02325892
2005/02,76.55259992
2005/03,76.83665285
2005/04,77.13407298
2005/05,77.33324422
2005/06,77.56917524
2005/07,77.92340596
2005/08,78.04905761
2005/09,78.08381232
2005/10,78.29300896
2005/11,78.56302633
2005/12,78.78759524
2006/01,79.09771421
2006/02,79.48001604
2006/03,79.89774094
2006/04,80.21654859
2006/05,80.41638818
2006/06,80.66368133
2006/07,80.78331774
2006/08,80.99585617
2006/09,81.19636412
2006/10,81.41625451
2006/11,81.61141559
2006/12,82.06991044
2007/01,82.81646839
2007/02,83.28164684
2007/03,83.48215479
2007/04,83.65191819
2007/05,83.88450742
2007/06,84.2093303
2007/07,84.41451678
2007/08,84.65111616
2007/09,84.67517712
2007/10,85.06215747
2007/11,85.44846946
2007/12,85.75324155
2008/01,86.23913915
2008/02,86.77850555
2008/03,87.2537094
2008/04,87.61462371
2008/05,87.92073252
2008/06,88.34580938
2008/07,88.7000401
2008/08,89.20130999
2008/09,89.51477075
2008/10,89.95321481
2008/11,90.79000134
2008/12,91.33805641
2009/01,91.83130598
2009/02,92.26573987
2009/03,92.63935303
2009/04,92.95014036
2009/05,93.26694292
2009/06,93.59109745
2009/07,93.90054806
2009/08,94.08501537
2009/09,94.24341666
2009/10,94.55754578
2009/11,94.81954284
2009/12,95.32014437
2010/01,96.25718487
2010/02,96.87140757
2010/03,97.12070579
2010/04,97.53843069
2010/05,97.92541104
2010/06,98.12859243
2010/07,98.34313594
2010/08,98.62251036
2010/09,98.67798423
2010/10,99.03488838
2010/11,99.28485497
2010/12,99.91244486
2011/01,100.578
2011/02,101.061
2011/03,101.487
2011/04,101.842
2011/05,102.073
2011/06,102.339
2011/07,102.614
2011/08,102.863
2011/09,102.777
2011/10,103.243
2011/11,103.847
2011/12,104.383
2012/01,105.029
2012/02,105.605
2012/03,106.095
2012/04,106.59
2012/05,107.06
2012/06,107.476
2012/07,107.703
2012/08,108.039
2012/09,108.138
2012/10,108.962
2012/11,109.316
2012/12,109.704
2013/01,110.552
2013/02,110.881
2013/03,111.085
2013/04,111.342
2013/05,111.84
2013/06,112.124
2013/07,112.381
2013/08,112.386
2013/09,112.311
2013/10,112.812
2013/11,113.314
2013/12,113.561
2014/01,115.472
2014/02,116.37
2014/03,116.853
2014/04,117.655
2014/05,118.13
2014/06,118.532
2014/07,118.975
2014/08,119.25
2014/09,119.283
2014/10,120.117
2014/11,120.781
2014/12,121.284
2015/01,122.227
2015/02,122.686
2015/03,123.026
2015/04,123.429
2015/05,123.72
2015/06,124.007
2015/07,124.421
