"Ropa, calzado y accesorios",
Ruta temática,"Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Ropa, calzado y accesorios"
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.020434972
1969/02,0.020708872
1969/03,0.021306947
1969/04,0.021420031
1969/05,0.021455212
1969/06,0.021724088
1969/07,0.021266743
1969/08,0.021073251
1969/09,0.020716415
1969/10,0.021455212
1969/11,0.021050629
1969/12,0.02159091
1970/01,0.02164368
1970/02,0.021327048
1970/03,0.021565776
1970/04,0.021505471
1970/05,0.021507982
1970/06,0.021513006
1970/07,0.02171153
1970/08,0.021774347
1970/09,0.02174671
1970/10,0.02178189
1970/11,0.02235232
1970/12,0.022410114
1971/01,0.022613661
1971/02,0.0226991
1971/03,0.022862435
1971/04,0.023086084
1971/05,0.023091116
1971/06,0.022980543
1971/07,0.022988087
1971/08,0.02314891
1971/09,0.023196657
1971/10,0.0231665
1971/11,0.023264507
1971/12,0.023337379
1972/01,0.023548461
1972/02,0.023465534
1972/03,0.023548461
1972/04,0.023684159
1972/05,0.023757032
1972/06,0.024008326
1972/07,0.02455111
1972/08,0.025106461
1972/09,0.025292419
1972/10,0.02560653
1972/11,0.025943264
1972/12,0.026141779
1973/01,0.02664436
1973/02,0.027071556
1973/03,0.027353008
1973/04,0.027584192
1973/05,0.027948563
1973/06,0.028345602
1973/07,0.028898441
1973/08,0.029483949
1973/09,0.029873454
1973/10,0.030147362
1973/11,0.03059214
1973/12,0.030991691
1974/01,0.031871209
1974/02,0.032333586
1974/03,0.032793451
1974/04,0.033193002
1974/05,0.033537271
1974/06,0.033652867
1974/07,0.033720716
1974/08,0.034122779
1974/09,0.034637926
1974/10,0.035057579
1974/11,0.035442051
1974/12,0.036067772
1975/01,0.036233618
1975/02,0.037110625
1975/03,0.037374477
1975/04,0.038040402
1975/05,0.038256516
1975/06,0.038721404
1975/07,0.0391109
1975/08,0.039244086
1975/09,0.039535585
1975/10,0.039970316
1975/11,0.040229146
1975/12,0.040528179
1976/01,0.040993067
1976/02,0.041292109
1976/03,0.042541021
1976/04,0.043433106
1976/05,0.044239743
1976/06,0.044445802
1976/07,0.044960949
1976/08,0.045335375
1976/09,0.049549519
1976/10,0.051966936
1976/11,0.054758778
1976/12,0.055572958
1977/01,0.056794234
1977/02,0.057435024
1977/03,0.058327109
1977/04,0.059010623
1977/05,0.059854961
1977/06,0.061794922
1977/07,0.063151895
1977/08,0.064420909
1977/09,0.066024145
1977/10,0.066805656
1977/11,0.067979184
1977/12,0.069210515
1978/01,0.069783456
1978/02,0.070620258
1978/03,0.072065174
1978/04,0.07261299
1978/05,0.073266347
1978/06,0.074160944
1978/07,0.075105799
1978/08,0.076455229
1978/09,0.079953199
1978/10,0.08185798
1978/11,0.083807996
1978/12,0.084659869
1979/01,0.084418629
1979/02,0.086001763
1979/03,0.087464278
1979/04,0.089436908
1979/05,0.091527654
1979/06,0.093525409
1979/07,0.095357326
1979/08,0.097533503
1979/09,0.099807678
1979/10,0.10211453
1979/11,0.10473047
1979/12,0.106399044
1980/01,0.115154011
1980/02,0.117981034
1980/03,0.120953801
1980/04,0.122745506
1980/05,0.125170466
1980/06,0.127145607
1980/07,0.130369669
1980/08,0.132003062
1980/09,0.134988396
1980/10,0.137709878
1980/11,0.140293141
1980/12,0.143137754
1981/01,0.146102986
1981/02,0.14960598
1981/03,0.153315032
1981/04,0.15767493
1981/05,0.160891448
1981/06,0.163635543
1981/07,0.167407421
1981/08,0.170837542
1981/09,0.174860706
1981/10,0.180024729
1981/11,0.184565561
1981/12,0.188040909
1982/01,0.190988551
1982/02,0.197368826
1982/03,0.212722694
1982/04,0.222043068
1982/05,0.233403929
1982/06,0.245315109
1982/07,0.257296659
1982/08,0.286898708
1982/09,0.307165313
1982/10,0.324170165
1982/11,0.347316563
1982/12,0.37321208
1983/01,0.425108655
1983/02,0.459427437
1983/03,0.48495356
1983/04,0.507903946
1983/05,0.53244501
1983/06,0.555955779
1983/07,0.577966342
1983/08,0.611614177
1983/09,0.649745041
1983/10,0.681515741
1983/11,0.711499759
1983/12,0.739754899
1984/01,0.763974307
1984/02,0.788904867
1984/03,0.820243338
1984/04,0.844342127
1984/05,0.865704364
1984/06,0.897643422
1984/07,0.928047094
1984/08,0.975417924
1984/09,1.022482178
1984/10,1.05920833
1984/11,1.099143465
1984/12,1.132188211
1985/01,1.173108405
1985/02,1.217627079
1985/03,1.272745205
1985/04,1.314843959
1985/05,1.364056744
1985/06,1.412643827
1985/07,1.468842497
1985/08,1.57946574
1985/09,1.667407464
1985/10,1.755140627
1985/11,1.845849068
1985/12,1.92362357
1986/01,1.983171954
1986/02,2.09528786
1986/03,2.211622933
1986/04,2.325673786
1986/05,2.471027921
1986/06,2.5788744
1986/07,2.702788402
1986/08,2.880375621
1986/09,3.075472776
