Salud y cuidado personal,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Salud y cuidado personal
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.016121846
1969/02,0.016128865
1969/03,0.016190275
1969/04,0.016223604
1969/05,0.016235886
1969/06,0.016237641
1969/07,0.016307824
1969/08,0.016399055
1969/09,0.016528886
1969/10,0.016570989
1969/11,0.016627135
1969/12,0.016646435
1970/01,0.016848197
1970/02,0.016939428
1970/03,0.016955219
1970/04,0.017041193
1970/05,0.017102596
1970/06,0.017292083
1970/07,0.017306112
1970/08,0.017321904
1970/09,0.017409632
1970/10,0.017478053
1970/11,0.017478053
1970/12,0.017478053
1971/01,0.01776228
1971/02,0.017886848
1971/03,0.017886848
1971/04,0.017979833
1971/05,0.017979833
1971/06,0.01829388
1971/07,0.018285115
1971/08,0.018376345
1971/09,0.018381609
1971/10,0.018381609
1971/11,0.018469331
1971/12,0.018504422
1972/01,0.018593898
1972/02,0.01870092
1972/03,0.018960583
1972/04,0.019034268
1972/05,0.019069359
1972/06,0.019172872
1972/07,0.019395696
1972/08,0.019732553
1972/09,0.019962388
1972/10,0.019962388
1972/11,0.019962388
1972/12,0.019965897
1973/01,0.019958879
1973/02,0.019995725
1973/03,0.02012731
1973/04,0.02079576
1973/05,0.020804533
1973/06,0.020836116
1973/07,0.020855416
1973/08,0.021060687
1973/09,0.021348423
1973/10,0.021406316
1973/11,0.021583521
1973/12,0.021730898
1974/01,0.022251971
1974/02,0.022697612
1974/03,0.0228906
1974/04,0.02298885
1974/05,0.023116926
1974/06,0.023271322
1974/07,0.023390626
1974/08,0.02345379
1974/09,0.023634497
1974/10,0.02521703
1974/11,0.02535388
1974/12,0.025420554
1975/01,0.026264454
1975/02,0.026355684
1975/03,0.02649078
