Transporte,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Transporte
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.012373242
1969/02,0.012376859
1969/03,0.012376859
1969/04,0.012382291
1969/05,0.012393149
1969/06,0.012398581
1969/07,0.012414879
1969/08,0.012420304
1969/09,0.012431169
1969/10,0.012443842
1969/11,0.012469182
1969/12,0.012483664
1970/01,0.012550648
1970/02,0.012548839
1970/03,0.012547024
1970/04,0.012552456
1970/05,0.01258142
1970/06,0.012583228
1970/07,0.012592285
1970/08,0.012639347
1970/09,0.012637539
1970/10,0.012641163
1970/11,0.012641163
1970/12,0.012673743
1971/01,0.012738912
1971/02,0.012746153
1971/03,0.01276245
1971/04,0.012766067
1971/05,0.012782364
1971/06,0.013178813
1971/07,0.012999592
1971/08,0.013033988
1971/09,0.013084674
1971/10,0.013082866
1971/11,0.01318243
1971/12,0.013224067
1972/01,0.013368893
1972/02,0.013405097
1972/03,0.013510094
1972/04,0.01350647
1972/05,0.013513711
1972/06,0.013548107
1972/07,0.013586128
1972/08,0.013754477
1972/09,0.013772583
1972/10,0.013783441
1972/11,0.013805171
1972/12,0.013875771
1973/01,0.013915593
1973/02,0.013928266
1973/03,0.013964471
1973/04,0.013997059
1973/05,0.014027831
1973/06,0.01408395
1973/07,0.014103864
1973/08,0.014132828
1973/09,0.01420162
1973/10,0.014234201
1973/11,0.01436092
1973/12,0.017872858
1974/01,0.018381545
1974/02,0.018504648
1974/03,0.018542661
1974/04,0.019091176
1974/05,0.019125573
1974/06,0.01916721
1974/07,0.019292114
1974/08,0.019359098
1974/09,0.019543745
1974/10,0.019985448
1974/11,0.022738884
1974/12,0.022851121
1975/01,0.023412303
1975/02,0.023459373
1975/03,0.023703756
1975/04,0.023977109
1975/05,0.024004264
1975/06,0.024040469
1975/07,0.0242921
1975/08,0.024464073
1975/09,0.024469506
1975/10,0.024498469
1975/11,0.024507519
1975/12,0.024880437
1976/01,0.025336629
1976/02,0.025539382
1976/03,0.025593685
1976/04,0.025609982
1976/05,0.025687824
1976/06,0.025843507
1976/07,0.025912293
1976/08,0.026707007
1976/09,0.027358704
1976/10,0.028262031
1976/11,0.033138922
1976/12,0.034424217
1977/01,0.035309439
1977/02,0.035783736
1977/03,0.036247162
1977/04,0.036531374
1977/05,0.036860846
1977/06,0.037393072
1977/07,0.037950636
1977/08,0.038003131
1977/09,0.038196835
1977/10,0.038624056
1977/11,0.03892999
1977/12,0.03896801
1978/01,0.04041623
1978/02,0.040908626
1978/03,0.040988277
1978/04,0.04105526
1978/05,0.041238099
1978/06,0.04132499
1978/07,0.041516878
1978/08,0.041685235
1978/09,0.042145044
1978/10,0.042691751
1978/11,0.042948807
1978/12,0.043017599
1979/01,0.043759811
1979/02,0.045021575
1979/03,0.045564658
1979/04,0.045723958
