Vivienda,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Índice> Índice general y por objeto del gasto> Vivienda
Periodicidad,Mensual
Unidad de medida,Base segunda quincena de diciembre 2010 = 100
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/01
Última actualización,2015/08/07
Periodo,Dato
1969/01,0.020608011
1969/02,0.020601444
1969/03,0.020599255
1969/04,0.020605822
1969/05,0.020643018
1969/06,0.020647396
1969/07,0.020789607
1969/08,0.020789607
1969/09,0.020866188
1969/10,0.021561943
1969/11,0.021699783
1969/12,0.021704161
1970/01,0.022087046
1970/02,0.022095794
1970/03,0.022183312
1970/04,0.022178935
1970/05,0.022172375
1970/06,0.022174564
1970/07,0.022185501
1970/08,0.02235616
1970/09,0.022351782
1970/10,0.022382412
1970/11,0.022826563
1970/12,0.022881256
1971/01,0.022898759
1971/02,0.022896571
1971/03,0.022933767
1971/04,0.023065041
1971/05,0.023065041
1971/06,0.023137244
1971/07,0.023137244
1971/08,0.023892076
1971/09,0.023920517
1971/10,0.023968658
1971/11,0.023962091
1971/12,0.024296843
1972/01,0.024312157
1972/02,0.02430778
1972/03,0.024327472
1972/04,0.024723483
1972/05,0.024780371
1972/06,0.024856953
1972/07,0.024848197
1972/08,0.024865701
1972/09,0.024975093
1972/10,0.02492259
1972/11,0.02492259
1972/12,0.024942275
1973/01,0.025633659
1973/02,0.025723366
1973/03,0.025762751
1973/04,0.026322854
1973/05,0.026405995
1973/06,0.026596347
1973/07,0.026863272
1973/08,0.027230842
1973/09,0.027615915
1973/10,0.028256977
1973/11,0.028287607
1973/12,0.02862017
1974/01,0.028720814
1974/02,0.028924291
1974/03,0.029022747
1974/04,0.029272169
1974/05,0.029276546
1974/06,0.029304987
1974/07,0.030177967
1974/08,0.0304799
1974/09,0.030692133
1974/10,0.030851848
1974/11,0.031256614
1974/12,0.031322251
1975/01,0.03247966
1975/02,0.032529982
1975/03,0.03282316
1975/04,0.03312947
1975/05,0.033249807
1975/06,0.034210306
1975/07,0.034304384
1975/08,0.035067971
1975/09,0.035194867
1975/10,0.035490234
1975/11,0.036013148
1975/12,0.036037218
1976/01,0.037428735
1976/02,0.038776488
1976/03,0.039172506
1976/04,0.039225017
1976/05,0.039577272
1976/06,0.039645098
1976/07,0.040338664
1976/08,0.040592463
1976/09,0.040879081
1976/10,0.042143702
1976/11,0.043156704
1976/12,0.043215782
1977/01,0.044388506
1977/02,0.046556729
1977/03,0.047630998
1977/04,0.047694453
1977/05,0.047996386
1977/06,0.04821736
1977/07,0.048307067
1977/08,0.049267565
1977/09,0.049832046
1977/10,0.050904126
1977/11,0.051941199
1977/12,0.054039414
1978/01,0.056240463
1978/02,0.057984234
1978/03,0.058062997
1978/04,0.058356182
1978/05,0.058299293
1978/06,0.058719374
1978/07,0.059666739
1978/08,0.059741132
1978/09,0.060546286
1978/10,0.06124423
1978/11,0.062193791
1978/12,0.062241924
1979/01,0.065394716
1979/02,0.066263319
1979/03,0.06747105
1979/04,0.067705157
1979/05,0.067530128
1979/06,0.068002712
1979/07,0.068464367
1979/08,0.06935704
1979/09,0.070529764
1979/10,0.072039429
1979/11,0.072892716
1979/12,0.075450391
1980/01,0.076640618
1980/02,0.078649127
1980/03,0.080734216
1980/04,0.081714407
1980/05,0.082663961
1980/06,0.083670404
1980/07,0.085252272
1980/08,0.086610971
1980/09,0.088258468
1980/10,0.090466083
1980/11,0.092524914
1980/12,0.094986321
1981/01,0.098495746
1981/02,0.101103742
1981/03,0.103867083
1981/04,0.105945606
1981/05,0.10691923
1981/06,0.108564546
1981/07,0.109969189
1981/08,0.111776415
1981/09,0.114250949
1981/10,0.117440937
1981/11,0.11963323
1981/12,0.123044199
1982/01,0.126411405
1982/02,0.131903079
1982/03,0.136928735
1982/04,0.142098783
1982/05,0.148907588
1982/06,0.157808041
1982/07,0.165809263
1982/08,0.179665358
1982/09,0.187944442
1982/10,0.196254156
1982/11,0.204942384
1982/12,0.225090936
1983/01,0.244738448
1983/02,0.255126685
1983/03,0.264372835
1983/04,0.274691057
1983/05,0.281961517
1983/06,0.291818091
1983/07,0.302046613
1983/08,0.310982075
1983/09,0.321088071
1983/10,0.330014784
1983/11,0.342262759
1983/12,0.351990241
1984/01,0.375593518
1984/02,0.408797373
1984/03,0.42120944
1984/04,0.430941308
1984/05,0.439093496
1984/06,0.449024456
1984/07,0.459935614
1984/08,0.470223206
1984/09,0.480707717
1984/10,0.490835595
1984/11,0.502807889
1984/12,0.51498803
1985/01,0.546209637
1985/02,0.566684185
1985/03,0.585366828
1985/04,0.600879176
1985/05,0.619787171
1985/06,0.64045207
1985/07,0.664300384
1985/08,0.685735431
1985/09,0.717703114
1985/10,0.740715651
1985/11,0.775133805
1985/12,0.82702687
1986/01,0.911565877
1986/02,0.961314782
1986/03,1.00693509
1986/04,1.059611429
1986/05,1.094204619
1986/06,1.149149832
1986/07,1.194947358
1986/08,1.254749749
1986/09,1.31677507
1986/10,1.385841114
1986/11,1.464317393
1986/12,1.57557965
1987/01,1.715070436
1987/02,1.780458586
1987/03,1.859595619
1987/04,2.017211128
1987/05,2.095834002
1987/06,2.181335697
1987/07,2.304983754
1987/08,2.513376493
1987/09,2.632609334
1987/10,2.767306383
1987/11,2.937099852
1987/12,3.529942799
1988/01,4.015984656
1988/02,4.249886346
1988/03,4.50465421
1988/04,4.720660907
1988/05,4.959925179
1988/06,5.174693508
1988/07,5.404740077
1988/08,5.619191159
1988/09,5.831946609
1988/10,6.071681283
