"Alimentos, bebidas y tabaco",
Ruta temática,"Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Alimentos, bebidas y tabaco"
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.561540273
1969/03,-0.610143961
1969/04,0.405814767
1969/05,-0.300519537
1969/06,0.426155754
1969/07,1.117771724
1969/08,0.460586739
1969/09,2.109015263
1969/10,0.219510521
1969/11,-0.049776153
1969/12,1.185365043
1970/01,0.206757106
1970/02,-0.088437682
1970/03,0.206513139
1970/04,-0.009818852
1970/05,0.137369084
1970/06,0.940832062
1970/07,0.922312254
1970/08,0.230886241
1970/09,0.105573206
1970/10,-0.431441324
1970/11,0
1970/12,1.762149493
1971/01,0.681319755
1971/02,0.394712453
1971/03,0.430630715
1971/04,0.531350903
1971/05,0
1971/06,0.046356194
1971/07,0.055608479
1971/08,0.444586499
1971/09,0.378093446
1971/10,0.146983823
1971/11,-0.036683584
1971/12,0.238615219
1972/01,0.128150766
1972/02,0.502898792
1972/03,0.827868264
1972/04,0.45113091
1972/05,0.170673727
1972/06,1.076034994
1972/07,0.070985037
1972/08,0.540766893
1972/09,0.052906759
1972/10,-0.202696588
1972/11,1.147990632
1972/12,0.314308859
1973/01,1.723250269
1973/02,1.103677372
1973/03,1.083192644
1973/04,2.02595347
1973/05,1.723162076
1973/06,0.943756525
1973/07,5.146232666
1973/08,2.044404182
1973/09,3.835540024
1973/10,0.961132007
1973/11,1.399551046
1973/12,2.620331013
1974/01,5.946592186
1974/02,3.537836047
1974/03,0.765552668
1974/04,1.235324486
1974/05,1.06162798
1974/06,1.581732585
1974/07,1.158917992
1974/08,1.216143927
1974/09,0.510802532
1974/10,1.80180601
1974/11,1.962788576
1974/12,0.356072261
1975/01,0.315997525
1975/02,0.298412363
1975/03,0.374692781
1975/04,0.323858104
1975/05,2.533385859
1975/06,2.502791166
1975/07,1.036037614
1975/08,0.298862648
1975/09,0.436676766
1975/10,0.327367938
1975/11,0.458849039
1975/12,0.827249108
1976/01,1.243265975
1976/02,1.610823495
1976/03,0.538215048
1976/04,0.287119101
1976/05,0.320287837
1976/06,0.237015445
1976/07,0.786609249
1976/08,0.296859729
1976/09,3.0792008
1976/10,6.145803749
1976/11,2.565559126
1976/12,3.220309301
1977/01,4.38098591
1977/02,1.828080142
1977/03,1.760370307
1977/04,2.537732647
1977/05,0.784090328
1977/06,0.980792573
1977/07,0.646288601
1977/08,2.107820761
1977/09,2.39474255
1977/10,0.315761442
1977/11,0.840542302
1977/12,1.238290821
1978/01,1.260426534
1978/02,0.588899212
1978/03,1.277356498
1978/04,1.79333721
1978/05,1.316479195
1978/06,2.283434087
1978/07,2.665251663
1978/08,0.48221965
1978/09,0.220327245
1978/10,0.704709245
1978/11,0.768570759
1978/12,1.118821537
1979/01,5.012774326
1979/02,0.754589374
1979/03,0.771122525
1979/04,0.867083191
1979/05,1.713787533
1979/06,0.896115189
1979/07,1.212564688
1979/08,1.642063232
1979/09,0.930540699
1979/10,2.002713209
1979/11,0.891316538
1979/12,1.829083184
1980/01,2.954617788
1980/02,2.029533603
1980/03,1.844913218
1980/04,1.930279572
1980/05,2.039399098
1980/06,3.254920627
1980/07,4.041435849
1980/08,2.56782592
1980/09,0.314938793
1980/10,0.564304533
1980/11,1.545124806
1980/12,3.029591547
1981/01,2.819643607
1981/02,1.721064455
1981/03,1.755145234
1981/04,1.946695887
1981/05,1.646673582
1981/06,1.459029051
1981/07,1.530882666
1981/08,2.141169349
1981/09,1.520134267
1981/10,2.093753172
1981/11,1.761878755
1981/12,1.898029063
1982/01,4.491626832
1982/02,2.537682047
1982/03,2.291131513
1982/04,6.222020746
1982/05,6.05918768
1982/06,4.368782068
1982/07,5.734770109
1982/08,10.84523479
1982/09,5.379362607
1982/10,6.499646462
1982/11,4.700300688
1982/12,6.962199065
1983/01,8.505851851
1983/02,3.582797022
1983/03,4.270890087
1983/04,6.861082842
1983/05,4.794879536
1983/06,3.990710268
1983/07,5.978185779
1983/08,3.688381328
1983/09,2.408158806
1983/10,3.438728708
1983/11,6.128567215
1983/12,5.515361276
1984/01,8.467083261
1984/02,5.767878192
1984/03,4.96472237
1984/04,4.940675558
1984/05,3.590934765
1984/06,4.042998105
1984/07,3.557624418
1984/08,2.581401286
1984/09,2.31745775
1984/10,4.258515976
1984/11,4.026172978
1984/12,6.257018007
1985/01,6.767306744
1985/02,4.397589999
1985/03,4.273899431
1985/04,3.393100382
1985/05,1.803943522
1985/06,2.077729581
1985/07,2.896973364
1985/08,4.076138122
1985/09,2.948675063
1985/10,3.730814269
1985/11,4.707959121
1985/12,5.327187665
1986/01,10.68226127
1986/02,2.997405106
1986/03,4.873910048
1986/04,6.74936031
1986/05,7.792161991
1986/06,7.538101095
1986/07,4.181477852
1986/08,5.193692806
1986/09,5.896309427
