Educación y esparcimiento,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Educación y esparcimiento
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.01725826
1969/03,0.20706341
1969/04,0.20657512
1969/05,0.189025428
1969/06,0.171456904
1969/07,0.102734116
1969/08,-0.342035569
1969/09,0.840890285
1969/10,0.306366513
1969/11,0.101750714
1969/12,0.101706777
1970/01,1.523873243
1970/02,0.617091394
1970/03,0.381222715
1970/04,0.726578851
1970/05,0.50819825
1970/06,0.685008349
1970/07,-0.161957824
1970/08,1.151999345
1970/09,1.138935755
1970/10,0.364776624
1970/11,-0.205404625
1970/12,0.380036072
1971/01,2.965780104
1971/02,0.980548704
1971/03,0.713069891
1971/04,0.451943057
1971/05,1.139746727
1971/06,0.311424192
1971/07,-0.0887021
1971/08,0.517836387
1971/09,0.721205125
1971/10,-0.102306227
1971/11,0.160931571
1971/12,0.525787632
1972/01,1.133205566
1972/02,0.589014012
1972/03,0.142832943
1972/04,0.79862355
1972/05,0.155599448
1972/06,0.635707489
1972/07,0.477266186
1972/08,0.055888025
1972/09,1.493973591
1972/10,0.233897071
1972/11,0.315662372
1972/12,0.150468854
1973/01,0.669428951
1973/02,0.800649167
1973/03,1.400081445
1973/04,0.292121119
1973/05,0.5824476
1973/06,0.342188958
1973/07,0.183652018
1973/08,1.636560529
1973/09,1.906474919
1973/10,1.90873471
1973/11,1.823363166
1973/12,1.620190372
1974/01,2.337545861
1974/02,2.049892264
1974/03,0.883860712
1974/04,1.240170982
1974/05,0.932784099
1974/06,1.280512892
1974/07,1.704012135
1974/08,1.243139819
1974/09,3.395241667
1974/10,3.49030065
1974/11,1.646359272
1974/12,2.189078239
1975/01,1.12391518
1975/02,0.71246991
1975/03,0.556497228
1975/04,0.853578895
1975/05,0.669622749
1975/06,0.212515494
1975/07,0.553147875
1975/08,1.62280648
1975/09,2.562233008
1975/10,0.606975822
1975/11,0.760685406
1975/12,1.049982974
1976/01,1.854878153
1976/02,2.133052387
1976/03,1.122653557
1976/04,1.910197076
1976/05,0.728933534
1976/06,0.4135391
1976/07,0.475171866
1976/08,1.938968988
1976/09,3.587731953
1976/10,8.412340306
1976/11,2.91242103
1976/12,2.16096164
1977/01,2.743939711
1977/02,1.555231729
1977/03,1.713426002
1977/04,1.221760204
1977/05,0.835173781
1977/06,0.701284378
1977/07,1.927110095
1977/08,3.369065187
1977/09,1.544159285
1977/10,0.387189335
1977/11,1.067642044
1977/12,0.4866971
1978/01,2.54279861
1978/02,2.646114741
1978/03,0.983062204
1978/04,0.932062334
1978/05,1.426229985
1978/06,0.515922216
1978/07,0.840387925
1978/08,2.405309141
1978/09,1.812782747
1978/10,2.105961338
1978/11,1.021894664
1978/12,1.122918018
1979/01,2.367734288
1979/02,1.308883639
1979/03,1.76983717
1979/04,1.643399526
1979/05,3.195171596
1979/06,1.662111587
