Índice general,
Ruta temática,Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Índice general
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.358912651
1969/03,0.098700821
1969/04,0.271037299
1969/05,0
1969/06,0.356355069
1969/07,0.379575577
1969/08,0.109813902
1969/09,0.938200017
1969/10,1.050223539
1969/11,0.011944584
1969/12,0.75250537
1970/01,0.758738976
1970/02,-0.011764692
1970/03,0.294194479
1970/04,0.12904723
1970/05,0.210938338
1970/06,0.608057204
1970/07,0.488129046
1970/08,0.46262858
1970/09,0.241781286
1970/10,0.034450947
1970/11,0.539628574
1970/12,0.845020377
1971/01,0.985171742
1971/02,0.414882503
1971/03,0.379671471
1971/04,0.511756258
1971/05,0.210308304
1971/06,0.45282459
1971/07,-0.076956232
1971/08,0.913263228
1971/09,0.327118694
1971/10,0.097843097
1971/11,0.162847111
1971/12,0.476986479
1972/01,0.442321066
1972/02,0.311494837
1972/03,0.546109516
1972/04,0.628330253
1972/05,0.20105559
1972/06,0.739321078
1972/07,0.377468597
1972/08,0.658029427
1972/09,0.456556867
1972/10,0.072298007
1972/11,0.650286488
1972/12,0.338460777
1973/01,1.451324301
1973/02,0.826124394
1973/03,0.879300426
1973/04,1.584776705
1973/05,1.062807238
1973/06,0.820039797
1973/07,2.564600332
1973/08,1.604788839
1973/09,2.378311689
1973/10,1.282636137
1973/11,1.230973818
1973/12,3.884155522
1974/01,3.57894865
1974/02,2.260158755
1974/03,0.771211177
1974/04,1.356983214
1974/05,0.786194931
1974/06,0.988563773
1974/07,1.445390207
1974/08,1.055419811
1974/09,1.133905247
1974/10,1.984192176
1974/11,2.777386158
1974/12,0.781148986
1975/01,1.277843256
1975/02,0.551556274
1975/03,0.630827771
1975/04,0.844915086
1975/05,1.337849988
1975/06,1.7002175
1975/07,0.799842482
1975/08,0.865055479
1975/09,0.728639507
1975/10,0.512139718
1975/11,0.700601171
1975/12,0.815882133
1976/01,1.932243092
1976/02,1.870999705
1976/03,0.978726615
1976/04,0.700015357
1976/05,0.701089917
1976/06,0.40119861
1976/07,0.846218332
1976/08,0.955647066
1976/09,3.4112677
1976/10,5.631834009
1976/11,4.517831628
1976/12,2.507577956
1977/01,3.186046652
1977/02,2.208198574
1977/03,1.74429037
1977/04,1.512160127
1977/05,0.878378333
1977/06,1.22531468
1977/07,1.130679929
1977/08,2.051905448
1977/09,1.774366465
1977/10,0.764068441
1977/11,1.093413884
1977/12,1.384112083
1978/01,2.22358652
1978/02,1.435486117
1978/03,1.040671507
1978/04,1.111900369
1978/05,0.980046827
1978/06,1.375570724
1978/07,1.696131911
1978/08,0.996999981
1978/09,1.141281412
1978/10,1.211857604
1978/11,1.028852594
1978/12,0.848060928
1979/01,3.550189744
1979/02,1.437310109
1979/03,1.35664384
1979/04,0.895632071
1979/05,1.310239767
1979/06,1.108988312
1979/07,1.211941493
1979/08,1.51338328
1979/09,1.226268854
1979/10,1.746406328
1979/11,1.287320134
1979/12,1.769193292
1980/01,4.875263866
1980/02,2.311732902
1980/03,2.057323308
1980/04,1.748134908
1980/05,1.631284389
1980/06,1.983067109
1980/07,2.792372803
1980/08,2.071957904
1980/09,1.11052772
1980/10,1.514673183
1980/11,1.734874
1980/12,2.622797068
1981/01,3.221801515
1981/02,2.456309839
1981/03,2.139098669
1981/04,2.255250349
1981/05,1.512578616
