"Muebles, aparatos y accesorios domésticos",
Ruta temática,"Precios e inflación> Índice nacional de precios al consumidor> Mensual> Inflación mensual> Índice general y por objeto del gasto> Muebles, aparatos y accesorios domésticos"
Periodicidad,Mensual
Unidad de medida,Variación porcentual
Fuente,INEGI. Índices de precios.
Nota," De acuerdo  a lo  establecido en  los  artículos  primero yundécimo  transitorios  de  la  Ley  del Sistema Nacional deInformación  Estadística y  Geográfica (LSNIEG), a partir dejulio  de  2011, los   índices  nacionales  de  precios  sonelaborados  y   difundidos  por  el  Instituto  Nacional  deEstadística y Geografía. "
Fecha inicial,2015/07
Fecha final,1969/02
Última actualización,2015/08/07
Periodo,Dato
1969/02,0.283969511
1969/03,0.683526705
1969/04,0.213351112
1969/05,0.629068787
1969/06,0.509709907
1969/07,-0.105262778
1969/08,0.574712454
1969/09,0.714301644
1969/10,0.378250408
1969/11,0.828995968
1969/12,0.336379557
1970/01,0.716983936
1970/02,0.702687643
1970/03,-0.091810456
1970/04,0.523803627
1970/05,0.49362151
1970/06,1.319036264
1970/07,0.448913436
1970/08,0.321767128
1970/09,0.730564976
1970/10,1.32672885
1970/11,0.157134716
1970/12,0.104572411
1971/01,0.243786789
1971/02,0.173701521
1971/03,-0.008678843
1971/04,0.52892571
1971/05,0.31049947
1971/06,0.421344465
1971/07,0.616479209
1971/08,0.570166915
1971/09,0.059234528
1971/10,0.439734632
1971/11,0.496778285
1971/12,0.108911312
1972/01,0.242689496
1972/02,0.267145014
1972/03,0.366366913
1972/04,0.257184401
1972/05,0.239958375
1972/06,0.313697744
1972/07,0.246872833
1972/08,0.902971194
1972/09,0.366077802
1972/10,0.372884012
1972/11,0.323023331
1972/12,0.289779465
1973/01,0.433426868
1973/02,0.919030161
1973/03,1.13240107
1973/04,2.818885564
1973/05,1.325113245
1973/06,1.458103004
1973/07,1.000061084
1973/08,1.305569193
1973/09,1.643500219
1973/10,1.851982999
1973/11,1.881242558
1973/12,2.292700232
1974/01,2.006434525
1974/02,2.01960562
1974/03,1.341251572
1974/04,1.737080392
1974/05,1.157055663
1974/06,0.859397292
1974/07,3.236689441
1974/08,1.033176204
1974/09,0.928600117
1974/10,1.66540042
1974/11,1.025272446
1974/12,0.668998239
1975/01,0.760315668
1975/02,0.687494311
1975/03,0.921501346
1975/04,2.711768299
1975/05,0.449850852
1975/06,1.338172005
1975/07,0.599750788
1975/08,1.553168125
1975/09,0.736407701
1975/10,0.879248363
1975/11,1.829334558
1975/12,1.408308241
1976/01,2.718620363
1976/02,2.23580053
1976/03,1.504681932
1976/04,1.040416304
1976/05,0.924911544
1976/06,1.024785604
1976/07,0.674774167
1976/08,1.269471371
1976/09,3.922863747
1976/10,5.925760018
1976/11,4.136977999
1976/12,2.974679364
1977/01,0.991386648
1977/02,3.459688596
1977/03,1.634683132
1977/04,1.192310828
1977/05,1.762205185
1977/06,2.393811514
1977/07,1.648096984
1977/08,2.244470907
1977/09,1.250763843
1977/10,0.428573613
1977/11,0.351434305
1977/12,0.84113155
1978/01,1.748838577
1978/02,0.996516135
1978/03,0.760393321
1978/04,0.898391523
1978/05,1.350423306
1978/06,1.976694005
1978/07,1.200359528
1978/08,1.370561166
1978/09,1.153282047
1978/10,0.796992624
1978/11,0.752252832
1978/12,1.261647698
1979/01,2.039775732
1979/02,2.06492611
1979/03,1.67432614
1979/04,1.212198665
1979/05,1.142444919
1979/06,1.633486675
1979/07,1.67073863
1979/08,0.953768926
1979/09,1.092316261
1979/10,2.38935475
1979/11,2.191062695
1979/12,2.425300395
1980/01,6.662131461
1980/02,2.815131684
1980/03,1.778634393
1980/04,2.156883669
1980/05,1.857060876
1980/06,0.992922976
1980/07,1.863333276
1980/08,2.095818581
1980/09,1.21907315
1980/10,2.551102334
1980/11,1.491889446
1980/12,1.316126331
1981/01,3.767190591
1981/02,2.851661512
1981/03,2.540229023
1981/04,2.312351656
1981/05,1.661919309
1981/06,1.983046073
1981/07,2.07818549
1981/08,2.203873518
1981/09,2.643896757
1981/10,0.977118731
1981/11,1.143721317
1981/12,1.912116946
1982/01,2.80718528
1982/02,4.880213974
1982/03,5.52015187
1982/04,4.353557054
1982/05,5.397480601
1982/06,5.814994256
1982/07,5.772127831
1982/08,7.812400346
1982/09,7.643486877
1982/10,5.896698804
1982/11,7.331797077
1982/12,6.487266082
1983/01,10.24422418
1983/02,9.23098151
1983/03,10.32598325
1983/04,8.046034137
1983/05,7.530426686
1983/06,5.607604346
1983/07,4.566226822
1983/08,4.538686346
1983/09,3.555355046
1983/10,2.954518365
1983/11,2.732978575
1983/12,3.809753928
1984/01,4.904808062
1984/02,7.254891139
1984/03,5.00116258
1984/04,2.903683038
1984/05,3.164276591
1984/06,4.201257279
1984/07,3.362059758
1984/08,3.109584836
1984/09,2.065102443
1984/10,2.79486346
1984/11,3.567487445
1984/12,2.320032143
1985/01,3.474651331
1985/02,3.101363801
1985/03,3.712174047
1985/04,3.841241226
1985/05,3.801370845
1985/06,4.060859174
1985/07,4.096256799
1985/08,3.925746171
1985/09,3.77965575
1985/10,4.416852325
1985/11,5.626328456
1985/12,3.753840047
1986/01,4.005675685
1986/02,7.171363478
1986/03,7.124018212
1986/04,3.890603566
1986/05,5.929262847
1986/06,7.01915704
1986/07,5.092620937
1986/08,6.483800741
1986/09,5.415523334
1986/10,7.748572139
1986/11,8.908042381
1986/12,7.528201712
1987/01,8.702124325
1987/02,8.740023553
1987/03,7.323321992
1987/04,6.961553361
